"address","lon","lat"
"St Vincents Hospital Clinic 438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
"St Vincents's Clinic, Suite 806, 438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
"Suite 805 Lvl 8 438 Victoria, Darlinghurst NSW 2010",151.2194827,-33.8808271
"RMS St Vincents Clinic 438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
"St Vincents Clinic Suite 808/ 438 Victoria St, Darlinghurst NSW 2010",151.219344,-33.8811589
"St Vincents Clinic, Darlinghurst NSW 2010",151.219344,-33.8811589
"Suite 402 , St Vincents Clinic , 438 Victoria St, Darlinghurst NSW 2010",151.219534,-33.881068
"Suite 605/ 438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"601 / 438 Victoria St, Darlinghurst NSW 2010",151.2194827,-33.8808271
"St Vincent's Clinic Ste 604/ 438 Victoria Rd, Darlinghurst NSW 2010",151.219344,-33.8811589
