,Preschool,Primary - Government,Primary - Catholic,Primary - other non Government,Secondary - Government,Secondary - Catholic,Secondary - other non Government,Technical or further education institution,University or tertiary institution,Other,Not stated,Preschool (%),Primary - Government (%),Primary - Catholic (%),Primary - other non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - other non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not stated (%),SSC_CODE
Mona Vale,191.0,611.0,154.0,114.0,347.0,208.0,136.0,153.0,412.0,53.0,631.0,6.3,20.3,5.1,3.8,11.5,6.9,4.5,5.1,13.7,1.8,21.0,12672
Newport (NSW),164.0,651.0,61.0,98.0,315.0,179.0,221.0,156.0,432.0,65.0,364.0,6.1,24.1,2.3,3.6,11.6,6.6,8.2,5.8,16.0,2.4,13.5,12956
Bilgola Plateau,89.0,353.0,22.0,47.0,147.0,51.0,68.0,43.0,128.0,18.0,117.0,8.2,32.6,2.0,4.3,13.6,4.7,6.3,4.0,11.8,1.7,10.8,10351
Bilgola Beach,4.0,6.0,0.0,8.0,5.0,0.0,14.0,5.0,10.0,0.0,6.0,6.9,10.3,0.0,13.8,8.6,0.0,24.1,8.6,17.2,0.0,10.3,10350
Warriewood,196.0,632.0,105.0,102.0,246.0,167.0,101.0,123.0,280.0,38.0,401.0,8.2,26.4,4.4,4.3,10.3,7.0,4.2,5.1,11.7,1.6,16.8,14173
North Narrabeen,159.0,461.0,70.0,69.0,217.0,98.0,84.0,114.0,192.0,45.0,330.0,8.6,25.1,3.8,3.8,11.8,5.3,4.6,6.2,10.4,2.4,17.9,12999
Beacon Hill,156.0,561.0,121.0,90.0,337.0,189.0,98.0,113.0,332.0,53.0,306.0,6.6,23.8,5.1,3.8,14.3,8.0,4.2,4.8,14.1,2.2,13.0,10238
Narraweena,135.0,390.0,150.0,26.0,273.0,120.0,54.0,113.0,217.0,44.0,429.0,6.9,20.0,7.7,1.3,14.0,6.2,2.8,5.8,11.1,2.3,22.0,12910
Cromer (NSW),165.0,618.0,98.0,61.0,360.0,166.0,75.0,127.0,285.0,37.0,332.0,7.1,26.6,4.2,2.6,15.5,7.1,3.2,5.5,12.3,1.6,14.3,11118
Oxford Falls,0.0,5.0,5.0,3.0,4.0,3.0,0.0,0.0,11.0,0.0,22.0,0.0,9.4,9.4,5.7,7.5,5.7,0.0,0.0,20.8,0.0,41.5,13106
Dee Why,323.0,948.0,226.0,113.0,605.0,182.0,110.0,685.0,989.0,305.0,1505.0,5.4,15.8,3.8,1.9,10.1,3.0,1.8,11.4,16.5,5.1,25.1,11227
North Curl Curl,86.0,384.0,53.0,94.0,172.0,116.0,99.0,64.0,184.0,25.0,241.0,5.7,25.3,3.5,6.2,11.3,7.6,6.5,4.2,12.1,1.6,15.9,12988
Forestville (NSW),212.0,693.0,173.0,144.0,346.0,176.0,168.0,113.0,359.0,44.0,316.0,7.7,25.3,6.3,5.2,12.6,6.4,6.1,4.1,13.1,1.6,11.5,11548
Killarney Heights,98.0,452.0,65.0,71.0,287.0,76.0,133.0,61.0,255.0,25.0,86.0,6.1,28.1,4.0,4.4,17.8,4.7,8.3,3.8,15.8,1.6,5.3,12130
Frenchs Forest,351.0,1078.0,282.0,222.0,664.0,295.0,236.0,180.0,663.0,77.0,380.0,7.9,24.3,6.4,5.0,15.0,6.7,5.3,4.1,15.0,1.7,8.6,11568
Belrose,180.0,607.0,90.0,183.0,371.0,164.0,176.0,111.0,333.0,53.0,420.0,6.7,22.6,3.3,6.8,13.8,6.1,6.5,4.1,12.4,2.0,15.6,10283
Davidson,65.0,225.0,43.0,32.0,144.0,37.0,79.0,50.0,140.0,19.0,81.0,7.1,24.6,4.7,3.5,15.7,4.0,8.6,5.5,15.3,2.1,8.9,11219
Curl Curl,54.0,178.0,46.0,48.0,73.0,75.0,51.0,35.0,87.0,20.0,219.0,6.1,20.1,5.2,5.4,8.2,8.5,5.8,4.0,9.8,2.3,24.7,11167
Freshwater (NSW),198.0,562.0,160.0,72.0,223.0,159.0,103.0,155.0,391.0,59.0,576.0,7.4,21.1,6.0,2.7,8.4,6.0,3.9,5.8,14.7,2.2,21.7,11569
Manly Vale,131.0,413.0,82.0,18.0,194.0,104.0,40.0,129.0,269.0,70.0,428.0,7.0,22.0,4.4,1.0,10.3,5.5,2.1,6.9,14.3,3.7,22.8,12476
North Manly,66.0,269.0,73.0,33.0,116.0,89.0,44.0,48.0,145.0,22.0,139.0,6.3,25.8,7.0,3.2,11.1,8.5,4.2,4.6,13.9,2.1,13.3,12997
Queenscliff (NSW),45.0,97.0,35.0,33.0,39.0,49.0,37.0,75.0,142.0,44.0,239.0,5.4,11.6,4.2,4.0,4.7,5.9,4.4,9.0,17.0,5.3,28.6,13296
Brookvale,48.0,142.0,16.0,5.0,82.0,28.0,14.0,76.0,157.0,34.0,147.0,6.4,19.0,2.1,0.7,10.9,3.7,1.9,10.1,21.0,4.5,19.6,10601
Allambie Heights,170.0,602.0,114.0,62.0,290.0,167.0,108.0,106.0,273.0,38.0,292.0,7.7,27.1,5.1,2.8,13.1,7.5,4.9,4.8,12.3,1.7,13.1,10036
North Balgowlah,128.0,479.0,56.0,50.0,120.0,118.0,105.0,51.0,152.0,18.0,105.0,9.3,34.7,4.1,3.6,8.7,8.5,7.6,3.7,11.0,1.3,7.6,12981
Narrabeen,106.0,242.0,70.0,48.0,145.0,72.0,51.0,148.0,279.0,55.0,653.0,5.7,12.9,3.7,2.6,7.8,3.9,2.7,7.9,14.9,2.9,34.9,12902
Collaroy (NSW),130.0,376.0,95.0,86.0,170.0,190.0,127.0,155.0,352.0,44.0,587.0,5.6,16.3,4.1,3.7,7.4,8.2,5.5,6.7,15.2,1.9,25.4,10970
Collaroy Plateau,121.0,415.0,76.0,53.0,187.0,167.0,88.0,73.0,174.0,32.0,221.0,7.5,25.8,4.7,3.3,11.6,10.4,5.5,4.5,10.8,2.0,13.8,10971
Wheeler Heights,66.0,299.0,35.0,17.0,176.0,103.0,25.0,61.0,107.0,13.0,138.0,6.3,28.8,3.4,1.6,16.9,9.9,2.4,5.9,10.3,1.2,13.3,14268
Terrey Hills,64.0,207.0,25.0,80.0,106.0,43.0,108.0,50.0,107.0,18.0,170.0,6.5,21.2,2.6,8.2,10.8,4.4,11.0,5.1,10.9,1.8,17.4,13804
Duffys Forest,11.0,16.0,6.0,29.0,13.0,12.0,28.0,9.0,26.0,6.0,11.0,6.6,9.6,3.6,17.4,7.8,7.2,16.8,5.4,15.6,3.6,6.6,11301
Ellis Lane,14.0,45.0,35.0,26.0,31.0,15.0,15.0,12.0,41.0,4.0,23.0,5.4,17.2,13.4,10.0,11.9,5.7,5.7,4.6,15.7,1.5,8.8,11405
Grasmere,17.0,51.0,51.0,29.0,45.0,42.0,28.0,28.0,68.0,11.0,173.0,3.1,9.4,9.4,5.3,8.3,7.7,5.2,5.2,12.5,2.0,31.9,11739
Camden,50.0,204.0,54.0,13.0,91.0,55.0,21.0,57.0,112.0,16.0,277.0,5.3,21.5,5.7,1.4,9.6,5.8,2.2,6.0,11.8,1.7,29.2,10770
Camden Park (NSW),67.0,174.0,80.0,43.0,74.0,70.0,43.0,36.0,102.0,11.0,72.0,8.7,22.5,10.4,5.6,9.6,9.1,5.6,4.7,13.2,1.4,9.3,10772
Cawdor (NSW),6.0,7.0,9.0,9.0,7.0,13.0,14.0,0.0,15.0,0.0,39.0,5.0,5.9,7.6,7.6,5.9,10.9,11.8,0.0,12.6,0.0,32.8,10863
Camden South,98.0,345.0,74.0,37.0,162.0,57.0,36.0,79.0,140.0,18.0,142.0,8.2,29.0,6.2,3.1,13.6,4.8,3.0,6.6,11.8,1.5,12.0,10773
Harrington Park,277.0,749.0,395.0,192.0,388.0,452.0,172.0,201.0,422.0,58.0,350.0,7.6,20.5,10.8,5.3,10.6,12.4,4.7,5.5,11.5,1.6,9.6,11859
Elderslie (Camden - NSW),174.0,515.0,68.0,49.0,308.0,80.0,48.0,119.0,185.0,33.0,302.0,9.3,27.4,3.6,2.6,16.4,4.3,2.6,6.3,9.8,1.8,16.1,11391
Narellan,83.0,257.0,49.0,15.0,156.0,40.0,23.0,72.0,98.0,11.0,187.0,8.4,25.9,4.9,1.5,15.7,4.0,2.3,7.3,9.9,1.1,18.9,12896
Kirkham,14.0,29.0,18.0,20.0,11.0,41.0,35.0,8.0,35.0,0.0,33.0,5.7,11.9,7.4,8.2,4.5,16.8,14.3,3.3,14.3,0.0,13.5,12171
Mount Annan,280.0,855.0,309.0,188.0,574.0,328.0,135.0,235.0,508.0,81.0,381.0,7.2,22.1,8.0,4.9,14.8,8.5,3.5,6.1,13.1,2.1,9.8,12745
Currans Hill,138.0,523.0,84.0,59.0,254.0,109.0,41.0,102.0,165.0,33.0,182.0,8.2,30.9,5.0,3.5,15.0,6.4,2.4,6.0,9.8,2.0,10.8,11175
Gregory Hills,131.0,247.0,149.0,49.0,106.0,231.0,25.0,73.0,190.0,31.0,289.0,8.6,16.2,9.8,3.2,7.0,15.2,1.6,4.8,12.5,2.0,19.0,11774
Narellan Vale,173.0,539.0,152.0,45.0,448.0,176.0,56.0,159.0,248.0,37.0,293.0,7.4,23.2,6.5,1.9,19.3,7.6,2.4,6.8,10.7,1.6,12.6,12897
Spring Farm (NSW),134.0,315.0,74.0,43.0,170.0,52.0,21.0,69.0,143.0,27.0,172.0,11.0,25.8,6.1,3.5,13.9,4.3,1.7,5.7,11.7,2.2,14.1,13612
Airds,56.0,301.0,9.0,11.0,248.0,9.0,3.0,65.0,27.0,25.0,399.0,4.9,26.1,0.8,1.0,21.5,0.8,0.3,5.6,2.3,2.2,34.6,10022
Bradbury (NSW),169.0,627.0,117.0,95.0,355.0,143.0,49.0,186.0,304.0,66.0,544.0,6.4,23.6,4.4,3.6,13.4,5.4,1.8,7.0,11.5,2.5,20.5,10543
St Helens Park,158.0,531.0,106.0,45.0,302.0,172.0,43.0,136.0,220.0,58.0,324.0,7.5,25.3,5.1,2.1,14.4,8.2,2.1,6.5,10.5,2.8,15.5,13637
Wedderburn (NSW),10.0,25.0,15.0,10.0,16.0,17.0,4.0,3.0,28.0,0.0,50.0,5.6,14.0,8.4,5.6,9.0,9.6,2.2,1.7,15.7,0.0,28.1,14209
Woodbine (NSW),51.0,165.0,45.0,28.0,110.0,48.0,27.0,59.0,95.0,23.0,202.0,6.0,19.3,5.3,3.3,12.9,5.6,3.2,6.9,11.1,2.7,23.7,14378
Campbelltown (NSW),165.0,598.0,193.0,126.0,438.0,119.0,65.0,239.0,647.0,120.0,1019.0,4.4,16.0,5.2,3.4,11.7,3.2,1.7,6.4,17.4,3.2,27.3,10780
Leumeah,164.0,677.0,104.0,68.0,470.0,103.0,44.0,173.0,323.0,85.0,614.0,5.8,24.0,3.7,2.4,16.6,3.6,1.6,6.1,11.4,3.0,21.7,12308
Blair Athol (NSW),52.0,176.0,83.0,47.0,112.0,98.0,51.0,61.0,185.0,22.0,92.0,5.3,18.0,8.5,4.8,11.4,10.0,5.2,6.2,18.9,2.2,9.4,10400
Raby,115.0,410.0,98.0,41.0,235.0,159.0,28.0,111.0,214.0,41.0,248.0,6.8,24.1,5.8,2.4,13.8,9.4,1.6,6.5,12.6,2.4,14.6,13303
Eagle Vale,101.0,403.0,118.0,47.0,245.0,126.0,38.0,122.0,220.0,48.0,228.0,6.0,23.8,7.0,2.8,14.4,7.4,2.2,7.2,13.0,2.8,13.4,11341
Eschol Park,49.0,191.0,30.0,24.0,105.0,55.0,13.0,59.0,96.0,19.0,91.0,6.7,26.1,4.1,3.3,14.3,7.5,1.8,8.1,13.1,2.6,12.4,11441
Blairmount,9.0,38.0,8.0,8.0,22.0,15.0,3.0,10.0,12.0,7.0,24.0,5.8,24.4,5.1,5.1,14.1,9.6,1.9,6.4,7.7,4.5,15.4,10401
Kearns,55.0,153.0,59.0,35.0,105.0,75.0,25.0,57.0,124.0,17.0,92.0,6.9,19.2,7.4,4.4,13.2,9.4,3.1,7.2,15.6,2.1,11.5,12079
Claymore,52.0,287.0,15.0,13.0,180.0,18.0,13.0,52.0,26.0,20.0,636.0,4.0,21.9,1.1,1.0,13.7,1.4,1.0,4.0,2.0,1.5,48.5,10924
Holsworthy,122.0,404.0,89.0,39.0,313.0,76.0,28.0,117.0,289.0,64.0,331.0,6.5,21.6,4.8,2.1,16.7,4.1,1.5,6.2,15.4,3.4,17.7,11926
Ingleburn,233.0,971.0,194.0,138.0,626.0,200.0,62.0,311.0,678.0,150.0,944.0,5.2,21.5,4.3,3.1,13.9,4.4,1.4,6.9,15.0,3.3,20.9,11978
Macquarie Links,20.0,51.0,35.0,40.0,48.0,53.0,39.0,18.0,86.0,11.0,63.0,4.3,11.0,7.5,8.6,10.3,11.4,8.4,3.9,18.5,2.4,13.6,12435
Denham Court,29.0,54.0,37.0,31.0,33.0,37.0,49.0,28.0,86.0,7.0,224.0,4.7,8.8,6.0,5.0,5.4,6.0,8.0,4.6,14.0,1.1,36.4,11235
Bardia,40.0,110.0,26.0,38.0,48.0,14.0,9.0,28.0,90.0,15.0,99.0,7.7,21.3,5.0,7.4,9.3,2.7,1.7,5.4,17.4,2.9,19.1,10194
Edmondson Park,54.0,133.0,61.0,57.0,82.0,44.0,46.0,36.0,128.0,14.0,145.0,6.8,16.6,7.6,7.1,10.2,5.5,5.8,4.5,16.0,1.8,18.1,11383
Ruse,118.0,381.0,73.0,32.0,272.0,90.0,31.0,116.0,173.0,38.0,218.0,7.7,24.7,4.7,2.1,17.6,5.8,2.0,7.5,11.2,2.5,14.1,13443
Kentlyn,15.0,46.0,11.0,9.0,27.0,32.0,8.0,8.0,20.0,3.0,36.0,7.0,21.4,5.1,4.2,12.6,14.9,3.7,3.7,9.3,1.4,16.7,12101
Minto Heights,11.0,16.0,3.0,6.0,14.0,6.0,3.0,7.0,13.0,4.0,30.0,9.7,14.2,2.7,5.3,12.4,5.3,2.7,6.2,11.5,3.5,26.5,12643
Macquarie Fields,204.0,1150.0,72.0,99.0,848.0,61.0,89.0,298.0,511.0,108.0,1167.0,4.4,25.0,1.6,2.1,18.4,1.3,1.9,6.5,11.1,2.3,25.3,12433
Glenfield (NSW),150.0,618.0,109.0,124.0,451.0,83.0,76.0,172.0,523.0,94.0,841.0,4.6,19.1,3.4,3.8,13.9,2.6,2.3,5.3,16.1,2.9,25.9,11664
Long Point (Campbelltown - NSW),5.0,9.0,6.0,7.0,4.0,0.0,3.0,3.0,10.0,0.0,13.0,8.3,15.0,10.0,11.7,6.7,0.0,5.0,5.0,16.7,0.0,21.7,12381
St Andrews (NSW),109.0,450.0,43.0,38.0,299.0,107.0,25.0,112.0,252.0,42.0,251.0,6.3,26.0,2.5,2.2,17.3,6.2,1.4,6.5,14.6,2.4,14.5,13631
Bow Bowing,29.0,122.0,22.0,9.0,80.0,50.0,11.0,28.0,65.0,17.0,41.0,6.1,25.7,4.6,1.9,16.9,10.5,2.3,5.9,13.7,3.6,8.6,10526
Minto,213.0,972.0,87.0,153.0,717.0,107.0,97.0,262.0,599.0,99.0,725.0,5.3,24.1,2.2,3.8,17.8,2.7,2.4,6.5,14.9,2.5,18.0,12642
Rosemeadow,160.0,627.0,131.0,42.0,383.0,213.0,45.0,162.0,281.0,55.0,507.0,6.1,24.1,5.0,1.6,14.7,8.2,1.7,6.2,10.8,2.1,19.5,13410
Ambarvale,134.0,573.0,116.0,44.0,358.0,139.0,26.0,132.0,217.0,54.0,626.0,5.5,23.7,4.8,1.8,14.8,5.7,1.1,5.5,9.0,2.2,25.9,10049
Menangle Park,3.0,15.0,3.0,6.0,10.0,3.0,9.0,6.0,3.0,3.0,26.0,3.4,17.2,3.4,6.9,11.5,3.4,10.3,6.9,3.4,3.4,29.9,12569
Gilead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11617
Glen Alpine,68.0,137.0,128.0,115.0,90.0,161.0,95.0,93.0,240.0,20.0,162.0,5.2,10.5,9.8,8.8,6.9,12.3,7.3,7.1,18.3,1.5,12.4,11645
Englorie Park,5.0,18.0,4.0,8.0,14.0,5.0,3.0,7.0,19.0,7.0,36.0,4.0,14.3,3.2,6.3,11.1,4.0,2.4,5.6,15.1,5.6,28.6,11423
Yanderra,7.0,45.0,3.0,16.0,34.0,3.0,8.0,16.0,17.0,9.0,50.0,3.4,21.6,1.4,7.7,16.3,1.4,3.8,7.7,8.2,4.3,24.0,14461
Douglas Park,22.0,103.0,17.0,13.0,48.0,21.0,17.0,24.0,50.0,3.0,81.0,5.5,25.8,4.3,3.3,12.0,5.3,4.3,6.0,12.5,0.8,20.3,11283
Razorback,17.0,74.0,25.0,24.0,50.0,33.0,26.0,15.0,31.0,7.0,70.0,4.6,19.9,6.7,6.5,13.4,8.9,7.0,4.0,8.3,1.9,18.8,13328
Appin (NSW),65.0,257.0,23.0,9.0,71.0,109.0,14.0,44.0,69.0,13.0,131.0,8.1,31.9,2.9,1.1,8.8,13.5,1.7,5.5,8.6,1.6,16.3,10063
Menangle,13.0,19.0,13.0,28.0,31.0,23.0,29.0,26.0,42.0,7.0,54.0,4.6,6.7,4.6,9.8,10.9,8.1,10.2,9.1,14.7,2.5,18.9,12568
Picton (NSW),105.0,306.0,117.0,64.0,182.0,87.0,90.0,64.0,169.0,28.0,295.0,7.0,20.3,7.8,4.2,12.1,5.8,6.0,4.2,11.2,1.9,19.6,13200
Tahmoor,115.0,365.0,47.0,52.0,228.0,37.0,48.0,88.0,128.0,29.0,393.0,7.5,23.9,3.1,3.4,14.9,2.4,3.1,5.8,8.4,1.9,25.7,13727
Buxton (NSW),43.0,168.0,22.0,30.0,121.0,16.0,44.0,40.0,49.0,13.0,138.0,6.3,24.6,3.2,4.4,17.7,2.3,6.4,5.8,7.2,1.9,20.2,10726
Thirlmere,83.0,284.0,60.0,34.0,178.0,33.0,47.0,88.0,85.0,14.0,262.0,7.1,24.3,5.1,2.9,15.2,2.8,4.0,7.5,7.3,1.2,22.4,13847
Couridjah,5.0,21.0,3.0,7.0,16.0,9.0,0.0,6.0,3.0,0.0,18.0,5.7,23.9,3.4,8.0,18.2,10.2,0.0,6.8,3.4,0.0,20.5,11093
Lakesland,7.0,26.0,6.0,9.0,22.0,4.0,12.0,7.0,15.0,0.0,35.0,4.9,18.2,4.2,6.3,15.4,2.8,8.4,4.9,10.5,0.0,24.5,12258
The Oaks,58.0,206.0,38.0,33.0,115.0,41.0,26.0,51.0,63.0,8.0,149.0,7.4,26.1,4.8,4.2,14.6,5.2,3.3,6.5,8.0,1.0,18.9,13831
Werombi,18.0,80.0,13.0,14.0,44.0,29.0,14.0,20.0,32.0,4.0,47.0,5.7,25.4,4.1,4.4,14.0,9.2,4.4,6.3,10.2,1.3,14.9,14232
Orangeville,23.0,90.0,32.0,22.0,48.0,37.0,28.0,24.0,38.0,0.0,64.0,5.7,22.2,7.9,5.4,11.8,9.1,6.9,5.9,9.4,0.0,15.8,13094
Belimbla Park,9.0,44.0,11.0,3.0,38.0,10.0,0.0,5.0,14.0,4.0,30.0,5.4,26.2,6.5,1.8,22.6,6.0,0.0,3.0,8.3,2.4,17.9,10261
Mount Hunter,11.0,49.0,8.0,13.0,46.0,13.0,19.0,8.0,41.0,6.0,48.0,4.2,18.7,3.1,5.0,17.6,5.0,7.3,3.1,15.6,2.3,18.3,12765
Brownlow Hill,13.0,21.0,8.0,6.0,9.0,10.0,9.0,3.0,101.0,3.0,21.0,6.4,10.3,3.9,2.9,4.4,4.9,4.4,1.5,49.5,1.5,10.3,10609
Theresa Park,15.0,19.0,12.0,6.0,15.0,26.0,6.0,9.0,22.0,0.0,27.0,9.6,12.1,7.6,3.8,9.6,16.6,3.8,5.7,14.0,0.0,17.2,13845
Silverdale (NSW),99.0,235.0,117.0,51.0,100.0,140.0,58.0,82.0,113.0,20.0,203.0,8.1,19.3,9.6,4.2,8.2,11.5,4.8,6.7,9.3,1.6,16.7,13544
Oakdale (NSW),44.0,166.0,17.0,13.0,92.0,17.0,22.0,40.0,36.0,9.0,110.0,7.8,29.3,3.0,2.3,16.3,3.0,3.9,7.1,6.4,1.6,19.4,13054
Blackheath,69.0,268.0,11.0,32.0,89.0,28.0,65.0,84.0,121.0,25.0,312.0,6.2,24.3,1.0,2.9,8.1,2.5,5.9,7.6,11.0,2.3,28.3,10393
Mount Victoria,10.0,59.0,0.0,3.0,38.0,12.0,6.0,21.0,34.0,3.0,120.0,3.3,19.3,0.0,1.0,12.4,3.9,2.0,6.9,11.1,1.0,39.2,12797
Glenbrook,107.0,346.0,79.0,74.0,208.0,94.0,108.0,67.0,286.0,28.0,210.0,6.7,21.5,4.9,4.6,12.9,5.8,6.7,4.2,17.8,1.7,13.1,11656
Blaxland (NSW),171.0,469.0,106.0,103.0,361.0,75.0,129.0,140.0,360.0,37.0,286.0,7.6,21.0,4.7,4.6,16.1,3.4,5.8,6.3,16.1,1.7,12.8,10407
Warrimoo,63.0,175.0,20.0,34.0,118.0,43.0,39.0,36.0,126.0,11.0,103.0,8.2,22.8,2.6,4.4,15.4,5.6,5.1,4.7,16.4,1.4,13.4,14174
Lapstone,18.0,66.0,7.0,3.0,45.0,6.0,16.0,20.0,60.0,12.0,65.0,5.7,20.8,2.2,0.9,14.2,1.9,5.0,6.3,18.9,3.8,20.4,12276
Mount Riverview,58.0,259.0,32.0,40.0,148.0,35.0,37.0,70.0,121.0,17.0,60.0,6.6,29.5,3.6,4.6,16.9,4.0,4.2,8.0,13.8,1.9,6.8,12788
Yarramundi,5.0,36.0,49.0,16.0,36.0,39.0,13.0,24.0,23.0,3.0,29.0,1.8,13.2,17.9,5.9,13.2,14.3,4.8,8.8,8.4,1.1,10.6,14477
Katoomba,115.0,370.0,83.0,71.0,288.0,54.0,109.0,234.0,263.0,78.0,643.0,5.0,16.0,3.6,3.1,12.5,2.3,4.7,10.1,11.4,3.4,27.9,12077
Leura,61.0,185.0,19.0,65.0,74.0,47.0,98.0,79.0,363.0,17.0,318.0,4.6,14.0,1.4,4.9,5.6,3.5,7.4,6.0,27.4,1.3,24.0,12309
Medlow Bath,7.0,25.0,3.0,9.0,14.0,7.0,6.0,11.0,27.0,4.0,30.0,4.9,17.5,2.1,6.3,9.8,4.9,4.2,7.7,18.9,2.8,21.0,12553
Linden (NSW),8.0,15.0,9.0,10.0,17.0,13.0,6.0,9.0,26.0,6.0,28.0,5.4,10.2,6.1,6.8,11.6,8.8,4.1,6.1,17.7,4.1,19.0,12335
Woodford (NSW),27.0,97.0,32.0,34.0,86.0,36.0,35.0,34.0,88.0,8.0,86.0,4.8,17.2,5.7,6.0,15.3,6.4,6.2,6.0,15.6,1.4,15.3,14383
Hazelbrook,109.0,347.0,87.0,76.0,267.0,65.0,51.0,131.0,224.0,40.0,179.0,6.9,22.0,5.5,4.8,16.9,4.1,3.2,8.3,14.2,2.5,11.4,11881
Lawson (NSW),53.0,168.0,23.0,25.0,93.0,39.0,28.0,60.0,92.0,27.0,132.0,7.2,22.7,3.1,3.4,12.6,5.3,3.8,8.1,12.4,3.6,17.8,12289
Bullaburra,25.0,55.0,29.0,20.0,38.0,27.0,13.0,28.0,53.0,3.0,70.0,6.9,15.2,8.0,5.5,10.5,7.5,3.6,7.8,14.7,0.8,19.4,10656
Faulconbridge,84.0,254.0,77.0,67.0,188.0,62.0,61.0,90.0,180.0,26.0,130.0,6.9,20.8,6.3,5.5,15.4,5.1,5.0,7.4,14.8,2.1,10.7,11496
Winmalee,144.0,437.0,161.0,56.0,340.0,134.0,36.0,129.0,269.0,46.0,187.0,7.4,22.5,8.3,2.9,17.5,6.9,1.9,6.7,13.9,2.4,9.6,14334
Hawkesbury Heights,7.0,21.0,15.0,3.0,45.0,8.0,5.0,16.0,16.0,3.0,22.0,4.3,13.0,9.3,1.9,28.0,5.0,3.1,9.9,9.9,1.9,13.7,11872
Yellow Rock (Blue Mountains - NSW),23.0,72.0,34.0,15.0,48.0,18.0,9.0,28.0,39.0,5.0,36.0,7.0,22.0,10.4,4.6,14.7,5.5,2.8,8.6,11.9,1.5,11.0,14502
Springwood (NSW),164.0,457.0,132.0,78.0,339.0,133.0,104.0,166.0,395.0,45.0,319.0,7.0,19.6,5.7,3.3,14.5,5.7,4.5,7.1,16.9,1.9,13.7,13629
Valley Heights,21.0,77.0,27.0,19.0,59.0,13.0,14.0,19.0,60.0,9.0,59.0,5.6,20.4,7.2,5.0,15.6,3.4,3.7,5.0,15.9,2.4,15.6,14069
Sun Valley (NSW),4.0,13.0,5.0,8.0,7.0,5.0,8.0,0.0,8.0,3.0,7.0,5.9,19.1,7.4,11.8,10.3,7.4,11.8,0.0,11.8,4.4,10.3,13691
Wentworth Falls,91.0,335.0,45.0,93.0,168.0,82.0,118.0,115.0,214.0,40.0,341.0,5.5,20.4,2.7,5.7,10.2,5.0,7.2,7.0,13.0,2.4,20.8,14226
Werrington Downs,81.0,248.0,45.0,18.0,99.0,88.0,14.0,56.0,93.0,17.0,117.0,9.2,28.3,5.1,2.1,11.3,10.0,1.6,6.4,10.6,1.9,13.4,14237
Cambridge Park,119.0,485.0,98.0,28.0,279.0,111.0,30.0,145.0,172.0,41.0,435.0,6.1,25.0,5.0,1.4,14.4,5.7,1.5,7.5,8.9,2.1,22.4,10768
Werrington County,71.0,243.0,51.0,24.0,140.0,70.0,20.0,64.0,90.0,20.0,161.0,7.4,25.5,5.3,2.5,14.7,7.3,2.1,6.7,9.4,2.1,16.9,14236
Cambridge Gardens,47.0,164.0,30.0,11.0,64.0,62.0,14.0,45.0,58.0,7.0,70.0,8.2,28.7,5.2,1.9,11.2,10.8,2.4,7.9,10.1,1.2,12.2,10767
Cranebrook,395.0,1054.0,341.0,142.0,562.0,515.0,124.0,330.0,528.0,82.0,874.0,8.0,21.3,6.9,2.9,11.4,10.4,2.5,6.7,10.7,1.7,17.7,11105
Llandilo,26.0,114.0,37.0,14.0,29.0,107.0,9.0,23.0,39.0,5.0,130.0,4.9,21.4,6.9,2.6,5.4,20.1,1.7,4.3,7.3,0.9,24.4,12363
Castlereagh,19.0,51.0,20.0,24.0,20.0,34.0,23.0,21.0,31.0,7.0,96.0,5.5,14.7,5.8,6.9,5.8,9.8,6.6,6.1,9.0,2.0,27.7,10850
Penrith,202.0,650.0,141.0,112.0,404.0,148.0,89.0,356.0,508.0,87.0,1116.0,5.3,17.0,3.7,2.9,10.6,3.9,2.3,9.3,13.3,2.3,29.3,13184
Jordan Springs,136.0,321.0,146.0,48.0,108.0,133.0,38.0,130.0,193.0,54.0,196.0,9.0,21.4,9.7,3.2,7.2,8.8,2.5,8.6,12.8,3.6,13.0,12042
Emu Plains,177.0,473.0,186.0,82.0,290.0,131.0,101.0,153.0,276.0,33.0,576.0,7.1,19.1,7.5,3.3,11.7,5.3,4.1,6.2,11.1,1.3,23.2,11418
Leonay,53.0,178.0,37.0,49.0,83.0,56.0,40.0,39.0,104.0,10.0,120.0,6.9,23.1,4.8,6.4,10.8,7.3,5.2,5.1,13.5,1.3,15.6,12304
Emu Heights (NSW),68.0,263.0,36.0,25.0,167.0,82.0,27.0,73.0,112.0,13.0,93.0,7.1,27.4,3.8,2.6,17.4,8.6,2.8,7.6,11.7,1.4,9.7,11417
Glenmore Park,574.0,1622.0,601.0,324.0,824.0,806.0,344.0,443.0,1019.0,142.0,877.0,7.6,21.4,7.9,4.3,10.9,10.6,4.5,5.8,13.5,1.9,11.6,11670
Regentville,10.0,55.0,14.0,6.0,23.0,22.0,10.0,11.0,33.0,6.0,57.0,4.0,22.3,5.7,2.4,9.3,8.9,4.0,4.5,13.4,2.4,23.1,13346
