,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Coffee Camp,133.0,43.0,22.0,34.0,75.1,23.9,12.0,18.7,10958
Tucki Tucki,91.0,37.0,7.0,27.0,67.9,28.7,5.4,19.7,13946
Larnook,209.0,78.0,31.0,73.0,70.4,26.4,10.4,25.2,12279
Georgica,145.0,40.0,19.0,33.0,72.9,19.6,9.6,16.6,11604
Jiggi,226.0,98.0,49.0,73.0,73.1,31.3,15.7,23.2,12026
Rock Valley,166.0,45.0,28.0,57.0,71.6,19.0,12.0,24.1,13378
Leycester,89.0,38.0,22.0,28.0,74.8,30.9,17.6,23.9,12314
Dunoon,441.0,161.0,79.0,152.0,77.8,28.3,13.8,26.9,11325
Dorroughby,87.0,19.0,15.0,29.0,73.1,16.5,12.6,24.8,11280
Numulgi,126.0,37.0,14.0,36.0,71.2,21.6,8.2,20.3,13041
Fingal Head,309.0,141.0,67.0,125.0,64.5,29.1,14.1,25.9,11519
Casuarina (NSW),1508.0,789.0,167.0,385.0,76.5,40.1,8.5,19.5,10851
Kingscliff,4340.0,1691.0,716.0,1284.0,70.2,27.3,11.6,20.7,12154
Chinderah,807.0,217.0,195.0,183.0,56.7,15.2,13.7,12.9,10905
Cudgen,509.0,227.0,101.0,145.0,76.0,33.6,15.1,21.6,11143
Murwillumbah,3877.0,1549.0,668.0,1272.0,68.0,27.2,11.7,22.3,12866
South Murwillumbah,583.0,219.0,116.0,158.0,62.9,23.6,12.5,16.9,13593
Bray Park (NSW),451.0,170.0,106.0,120.0,71.1,27.2,17.0,19.4,10552
Smiths Creek (Tweed - NSW),180.0,66.0,37.0,74.0,75.6,27.4,15.2,29.5,13562
Mount Burrell,141.0,51.0,24.0,54.0,77.0,27.9,12.9,29.3,12749
Byrrill Creek,77.0,30.0,18.0,26.0,73.3,27.5,16.5,25.2,10734
Pumpenbil,114.0,37.0,12.0,34.0,65.5,21.1,7.0,19.2,13272
Tumbulgum,244.0,91.0,42.0,62.0,73.5,27.7,12.7,18.6,13964
Limpinwood,137.0,48.0,21.0,51.0,72.1,25.4,11.1,27.1,12333
Tyalgum,297.0,108.0,58.0,106.0,69.9,25.4,13.7,24.7,13994
Dum Dum,79.0,16.0,20.0,27.0,65.8,14.5,17.9,23.3,11304
Byangum,80.0,26.0,15.0,21.0,67.8,22.2,12.7,18.4,10729
Eungella (NSW),183.0,83.0,28.0,96.0,71.8,30.9,10.6,36.2,11460
Crystal Creek (NSW),150.0,48.0,33.0,49.0,73.2,24.0,16.7,24.7,11138
Chillingham,131.0,40.0,33.0,40.0,68.6,20.9,16.8,21.3,10904
Stokers Siding,397.0,133.0,66.0,101.0,72.8,24.4,12.2,18.5,13664
Numinbah,68.0,30.0,22.0,29.0,66.7,28.3,21.4,28.2,13040
Upper Crystal Creek,130.0,39.0,25.0,29.0,81.8,24.2,15.6,18.4,14021
Nobbys Creek,175.0,59.0,24.0,56.0,76.8,26.6,10.9,24.5,12968
Dungay,148.0,57.0,32.0,52.0,85.1,32.0,18.1,29.7,11318
Kynnumboon,82.0,22.0,13.0,31.0,69.5,18.6,10.9,26.3,12228
Dunbible,210.0,71.0,37.0,75.0,69.1,23.7,12.1,24.8,11309
Fernvale (NSW),158.0,66.0,22.0,35.0,74.5,30.6,10.3,16.6,11511
Kielvale,166.0,56.0,40.0,61.0,77.2,25.5,18.7,28.1,12122
Reserve Creek,75.0,32.0,13.0,25.0,67.6,29.9,12.4,22.5,13353
Tygalgah,61.0,33.0,15.0,29.0,65.6,35.5,15.5,32.2,13996
Dulguigan,90.0,28.0,5.0,30.0,82.6,25.2,4.7,27.5,11302
Urliup,128.0,46.0,26.0,42.0,77.1,26.6,15.8,25.1,14060
Eviron,105.0,32.0,24.0,26.0,65.2,20.1,14.4,16.4,11472
Duranbah,133.0,41.0,23.0,45.0,66.5,20.7,11.6,22.1,11331
Condong,179.0,83.0,37.0,40.0,69.9,32.2,14.5,15.9,11003
Farrants Hill,78.0,31.0,14.0,24.0,78.8,31.3,13.1,25.0,11493
Clothiers Creek,155.0,66.0,14.0,54.0,70.1,29.7,6.2,24.4,10936
Nunderi,423.0,183.0,84.0,139.0,78.0,33.7,15.4,25.6,13042
Uki,417.0,151.0,60.0,138.0,72.1,26.1,10.5,23.8,14000
Bogangar,1780.0,735.0,287.0,495.0,73.0,30.1,11.7,20.3,10439
Mooball,113.0,52.0,17.0,20.0,75.8,32.9,11.2,13.7,12687
Cabarita Beach,62.0,23.0,8.0,24.0,70.5,27.7,9.3,27.6,10737
Pottsville,3752.0,1804.0,602.0,1124.0,73.7,35.5,11.8,22.1,13257
Crabbes Creek,170.0,64.0,28.0,52.0,68.8,25.5,11.0,21.0,11102
Upper Burringbar,178.0,50.0,25.0,43.0,75.7,21.8,10.7,18.6,14015
Burringbar,498.0,182.0,94.0,158.0,71.4,26.0,13.4,22.4,10713
Hastings Point,383.0,108.0,76.0,101.0,62.5,17.7,12.6,16.7,11868
Round Mountain,92.0,38.0,20.0,34.0,76.7,29.7,16.4,27.2,13425
Cudgera Creek,195.0,91.0,30.0,52.0,75.9,35.5,12.0,20.6,11144
Tweed Heads,4549.0,1365.0,815.0,1066.0,62.0,18.6,11.1,14.5,13984
Tweed Heads West,3235.0,1107.0,645.0,744.0,60.5,20.7,12.1,13.9,13986
Piggabeen,179.0,84.0,35.0,44.0,69.4,32.3,13.6,17.5,13202
Bilambil Heights,1998.0,732.0,370.0,453.0,73.0,26.8,13.6,16.6,10348
Cobaki,103.0,54.0,19.0,36.0,67.8,35.5,12.2,22.5,10947
Bilambil,243.0,117.0,38.0,63.0,71.5,34.5,11.1,18.2,10347
Carool,97.0,48.0,23.0,25.0,69.3,33.3,16.5,17.2,10822
Glengarrie,79.0,20.0,18.0,25.0,58.5,14.8,12.9,18.5,11666
Banora Point,9164.0,3323.0,1616.0,2149.0,66.8,24.2,11.8,15.7,10185
Terranora,1761.0,758.0,284.0,479.0,76.9,33.1,12.4,20.9,13802
North Tumbulgum,154.0,62.0,31.0,56.0,71.6,29.4,14.4,26.2,13012
Tweed Heads South,3888.0,1282.0,826.0,898.0,59.1,19.5,12.6,13.6,13985
Griffith (NSW),8938.0,3878.0,1639.0,2459.0,62.0,26.9,11.4,17.1,11782
Yoogali,633.0,253.0,151.0,175.0,63.7,25.4,15.1,17.5,14516
Bilbul,285.0,135.0,51.0,85.0,67.4,31.4,12.2,20.1,10349
Yenda (NSW),853.0,372.0,156.0,247.0,70.2,30.6,12.8,20.5,14504
Beelbangera,227.0,97.0,33.0,58.0,67.6,29.0,9.9,17.4,10251
Myall Park (NSW),92.0,48.0,16.0,42.0,65.7,32.2,11.1,28.4,12873
Binya,71.0,36.0,15.0,46.0,74.7,38.3,15.0,50.0,10373
Hillston,753.0,302.0,120.0,291.0,63.3,25.3,10.0,24.2,11912
Rankins Springs,93.0,32.0,17.0,61.0,66.4,23.2,11.6,44.9,13316
Whitton,228.0,83.0,63.0,53.0,57.6,20.9,15.8,13.4,14280
Tharbogang,225.0,85.0,50.0,62.0,57.4,21.1,12.8,15.6,13811
Hanwood,697.0,264.0,125.0,226.0,67.7,25.8,12.1,22.0,11850
Coleambally,710.0,296.0,114.0,368.0,68.1,28.7,10.9,35.2,10964
Darlington Point,584.0,227.0,127.0,156.0,63.6,24.7,13.8,16.9,11215
Carrathool,127.0,56.0,31.0,28.0,67.9,29.8,16.8,14.8,10827
Goolgowi,222.0,95.0,37.0,96.0,70.3,30.4,11.7,30.1,11705
Merriwagga,57.0,21.0,7.0,21.0,66.3,23.3,8.0,23.9,12586
Nericon,166.0,63.0,32.0,44.0,72.2,28.4,14.2,20.0,12927
Lake Wyangan,497.0,213.0,108.0,180.0,70.4,30.3,15.5,25.5,12255
Murrami,101.0,64.0,21.0,33.0,60.8,39.5,12.9,19.8,12850
Stanbridge,102.0,46.0,13.0,15.0,65.4,29.9,8.6,9.9,13646
Leeton,4641.0,1849.0,799.0,1628.0,67.2,26.8,11.6,23.6,12293
Yanco,406.0,160.0,67.0,177.0,56.2,22.1,9.2,24.4,14460
Corbie Hill,133.0,42.0,32.0,33.0,67.5,21.2,16.2,16.3,11068
Merungle Hill,124.0,55.0,24.0,61.0,59.6,26.8,11.5,29.2,12590
Narrandera,2134.0,883.0,442.0,808.0,60.4,25.0,12.5,22.9,12906
Grong Grong,129.0,47.0,23.0,59.0,65.5,23.3,11.3,30.1,11784
Boree Creek,119.0,45.0,26.0,45.0,77.3,29.4,17.0,29.4,10512
Gillenbah,60.0,22.0,14.0,36.0,49.2,18.0,11.3,29.8,11622
Tumbarumba,1012.0,384.0,203.0,420.0,65.7,25.0,13.2,27.4,13961
Khancoban,172.0,45.0,23.0,97.0,68.3,17.5,9.0,37.5,12111
Rosewood (Snowy Valleys - NSW),112.0,47.0,14.0,53.0,67.1,26.7,8.3,31.7,13415
Humula,80.0,28.0,17.0,29.0,76.9,26.9,15.9,26.1,11952
Tooma,68.0,25.0,10.0,26.0,75.6,26.9,10.4,28.9,13906
Tumut,3223.0,1327.0,522.0,1071.0,64.0,26.3,10.3,21.2,13966
Gilmore (NSW),102.0,48.0,18.0,55.0,74.5,35.6,12.8,39.3,11626
Batlow,711.0,234.0,117.0,239.0,63.3,20.8,10.4,21.3,10232
Talbingo,127.0,32.0,22.0,51.0,61.4,15.7,10.7,24.4,13730
Gocup,79.0,36.0,8.0,37.0,66.9,31.0,7.1,31.6,11690
Bombowlee,164.0,74.0,37.0,69.0,68.0,30.2,15.1,28.5,10459
Lacmalac,79.0,24.0,26.0,26.0,60.8,19.8,20.2,20.8,12231
Mundongo,130.0,44.0,19.0,55.0,74.7,24.7,10.7,32.5,12840
Adelong,534.0,217.0,109.0,207.0,70.3,28.3,14.2,27.2,10018
Cootamundra,3743.0,1302.0,781.0,1537.0,66.5,23.2,13.9,27.3,11053
Stockinbingal,205.0,54.0,38.0,69.0,67.9,18.2,12.8,23.2,13660
Wallendbeen,163.0,52.0,28.0,71.0,74.4,23.5,12.8,32.9,14113
Gundagai,895.0,363.0,191.0,384.0,64.5,26.2,13.8,27.7,11803
South Gundagai,407.0,158.0,89.0,132.0,62.6,24.0,13.7,20.3,13584
Tumblong,108.0,47.0,15.0,43.0,71.1,31.3,9.8,28.9,13963
Nangus,118.0,61.0,20.0,53.0,78.1,37.2,12.9,33.5,12890
Coolac,122.0,51.0,18.0,57.0,72.6,30.5,11.0,35.0,11022
Junee,2087.0,822.0,417.0,687.0,50.8,20.0,10.2,16.7,12046
Harefield,90.0,34.0,20.0,43.0,81.8,30.6,17.7,37.4,11853
Old Junee,155.0,59.0,37.0,68.0,74.9,28.1,17.9,32.2,13078
Illabo,87.0,30.0,23.0,44.0,75.0,25.4,18.4,35.8,11972
Bethungra,99.0,27.0,26.0,46.0,70.2,18.9,17.7,31.5,10328
Wantabadgery,102.0,35.0,21.0,46.0,73.4,23.2,14.2,31.3,14136
Temora,2544.0,925.0,498.0,1185.0,66.4,24.2,13.0,30.9,13784
Springdale (NSW),78.0,27.0,21.0,29.0,69.0,22.5,17.5,23.6,13621
Lake Albert (NSW),3854.0,1593.0,658.0,1277.0,78.1,32.3,13.4,25.9,12238
East Wagga Wagga,124.0,52.0,24.0,22.0,64.9,26.9,12.9,11.6,11364
Kooringal (NSW),4177.0,1710.0,702.0,1251.0,72.8,29.8,12.2,21.8,12193
Gumly Gumly,158.0,63.0,32.0,46.0,65.0,25.4,13.0,18.5,11800
Tatton,1507.0,721.0,239.0,531.0,76.3,36.6,12.1,26.9,13775
Estella,1357.0,499.0,151.0,492.0,74.0,27.3,8.3,26.9,11444
Boorooma,532.0,239.0,63.0,167.0,80.7,36.1,9.6,25.5,10501
North Wagga Wagga,375.0,149.0,68.0,109.0,63.8,25.3,11.6,18.7,13014
Cartwrights Hill,102.0,40.0,24.0,32.0,65.8,25.3,15.6,21.5,10839
Springvale (Wagga Wagga - NSW),1060.0,476.0,167.0,396.0,81.4,36.3,12.8,30.4,13628
Lloyd,476.0,237.0,79.0,152.0,76.7,38.6,12.8,24.5,12365
Bourkelands,1666.0,781.0,236.0,522.0,76.7,36.0,10.9,24.0,10523
Glenfield Park,2896.0,1331.0,438.0,718.0,71.3,32.8,10.8,17.7,11665
Tolland,1705.0,750.0,311.0,450.0,64.2,28.4,11.8,17.0,13887
Mount Austin,1993.0,767.0,363.0,484.0,62.3,24.0,11.4,15.1,12748
Turvey Park,2024.0,791.0,362.0,658.0,77.2,30.1,13.7,25.0,13983
San Isidore,248.0,94.0,53.0,93.0,75.8,29.1,16.2,28.4,13469
Ashmont,1795.0,778.0,370.0,373.0,60.9,26.3,12.5,12.6,10101
Wagga Wagga,4304.0,1270.0,645.0,1347.0,69.5,20.5,10.4,21.8,14083
Kapooka,126.0,63.0,11.0,86.0,21.8,11.0,1.9,14.9,12068
Moorong,89.0,54.0,17.0,39.0,74.2,43.5,13.5,32.8,12715
Ladysmith,210.0,86.0,50.0,78.0,74.5,30.9,17.7,27.8,12233
The Rock,689.0,285.0,125.0,261.0,69.2,28.5,12.6,26.2,13838
Forest Hill (NSW),1194.0,557.0,160.0,260.0,68.5,32.0,9.2,14.9,11544
Collingullie,120.0,50.0,9.0,27.0,68.2,29.2,5.1,15.7,10976
Lockhart,595.0,231.0,107.0,311.0,68.7,26.6,12.4,35.7,12369
Pleasant Hills,73.0,29.0,17.0,39.0,72.3,27.6,16.0,37.5,13228
Ganmain,429.0,172.0,64.0,239.0,70.3,28.2,10.4,38.9,11585
Matong,85.0,26.0,14.0,36.0,57.8,18.3,9.7,25.4,12523
Yerong Creek,167.0,72.0,39.0,98.0,65.2,27.8,14.7,37.8,14508
Uranquinty,494.0,226.0,98.0,165.0,71.0,32.4,14.0,23.6,14055
Currawarna,84.0,26.0,14.0,28.0,57.5,17.4,9.2,18.1,11178
Oura,121.0,49.0,16.0,47.0,72.0,29.9,9.5,27.3,13102
Eunanoreenya,107.0,40.0,17.0,38.0,77.5,29.6,12.4,29.2,11457
Gobbagombalin,290.0,121.0,19.0,76.0,79.9,32.6,5.1,20.6,11689
Brucedale,117.0,44.0,23.0,40.0,83.0,30.1,15.8,27.2,10613
Downside,77.0,30.0,13.0,33.0,77.0,28.6,12.9,32.4,11285
Euberta,82.0,34.0,6.0,34.0,70.7,29.6,5.0,30.1,11451
Marrar,213.0,94.0,31.0,89.0,74.2,32.6,10.9,30.7,12503
Coolamon,1135.0,510.0,220.0,478.0,66.3,29.7,12.8,27.8,11025
Tarcutta,245.0,87.0,56.0,112.0,64.8,23.3,14.9,29.7,13763
Gregadoo,142.0,71.0,19.0,54.0,75.1,38.2,10.3,29.2,11773
Big Springs,68.0,26.0,13.0,26.0,70.1,28.3,13.4,28.0,10345
Mangoplah,166.0,68.0,19.0,64.0,68.3,27.5,7.7,26.6,12470
Gelston Park,79.0,28.0,16.0,29.0,77.5,28.0,15.7,27.9,11597
Berry,1653.0,549.0,290.0,701.0,72.7,24.1,12.8,30.9,10322
Kangaroo Valley,573.0,183.0,105.0,260.0,76.0,24.2,14.1,34.4,12061
Barrengarry,98.0,36.0,12.0,48.0,60.9,23.1,7.6,30.0,10213
Upper Kangaroo River,77.0,28.0,10.0,42.0,78.6,28.9,10.4,42.4,14030
Broughton Vale,127.0,30.0,21.0,65.0,88.2,21.1,14.8,44.2,10606
Bellawongarah,87.0,17.0,16.0,17.0,76.3,14.4,13.3,14.4,10267
Beaumont (NSW),89.0,27.0,18.0,31.0,73.6,22.9,15.7,27.0,10242
Far Meadow,136.0,38.0,24.0,50.0,69.7,19.8,12.7,25.9,11488
Coolangatta (NSW),218.0,77.0,27.0,78.0,77.6,27.7,10.0,28.0,11026
Jaspers Brush,233.0,82.0,33.0,112.0,74.0,26.5,10.7,35.9,12002
Shoalhaven Heads,1825.0,621.0,331.0,619.0,69.0,23.5,12.5,23.4,13540
Callala Bay,1362.0,440.0,274.0,403.0,74.3,24.0,14.9,21.9,10757
Callala Beach,452.0,151.0,96.0,111.0,65.4,21.9,13.9,16.1,10758
Currarong,291.0,66.0,61.0,101.0,69.5,15.8,14.6,24.2,11176
Myola (NSW),44.0,3.0,5.0,15.0,41.5,2.8,4.7,14.0,12878
Orient Point,327.0,108.0,66.0,92.0,61.7,20.4,12.4,17.6,13096
Culburra Beach,1629.0,536.0,332.0,473.0,65.5,21.6,13.3,19.0,11146
Greenwell Point,717.0,193.0,143.0,175.0,65.9,17.7,13.2,16.1,11769
Numbaa,59.0,33.0,11.0,23.0,68.6,36.3,12.9,27.7,13035
Huskisson,486.0,137.0,96.0,164.0,66.7,18.7,13.1,22.2,11966
Vincentia,2112.0,717.0,337.0,692.0,75.1,25.6,12.0,24.7,14075
Hyams Beach,96.0,23.0,28.0,47.0,87.3,21.5,25.5,43.9,11967
Bomaderry,3729.0,1366.0,768.0,1057.0,67.3,24.7,13.8,19.1,10453
Cambewarra,165.0,50.0,33.0,70.0,79.3,24.5,16.3,33.8,10763
North Nowra,3286.0,1354.0,627.0,995.0,70.5,29.1,13.5,21.4,13000
Bangalee (NSW),457.0,147.0,75.0,151.0,82.0,26.2,13.4,26.9,10173
Meroo Meadow,310.0,118.0,57.0,82.0,80.5,30.9,14.9,21.6,12579
Cambewarra Village,758.0,348.0,133.0,279.0,82.8,37.9,14.6,30.4,10764
Tapitallee,414.0,140.0,78.0,149.0,78.6,26.8,14.9,28.3,13755
Worrigee,2817.0,1307.0,490.0,690.0,74.2,34.4,12.9,18.2,14423
Nowra,4499.0,1737.0,1010.0,1213.0,60.1,23.2,13.5,16.2,13028
Nowra Hill,813.0,311.0,136.0,207.0,43.4,16.6,7.2,11.0,13029
West Nowra,780.0,336.0,136.0,174.0,70.7,30.6,12.3,15.8,14248
Terara,137.0,56.0,32.0,40.0,65.9,27.1,15.0,18.6,13795
South Nowra,982.0,509.0,174.0,207.0,67.0,34.8,11.9,14.2,13594
St Georges Basin,1640.0,607.0,337.0,390.0,67.2,24.9,13.9,16.0,13636
Worrowing Heights,257.0,27.0,52.0,92.0,52.2,5.5,10.6,18.7,14424
Basin View,842.0,335.0,167.0,199.0,66.8,26.4,13.3,15.7,10223
Sanctuary Point,3987.0,1437.0,892.0,879.0,66.5,24.0,14.9,14.7,13472
Erowal Bay,384.0,129.0,79.0,100.0,72.3,24.2,14.8,18.8,11436
Wrights Beach,68.0,20.0,14.0,26.0,63.6,18.3,13.0,22.8,14428
Old Erowal Bay,579.0,258.0,138.0,134.0,70.9,31.7,17.0,16.4,13075
Sussex Inlet,2066.0,520.0,401.0,606.0,64.7,16.3,12.6,19.0,13700
Swanhaven,108.0,18.0,33.0,22.0,63.5,10.8,19.1,12.7,13709
Berrara,185.0,52.0,44.0,55.0,70.9,20.5,16.9,21.6,10313
Cudmirrah,176.0,61.0,35.0,76.0,73.6,25.5,14.5,31.7,11145
Falls Creek (NSW),569.0,197.0,87.0,112.0,71.5,24.7,10.9,14.1,11487
Tomerong,671.0,229.0,136.0,188.0,78.7,27.0,15.9,22.1,13894
Wandandian,217.0,78.0,30.0,66.0,79.5,29.4,11.1,24.3,14127
Woollamia,394.0,141.0,81.0,85.0,80.1,29.2,16.7,17.8,14405
Parma,123.0,45.0,17.0,30.0,84.8,31.2,11.6,21.0,13155
Ulladulla,3721.0,1201.0,749.0,1044.0,66.8,21.6,13.4,18.7,14003
Kings Point,351.0,126.0,56.0,106.0,75.8,27.9,12.2,23.3,12153
Burrill Lake,842.0,315.0,165.0,205.0,68.4,25.5,13.5,16.6,10712
Dolphin Point,111.0,30.0,34.0,33.0,63.8,16.7,18.6,18.2,11269
Milton (NSW),915.0,320.0,148.0,280.0,65.2,22.8,10.5,19.9,12630
Mollymook Beach,1555.0,476.0,241.0,512.0,74.1,22.7,11.5,24.5,12670
Narrawallee,800.0,240.0,150.0,235.0,76.2,22.8,14.3,22.4,12909
Mollymook,673.0,206.0,131.0,226.0,72.4,22.2,14.0,24.1,12669
Manyana,324.0,108.0,71.0,73.0,70.0,23.0,15.1,15.6,12482
Conjola,96.0,36.0,24.0,27.0,75.6,29.5,20.5,22.3,11011
Fishermans Paradise,266.0,95.0,68.0,51.0,66.7,23.8,17.1,12.8,11523
Lake Tabourie,396.0,143.0,79.0,112.0,73.2,26.6,14.8,21.0,12254
Conjola Park,194.0,57.0,40.0,64.0,69.8,20.5,14.0,22.9,11012
Lake Conjola,286.0,66.0,54.0,67.0,71.5,16.6,13.6,16.8,12244
Yatte Yattah,120.0,36.0,22.0,52.0,72.3,21.6,14.5,33.3,14497
Little Forest,122.0,39.0,21.0,49.0,83.6,27.9,15.2,34.5,12351
Croobyar,95.0,36.0,18.0,36.0,70.9,27.1,13.7,26.3,11121
Morton,133.0,47.0,22.0,23.0,73.1,25.4,12.0,12.7,12730
Woodstock (Shoalhaven - NSW),130.0,53.0,21.0,41.0,63.7,26.4,10.4,20.6,14396
Bawley Point,463.0,145.0,70.0,148.0,76.9,24.6,11.8,24.8,10235
Kioloa,154.0,41.0,27.0,44.0,64.7,17.0,11.5,19.0,12165
Termeil,169.0,48.0,26.0,34.0,73.8,21.8,11.7,15.4,13797
Bowral,6451.0,2120.0,1143.0,2182.0,74.2,24.4,13.2,25.1,10536
Burradoo,1644.0,522.0,285.0,620.0,72.7,23.1,12.6,27.4,10701
Woodlands (Wingecarribee - NSW),184.0,55.0,31.0,56.0,78.3,23.2,13.2,24.0,14388
Balmoral (Wingecarribee - NSW),277.0,118.0,52.0,60.0,78.5,33.7,14.6,16.9,10167
Hill Top (Wingecarribee - NSW),1461.0,698.0,236.0,294.0,72.1,34.5,11.6,14.5,11905
Colo Vale,965.0,406.0,178.0,271.0,75.0,31.8,14.0,21.2,10985
Alpine,87.0,26.0,16.0,35.0,80.6,25.7,14.5,34.0,10044
Aylmerton,130.0,49.0,35.0,37.0,76.9,29.5,20.7,22.3,10119
Mittagong,3479.0,1179.0,594.0,1138.0,71.5,24.2,12.2,23.4,12653
Willow Vale (Wingecarribee - NSW),449.0,162.0,78.0,108.0,76.0,27.4,13.3,18.3,14307
Renwick,369.0,156.0,55.0,103.0,80.0,33.8,11.9,22.2,13350
Balaclava (NSW),280.0,124.0,59.0,71.0,68.6,30.6,14.8,17.6,10143
Welby,390.0,169.0,74.0,102.0,63.7,27.2,12.1,16.7,14219
Glenquarry,129.0,55.0,28.0,46.0,76.3,32.5,16.5,27.2,11674
Braemar,275.0,125.0,35.0,54.0,80.9,36.5,10.4,16.0,10545
Moss Vale,4909.0,1960.0,908.0,1506.0,70.2,28.0,13.0,21.6,12739
Sutton Forest,297.0,111.0,44.0,106.0,76.3,27.8,11.2,26.8,13703
Berrima,424.0,134.0,67.0,158.0,75.2,23.6,11.8,27.9,10320
New Berrima,331.0,141.0,64.0,70.0,72.9,30.9,14.1,15.1,12938
Robertson (NSW),1130.0,425.0,172.0,359.0,75.8,28.5,11.6,24.0,13374
Kangaloon,84.0,36.0,21.0,29.0,67.7,30.3,17.5,24.0,12058
Wildes Meadow,166.0,43.0,33.0,54.0,71.6,19.0,14.9,23.5,14292
Burrawang,227.0,87.0,41.0,95.0,77.7,29.0,13.9,32.5,10708
Avoca (NSW),121.0,48.0,31.0,52.0,74.2,28.7,18.5,32.1,10113
Fitzroy Falls,131.0,54.0,21.0,59.0,74.9,31.4,12.2,34.3,11529
Bundanoon (NSW),1756.0,542.0,340.0,689.0,74.6,23.1,14.4,29.2,10670
Wingello,340.0,130.0,66.0,100.0,72.6,28.0,14.1,21.6,14330
Exeter (NSW),646.0,203.0,128.0,235.0,81.0,25.5,16.0,29.3,11475
High Range,240.0,100.0,33.0,86.0,77.2,32.2,10.3,27.6,11900
Medway,78.0,34.0,26.0,22.0,81.2,37.0,27.4,24.2,12555
Joadja,75.0,28.0,18.0,29.0,75.8,28.6,17.6,29.0,12035
Canyonleigh,245.0,91.0,52.0,73.0,74.0,27.1,15.6,22.2,10799
Penrose,150.0,67.0,37.0,66.0,73.9,31.8,17.8,31.7,13185
Baulkham Hills,22191.0,10237.0,3447.0,6264.0,76.4,35.3,11.9,21.6,10233
Bella Vista,4709.0,1850.0,729.0,1419.0,73.4,28.8,11.3,22.1,10263
Glenhaven,4087.0,1566.0,662.0,1275.0,77.0,29.5,12.5,24.0,11667
Castle Hill (NSW),23652.0,9903.0,3770.0,6996.0,74.2,31.1,11.8,21.9,10847
West Pennant Hills,10368.0,4200.0,1730.0,3470.0,77.6,31.5,13.0,26.0,14249
Cherrybrook,11658.0,4643.0,1901.0,3887.0,76.0,30.3,12.4,25.3,10898
Kellyville,16092.0,7799.0,2242.0,4251.0,76.0,36.9,10.6,20.1,12088
Kenthurst,3189.0,1286.0,539.0,966.0,78.5,31.7,13.3,23.8,12100
Glenorie,2052.0,830.0,364.0,554.0,73.2,29.6,13.0,19.8,11673
Maroota,322.0,142.0,64.0,107.0,67.2,29.4,13.2,22.0,12500
Canoelands,98.0,46.0,8.0,33.0,72.6,33.3,6.1,24.3,10794
Cattai,476.0,174.0,78.0,128.0,75.8,27.6,12.3,20.1,10859
South Maroota,316.0,129.0,57.0,95.0,73.1,29.5,13.1,22.0,13592
Dural (Hornsby - NSW),4536.0,1797.0,749.0,1432.0,73.3,29.0,12.1,23.1,11328
Sackville North,166.0,85.0,31.0,50.0,68.6,34.3,12.6,20.0,13459
Lower Portland,340.0,124.0,48.0,73.0,70.1,26.1,9.9,15.3,12412
Middle Dural,613.0,237.0,105.0,194.0,74.9,28.7,12.8,23.5,12603
Annangrove,869.0,320.0,168.0,248.0,75.0,27.6,14.6,21.5,10062
Galston,1947.0,805.0,371.0,639.0,76.8,31.7,14.6,25.2,11582
Arcadia (NSW),885.0,365.0,160.0,329.0,80.1,33.0,14.5,29.7,10072
Fiddletown,157.0,56.0,20.0,47.0,79.3,27.9,10.1,23.7,11513
Berowra Waters,40.0,14.0,4.0,14.0,37.7,12.1,3.8,13.3,10311
Berrilee,142.0,47.0,33.0,54.0,72.4,25.0,16.9,27.0,10319
Bilpin,403.0,158.0,83.0,133.0,73.8,29.0,15.1,24.4,10358
Colo Heights,179.0,74.0,29.0,87.0,69.1,28.2,11.1,34.1,10984
Lower Macdonald,169.0,63.0,26.0,36.0,76.5,27.8,11.8,16.3,12408
Cumberland Reach,103.0,50.0,13.0,11.0,74.6,35.7,8.9,7.9,11156
St Albans (NSW),90.0,17.0,11.0,48.0,58.8,11.0,7.4,30.6,13630
Bowen Mountain,936.0,427.0,139.0,259.0,77.8,35.5,11.5,21.6,10528
Grose Vale,812.0,324.0,126.0,253.0,78.8,31.6,12.2,24.7,11785
Grose Wold,402.0,158.0,69.0,119.0,76.9,30.6,13.0,22.7,11786
Kurrajong,1949.0,723.0,290.0,561.0,77.5,28.7,11.5,22.3,12218
Kurrajong Hills,430.0,145.0,66.0,115.0,78.9,26.7,12.3,21.3,12220
Kurrajong Heights,832.0,307.0,158.0,248.0,76.6,28.1,14.5,22.8,12219
Kurmond,534.0,212.0,104.0,141.0,77.4,30.8,15.1,20.4,12215
The Slopes,220.0,78.0,27.0,65.0,78.6,28.1,9.6,23.6,13842
East Kurrajong,1266.0,568.0,196.0,335.0,74.4,33.3,11.5,19.7,11356
Wilberforce (NSW),1783.0,771.0,287.0,477.0,74.2,32.1,12.0,19.8,14288
Freemans Reach,1124.0,501.0,197.0,269.0,71.8,31.9,12.6,17.1,11564
Sackville,157.0,55.0,24.0,52.0,59.7,21.6,9.1,20.2,13458
Ebenezer (NSW),577.0,240.0,101.0,151.0,73.2,30.5,12.9,19.1,11371
