,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Currans Hill,480.0,413.0,155.0,683.0,668.0,173.0,640.0,4.0,0.0,323.0,14.0,216.0,12.4,10.6,4.0,17.6,17.2,4.5,16.5,0.1,0.0,8.3,0.4,5.6,11175
Gregory Hills,743.0,426.0,150.0,567.0,644.0,130.0,412.0,0.0,0.0,184.0,10.0,315.0,20.2,11.6,4.1,15.4,17.5,3.5,11.2,0.0,0.0,5.0,0.3,8.6,11774
Narellan Vale,733.0,517.0,220.0,996.0,846.0,290.0,906.0,8.0,0.0,482.0,10.0,331.0,13.3,9.4,4.0,18.0,15.3,5.3,16.4,0.1,0.0,8.7,0.2,6.0,12897
Spring Farm (NSW),561.0,397.0,180.0,563.0,457.0,119.0,406.0,3.0,0.0,164.0,5.0,189.0,17.8,12.6,5.7,17.9,14.5,3.8,12.9,0.1,0.0,5.2,0.2,6.0,13612
Airds,33.0,96.0,33.0,193.0,357.0,125.0,427.0,8.0,0.0,420.0,30.0,376.0,1.5,4.5,1.5,9.0,16.6,5.8,19.9,0.4,0.0,19.6,1.4,17.5,10022
Bradbury (NSW),789.0,572.0,268.0,1132.0,1109.0,305.0,1177.0,3.0,0.0,650.0,44.0,601.0,11.4,8.3,3.9,16.4,16.0,4.4,17.0,0.0,0.0,9.4,0.6,8.7,10543
St Helens Park,508.0,427.0,203.0,865.0,877.0,241.0,813.0,6.0,0.0,476.0,36.0,350.0,10.2,8.6,4.1,17.4,17.7,4.9,16.4,0.1,0.0,9.6,0.7,7.1,13637
Wedderburn (NSW),73.0,54.0,22.0,86.0,66.0,10.0,95.0,0.0,0.0,27.0,3.0,49.0,14.7,10.9,4.4,17.3,13.3,2.0,19.1,0.0,0.0,5.4,0.6,9.9,14209
Woodbine (NSW),288.0,201.0,59.0,331.0,388.0,76.0,309.0,3.0,0.0,181.0,18.0,221.0,13.4,9.3,2.7,15.4,18.0,3.5,14.4,0.1,0.0,8.4,0.8,10.3,14378
Campbelltown (NSW),1609.0,849.0,313.0,1326.0,1703.0,389.0,1480.0,17.0,0.0,1050.0,66.0,1237.0,15.6,8.2,3.0,12.8,16.5,3.8,14.3,0.2,0.0,10.2,0.6,12.0,10780
Leumeah,1105.0,644.0,273.0,1224.0,1271.0,301.0,1198.0,7.0,0.0,811.0,50.0,702.0,14.1,8.2,3.5,15.6,16.2,3.8,15.2,0.1,0.0,10.3,0.6,8.9,12308
Blair Athol (NSW),541.0,236.0,56.0,242.0,514.0,103.0,205.0,0.0,0.0,133.0,23.0,100.0,24.1,10.5,2.5,10.8,22.9,4.6,9.1,0.0,0.0,5.9,1.0,4.5,10400
Raby,578.0,438.0,181.0,820.0,815.0,209.0,751.0,8.0,0.0,390.0,30.0,321.0,12.2,9.3,3.8,17.4,17.3,4.4,15.9,0.2,0.0,8.3,0.6,6.8,13303
Eagle Vale,507.0,421.0,154.0,719.0,869.0,212.0,759.0,13.0,3.0,418.0,61.0,306.0,11.0,9.2,3.4,15.6,18.9,4.6,16.5,0.3,0.1,9.1,1.3,6.7,11341
Eschol Park,229.0,202.0,97.0,378.0,341.0,81.0,348.0,0.0,0.0,178.0,12.0,111.0,11.2,9.9,4.8,18.5,16.7,4.0,17.1,0.0,0.0,8.7,0.6,5.4,11441
Blairmount,51.0,32.0,14.0,34.0,59.0,22.0,37.0,0.0,0.0,35.0,4.0,33.0,15.6,9.8,4.3,10.4,18.1,6.7,11.3,0.0,0.0,10.7,1.2,10.1,10401
Kearns,278.0,201.0,93.0,370.0,439.0,96.0,338.0,3.0,0.0,167.0,14.0,120.0,12.6,9.1,4.2,16.8,19.9,4.4,15.4,0.1,0.0,7.6,0.6,5.5,12079
Claymore,23.0,76.0,21.0,122.0,263.0,122.0,291.0,4.0,0.0,269.0,45.0,502.0,1.3,4.3,1.2,6.9,14.9,6.9,16.5,0.2,0.0,15.3,2.6,28.5,10924
Holsworthy,1154.0,421.0,173.0,537.0,757.0,187.0,367.0,3.0,0.0,165.0,10.0,364.0,27.2,9.9,4.1,12.7,17.8,4.4,8.6,0.1,0.0,3.9,0.2,8.6,11926
Ingleburn,2358.0,1039.0,373.0,1458.0,2141.0,464.0,1594.0,12.0,0.0,950.0,95.0,1070.0,19.7,8.7,3.1,12.2,17.9,3.9,13.3,0.1,0.0,8.0,0.8,9.0,11978
Macquarie Links,335.0,105.0,15.0,99.0,226.0,42.0,107.0,0.0,0.0,32.0,7.0,67.0,31.4,9.8,1.4,9.3,21.2,3.9,10.0,0.0,0.0,3.0,0.7,6.3,12435
Denham Court,339.0,136.0,38.0,241.0,258.0,52.0,192.0,0.0,0.0,112.0,12.0,248.0,20.1,8.1,2.3,14.3,15.3,3.1,11.4,0.0,0.0,6.6,0.7,14.7,11235
Bardia,405.0,107.0,50.0,110.0,219.0,33.0,88.0,3.0,0.0,34.0,7.0,85.0,35.2,9.3,4.3,9.5,19.0,2.9,7.6,0.3,0.0,3.0,0.6,7.4,10194
Edmondson Park,455.0,177.0,39.0,143.0,320.0,59.0,141.0,0.0,0.0,99.0,27.0,152.0,27.2,10.6,2.3,8.6,19.2,3.5,8.4,0.0,0.0,5.9,1.6,9.1,11383
Ruse,479.0,432.0,181.0,759.0,719.0,185.0,833.0,4.0,0.0,400.0,17.0,309.0,10.7,9.6,4.0,16.9,16.0,4.1,18.6,0.1,0.0,8.9,0.4,6.9,13443
Kentlyn,123.0,45.0,12.0,93.0,83.0,24.0,89.0,3.0,0.0,45.0,6.0,42.0,20.7,7.6,2.0,15.6,13.9,4.0,15.0,0.5,0.0,7.6,1.0,7.1,12101
Minto Heights,51.0,32.0,7.0,53.0,35.0,13.0,52.0,0.0,0.0,29.0,5.0,40.0,15.8,9.9,2.2,16.5,10.9,4.0,16.1,0.0,0.0,9.0,1.6,12.4,12643
Macquarie Fields,1717.0,785.0,271.0,1192.0,1847.0,451.0,1532.0,16.0,7.0,1140.0,120.0,1218.0,16.2,7.4,2.6,11.3,17.5,4.3,14.5,0.2,0.1,10.8,1.1,11.5,12433
Glenfield (NSW),2073.0,678.0,172.0,778.0,1293.0,210.0,707.0,6.0,0.0,499.0,43.0,848.0,27.5,9.0,2.3,10.3,17.1,2.8,9.4,0.1,0.0,6.6,0.6,11.2,11664
Long Point (Campbelltown - NSW),32.0,14.0,8.0,35.0,13.0,4.0,24.0,0.0,0.0,11.0,0.0,16.0,19.3,8.4,4.8,21.1,7.8,2.4,14.5,0.0,0.0,6.6,0.0,9.6,12381
St Andrews (NSW),588.0,389.0,150.0,716.0,769.0,204.0,785.0,6.0,0.0,397.0,30.0,316.0,13.0,8.6,3.3,15.9,17.0,4.5,17.4,0.1,0.0,8.8,0.7,7.0,13631
Bow Bowing,215.0,138.0,38.0,163.0,266.0,54.0,180.0,0.0,0.0,102.0,11.0,69.0,17.0,10.9,3.0,12.9,21.1,4.3,14.3,0.0,0.0,8.1,0.9,5.5,10526
Minto,1769.0,790.0,249.0,1054.0,1897.0,419.0,1286.0,6.0,0.0,920.0,132.0,878.0,18.2,8.1,2.6,10.9,19.6,4.3,13.3,0.1,0.0,9.5,1.4,9.1,12642
Rosemeadow,591.0,463.0,202.0,934.0,1138.0,275.0,988.0,9.0,0.0,631.0,71.0,547.0,9.8,7.7,3.3,15.5,18.9,4.6,16.4,0.1,0.0,10.5,1.2,9.1,13410
Ambarvale,492.0,433.0,187.0,845.0,946.0,266.0,966.0,15.0,3.0,594.0,42.0,662.0,8.7,7.6,3.3,14.9,16.7,4.7,17.1,0.3,0.1,10.5,0.7,11.7,10049
Menangle Park,10.0,22.0,3.0,33.0,29.0,8.0,46.0,0.0,0.0,18.0,0.0,18.0,5.0,11.1,1.5,16.6,14.6,4.0,23.1,0.0,0.0,9.0,0.0,9.0,12569
Gilead,25.0,26.0,8.0,34.0,25.0,8.0,57.0,0.0,0.0,24.0,0.0,185.0,6.1,6.4,2.0,8.4,6.1,2.0,14.0,0.0,0.0,5.9,0.0,45.5,11617
Glen Alpine,766.0,423.0,126.0,514.0,691.0,136.0,465.0,3.0,0.0,230.0,17.0,213.0,20.3,11.2,3.3,13.6,18.3,3.6,12.3,0.1,0.0,6.1,0.5,5.6,11645
Englorie Park,80.0,28.0,15.0,39.0,43.0,10.0,38.0,0.0,0.0,20.0,3.0,36.0,26.6,9.3,5.0,13.0,14.3,3.3,12.6,0.0,0.0,6.6,1.0,12.0,11423
Yanderra,43.0,34.0,22.0,119.0,73.0,22.0,90.0,0.0,0.0,41.0,0.0,53.0,8.3,6.6,4.2,22.9,14.1,4.2,17.3,0.0,0.0,7.9,0.0,10.2,14461
Douglas Park,169.0,94.0,31.0,233.0,147.0,30.0,178.0,0.0,0.0,64.0,3.0,107.0,15.5,8.6,2.9,21.4,13.5,2.8,16.4,0.0,0.0,5.9,0.3,9.8,11283
Razorback,144.0,105.0,22.0,136.0,109.0,32.0,117.0,0.0,0.0,51.0,3.0,70.0,17.3,12.6,2.6,16.3,13.1,3.8,14.0,0.0,0.0,6.1,0.4,8.4,13328
Appin (NSW),238.0,184.0,97.0,447.0,228.0,58.0,323.0,0.0,0.0,166.0,4.0,144.0,12.2,9.4,5.0,22.9,11.7,3.0,16.6,0.0,0.0,8.5,0.2,7.4,10063
Menangle,149.0,102.0,23.0,176.0,112.0,20.0,130.0,0.0,0.0,83.0,3.0,155.0,14.9,10.2,2.3,17.7,11.2,2.0,13.0,0.0,0.0,8.3,0.3,15.5,12568
Picton (NSW),648.0,390.0,127.0,713.0,509.0,141.0,514.0,7.0,0.0,273.0,9.0,359.0,17.0,10.2,3.3,18.7,13.3,3.7,13.4,0.2,0.0,7.1,0.2,9.4,13200
Tahmoor,353.0,302.0,166.0,773.0,455.0,164.0,702.0,4.0,0.0,430.0,16.0,494.0,8.9,7.6,4.2,19.5,11.4,4.1,17.7,0.1,0.0,10.8,0.4,12.4,13727
Buxton (NSW),121.0,135.0,62.0,366.0,172.0,70.0,299.0,5.0,0.0,130.0,0.0,137.0,7.9,8.8,4.1,24.0,11.3,4.6,19.6,0.3,0.0,8.5,0.0,9.0,10726
Thirlmere,369.0,257.0,104.0,613.0,346.0,118.0,538.0,6.0,0.0,287.0,6.0,470.0,11.4,8.0,3.2,19.0,10.7,3.7,16.7,0.2,0.0,8.9,0.2,14.6,13847
Couridjah,26.0,27.0,3.0,41.0,34.0,11.0,42.0,0.0,0.0,21.0,3.0,25.0,10.9,11.3,1.3,17.2,14.2,4.6,17.6,0.0,0.0,8.8,1.3,10.5,11093
Lakesland,58.0,23.0,7.0,66.0,47.0,9.0,50.0,0.0,0.0,37.0,3.0,34.0,17.3,6.9,2.1,19.7,14.0,2.7,14.9,0.0,0.0,11.0,0.9,10.1,12258
The Oaks,241.0,171.0,66.0,400.0,241.0,67.0,350.0,0.0,3.0,187.0,7.0,174.0,12.3,8.7,3.4,20.4,12.3,3.4,17.9,0.0,0.2,9.6,0.4,8.9,13831
Werombi,80.0,61.0,42.0,162.0,86.0,19.0,100.0,0.0,0.0,62.0,0.0,75.0,11.0,8.4,5.8,22.3,11.8,2.6,13.8,0.0,0.0,8.5,0.0,10.3,14232
Orangeville,147.0,97.0,36.0,195.0,114.0,28.0,152.0,0.0,0.0,62.0,0.0,83.0,15.6,10.3,3.8,20.6,12.1,3.0,16.1,0.0,0.0,6.6,0.0,8.8,13094
Belimbla Park,55.0,44.0,24.0,105.0,58.0,15.0,69.0,0.0,0.0,29.0,0.0,45.0,12.1,9.7,5.3,23.2,12.8,3.3,15.2,0.0,0.0,6.4,0.0,9.9,10261
Mount Hunter,88.0,40.0,30.0,123.0,79.0,21.0,78.0,0.0,0.0,42.0,0.0,57.0,15.5,7.0,5.3,21.6,13.9,3.7,13.7,0.0,0.0,7.4,0.0,10.0,12765
Brownlow Hill,95.0,24.0,3.0,54.0,80.0,6.0,23.0,0.0,0.0,16.0,0.0,26.0,27.8,7.0,0.9,15.8,23.4,1.8,6.7,0.0,0.0,4.7,0.0,7.6,10609
Theresa Park,68.0,48.0,24.0,81.0,45.0,13.0,58.0,0.0,0.0,38.0,5.0,46.0,15.2,10.7,5.4,18.1,10.1,2.9,13.0,0.0,0.0,8.5,1.1,10.3,13845
Silverdale (NSW),324.0,229.0,104.0,640.0,383.0,104.0,495.0,3.0,0.0,228.0,5.0,227.0,11.3,8.0,3.6,22.4,13.4,3.6,17.3,0.1,0.0,8.0,0.2,7.9,13544
Oakdale (NSW),133.0,116.0,54.0,325.0,178.0,50.0,260.0,5.0,0.0,146.0,4.0,129.0,9.2,8.0,3.7,22.4,12.3,3.4,17.9,0.3,0.0,10.1,0.3,8.9,13054
Blackheath,1119.0,435.0,127.0,419.0,450.0,95.0,369.0,4.0,0.0,214.0,15.0,340.0,30.0,11.6,3.4,11.2,12.0,2.5,9.9,0.1,0.0,5.7,0.4,9.1,10393
Mount Victoria,191.0,81.0,22.0,132.0,115.0,42.0,86.0,0.0,0.0,38.0,0.0,115.0,22.4,9.5,2.6,15.5,13.5,4.9,10.1,0.0,0.0,4.5,0.0,13.5,12797
Glenbrook,1371.0,470.0,151.0,480.0,541.0,126.0,356.0,0.0,0.0,180.0,5.0,242.0,33.8,11.6,3.7,11.8,13.4,3.1,8.8,0.0,0.0,4.4,0.1,6.0,11656
Blaxland (NSW),1641.0,704.0,254.0,815.0,754.0,190.0,673.0,4.0,0.0,309.0,7.0,352.0,27.6,11.8,4.3,13.7,12.7,3.2,11.3,0.1,0.0,5.2,0.1,5.9,10407
Warrimoo,609.0,177.0,84.0,273.0,251.0,70.0,213.0,0.0,0.0,96.0,0.0,110.0,31.2,9.1,4.3,14.0,12.9,3.6,10.9,0.0,0.0,4.9,0.0,5.6,14174
Lapstone,252.0,98.0,30.0,82.0,103.0,21.0,72.0,0.0,0.0,42.0,0.0,67.0,31.8,12.4,3.8,10.3,13.0,2.6,9.1,0.0,0.0,5.3,0.0,8.4,12276
Mount Riverview,633.0,304.0,128.0,332.0,301.0,60.0,284.0,0.0,0.0,123.0,3.0,114.0,26.8,12.8,5.4,14.0,12.7,2.5,12.0,0.0,0.0,5.2,0.1,4.8,12788
Yarramundi,109.0,71.0,16.0,164.0,72.0,28.0,86.0,3.0,0.0,46.0,0.0,32.0,17.1,11.1,2.5,25.7,11.3,4.4,13.5,0.5,0.0,7.2,0.0,5.0,14477
Katoomba,1713.0,736.0,259.0,759.0,861.0,217.0,698.0,11.0,0.0,448.0,24.0,764.0,25.4,10.9,3.8,11.3,12.8,3.2,10.4,0.2,0.0,6.6,0.4,11.3,12077
Leura,1180.0,490.0,107.0,372.0,597.0,101.0,300.0,5.0,0.0,176.0,5.0,572.0,29.0,12.0,2.6,9.1,14.7,2.5,7.4,0.1,0.0,4.3,0.1,14.1,12309
Medlow Bath,139.0,73.0,33.0,70.0,64.0,15.0,59.0,0.0,0.0,25.0,3.0,40.0,25.6,13.4,6.1,12.9,11.8,2.8,10.8,0.0,0.0,4.6,0.6,7.4,12553
Linden (NSW),138.0,58.0,12.0,56.0,42.0,11.0,49.0,0.0,0.0,19.0,0.0,26.0,33.6,14.1,2.9,13.6,10.2,2.7,11.9,0.0,0.0,4.6,0.0,6.3,12335
Woodford (NSW),441.0,178.0,76.0,224.0,201.0,57.0,173.0,0.0,0.0,79.0,0.0,102.0,27.9,11.3,4.8,14.2,12.7,3.6,10.9,0.0,0.0,5.0,0.0,6.5,14383
Hazelbrook,984.0,491.0,180.0,597.0,468.0,115.0,435.0,0.0,0.0,248.0,0.0,224.0,25.4,12.7,4.6,15.4,12.1,3.0,11.2,0.0,0.0,6.4,0.0,5.8,11881
Lawson (NSW),538.0,220.0,88.0,322.0,238.0,81.0,275.0,3.0,0.0,125.0,7.0,172.0,25.3,10.3,4.1,15.1,11.2,3.8,12.9,0.1,0.0,5.9,0.3,8.1,12289
Bullaburra,257.0,128.0,52.0,141.0,115.0,29.0,115.0,0.0,0.0,56.0,0.0,65.0,25.9,12.9,5.2,14.2,11.6,2.9,11.6,0.0,0.0,5.6,0.0,6.6,10656
Faulconbridge,916.0,346.0,124.0,434.0,415.0,123.0,375.0,0.0,0.0,166.0,6.0,167.0,28.8,10.9,3.9,13.7,13.1,3.9,11.8,0.0,0.0,5.2,0.2,5.3,11496
Winmalee,1107.0,634.0,217.0,748.0,645.0,200.0,591.0,0.0,0.0,297.0,10.0,258.0,22.7,13.0,4.4,15.3,13.2,4.1,12.1,0.0,0.0,6.1,0.2,5.3,14334
Hawkesbury Heights,65.0,51.0,15.0,64.0,46.0,18.0,49.0,0.0,0.0,25.0,0.0,20.0,18.1,14.2,4.2,17.8,12.8,5.0,13.6,0.0,0.0,6.9,0.0,5.6,11872
Yellow Rock (Blue Mountains - NSW),126.0,101.0,39.0,173.0,106.0,29.0,114.0,0.0,0.0,58.0,0.0,42.0,15.4,12.4,4.8,21.2,13.0,3.6,14.0,0.0,0.0,7.1,0.0,5.1,14502
Springwood (NSW),1958.0,851.0,272.0,888.0,827.0,194.0,735.0,5.0,0.0,475.0,11.0,545.0,27.8,12.1,3.9,12.6,11.7,2.7,10.4,0.1,0.0,6.7,0.2,7.7,13629
Valley Heights,244.0,118.0,28.0,122.0,122.0,30.0,114.0,0.0,0.0,59.0,0.0,66.0,25.5,12.3,2.9,12.8,12.8,3.1,11.9,0.0,0.0,6.2,0.0,6.9,14069
Sun Valley (NSW),61.0,21.0,8.0,27.0,19.0,4.0,12.0,0.0,0.0,13.0,0.0,12.0,33.3,11.5,4.4,14.8,10.4,2.2,6.6,0.0,0.0,7.1,0.0,6.6,13691
Wentworth Falls,1494.0,575.0,189.0,563.0,628.0,152.0,498.0,3.0,0.0,277.0,14.0,470.0,29.5,11.3,3.7,11.1,12.4,3.0,9.8,0.1,0.0,5.5,0.3,9.3,14226
Werrington Downs,290.0,211.0,116.0,483.0,403.0,76.0,511.0,3.0,0.0,216.0,6.0,134.0,11.5,8.3,4.6,19.1,15.9,3.0,20.2,0.1,0.0,8.5,0.2,5.3,14237
Cambridge Park,461.0,387.0,219.0,905.0,777.0,252.0,980.0,5.0,0.0,612.0,24.0,536.0,8.7,7.3,4.1,17.0,14.6,4.7,18.4,0.1,0.0,11.5,0.5,10.1,10768
Werrington County,244.0,227.0,121.0,542.0,477.0,125.0,586.0,3.0,0.0,288.0,12.0,192.0,8.3,7.8,4.1,18.5,16.3,4.3,20.0,0.1,0.0,9.8,0.4,6.6,14236
Cambridge Gardens,154.0,126.0,89.0,304.0,225.0,78.0,265.0,0.0,0.0,152.0,4.0,106.0,9.9,8.1,5.7,19.5,14.4,5.0,17.0,0.0,0.0,9.7,0.3,6.8,10767
Cranebrook,1554.0,1064.0,533.0,2124.0,1859.0,559.0,2028.0,11.0,6.0,1085.0,40.0,930.0,12.8,8.8,4.4,17.5,15.3,4.6,16.7,0.1,0.0,9.0,0.3,7.7,11105
Llandilo,89.0,59.0,35.0,245.0,150.0,58.0,240.0,0.0,0.0,188.0,22.0,170.0,6.9,4.6,2.7,19.1,11.7,4.5,18.7,0.0,0.0,14.7,1.7,13.3,12363
Castlereagh,108.0,88.0,28.0,171.0,108.0,35.0,171.0,0.0,0.0,89.0,3.0,102.0,11.5,9.4,3.0,18.2,11.5,3.7,18.2,0.0,0.0,9.5,0.3,10.9,10850
Penrith,1643.0,893.0,400.0,1468.0,1546.0,424.0,1668.0,14.0,0.0,1229.0,39.0,1410.0,14.8,8.0,3.6,13.2,13.9,3.8,15.0,0.1,0.0,11.1,0.4,12.7,13184
Jordan Springs,927.0,455.0,181.0,517.0,654.0,137.0,410.0,3.0,0.0,198.0,18.0,195.0,24.5,12.0,4.8,13.7,17.3,3.6,10.8,0.1,0.0,5.2,0.5,5.2,12042
Emu Plains,1013.0,623.0,277.0,1063.0,910.0,221.0,1047.0,4.0,0.0,687.0,40.0,720.0,14.9,9.1,4.1,15.6,13.3,3.2,15.4,0.1,0.0,10.1,0.6,10.6,11418
Leonay,409.0,245.0,61.0,316.0,279.0,75.0,256.0,0.0,0.0,108.0,3.0,148.0,20.8,12.4,3.1,16.0,14.2,3.8,13.0,0.0,0.0,5.5,0.2,7.5,12304
Emu Heights (NSW),417.0,250.0,122.0,462.0,437.0,109.0,389.0,0.0,0.0,193.0,3.0,132.0,16.1,9.6,4.7,17.8,16.8,4.2,15.0,0.0,0.0,7.4,0.1,5.1,11417
Glenmore Park,3112.0,1908.0,733.0,2651.0,2988.0,749.0,2554.0,12.0,0.0,1140.0,64.0,962.0,17.9,11.0,4.2,15.2,17.2,4.3,14.7,0.1,0.0,6.6,0.4,5.5,11670
Regentville,75.0,64.0,25.0,116.0,118.0,19.0,84.0,0.0,0.0,64.0,0.0,75.0,11.7,10.0,3.9,18.0,18.4,3.0,13.1,0.0,0.0,10.0,0.0,11.7,13346
Jamisontown,530.0,366.0,200.0,720.0,653.0,148.0,769.0,3.0,0.0,428.0,11.0,431.0,12.1,8.3,4.6,16.4,14.9,3.4,17.5,0.1,0.0,9.7,0.3,9.8,12000
South Penrith,1188.0,787.0,378.0,1576.0,1390.0,385.0,1578.0,8.0,0.0,925.0,29.0,763.0,12.8,8.5,4.1,16.9,14.9,4.1,17.0,0.1,0.0,9.9,0.3,8.2,13596
Kingswood (Penrith - NSW),1175.0,567.0,297.0,968.0,1054.0,292.0,1139.0,10.0,0.0,758.0,40.0,853.0,16.0,7.7,4.0,13.2,14.3,4.0,15.5,0.1,0.0,10.3,0.5,11.6,12163
Caddens,267.0,114.0,35.0,162.0,232.0,28.0,101.0,0.0,0.0,87.0,4.0,94.0,22.9,9.8,3.0,13.9,19.9,2.4,8.6,0.0,0.0,7.4,0.3,8.0,10743
Werrington,505.0,255.0,126.0,432.0,513.0,141.0,507.0,8.0,0.0,292.0,22.0,305.0,15.8,8.0,3.9,13.5,16.0,4.4,15.9,0.3,0.0,9.1,0.7,9.5,14235
Claremont Meadows,589.0,309.0,151.0,561.0,666.0,173.0,540.0,3.0,0.0,249.0,23.0,231.0,16.4,8.6,4.2,15.7,18.6,4.8,15.1,0.1,0.0,7.0,0.6,6.4,10918
Wallacia,135.0,92.0,49.0,261.0,179.0,55.0,220.0,3.0,0.0,118.0,6.0,142.0,10.4,7.1,3.8,20.1,13.8,4.2,16.9,0.2,0.0,9.1,0.5,10.9,14101
Mulgoa,267.0,151.0,35.0,274.0,181.0,58.0,196.0,0.0,0.0,136.0,8.0,151.0,17.5,9.9,2.3,18.0,11.9,3.8,12.9,0.0,0.0,8.9,0.5,9.9,12814
Luddenham,174.0,128.0,31.0,253.0,193.0,56.0,223.0,0.0,0.0,145.0,10.0,134.0,12.3,9.1,2.2,18.0,13.7,4.0,15.8,0.0,0.0,10.3,0.7,9.5,12419
Badgerys Creek,10.0,4.0,3.0,22.0,29.0,3.0,31.0,0.0,0.0,53.0,4.0,6.0,5.6,2.3,1.7,12.4,16.4,1.7,17.5,0.0,0.0,29.9,2.3,3.4,10132
Orchard Hills,241.0,107.0,33.0,245.0,249.0,63.0,270.0,0.0,0.0,176.0,7.0,138.0,15.1,6.7,2.1,15.4,15.6,4.0,17.0,0.0,0.0,11.1,0.4,8.7,13095
Warragamba,56.0,67.0,46.0,186.0,117.0,55.0,196.0,0.0,0.0,131.0,0.0,90.0,5.7,6.8,4.7,18.8,11.8,5.6,19.8,0.0,0.0,13.2,0.0,9.1,14158
Richmond (NSW),666.0,405.0,198.0,629.0,646.0,184.0,661.0,4.0,0.0,505.0,26.0,678.0,14.1,8.6,4.2,13.3,13.6,3.9,14.0,0.1,0.0,10.7,0.5,14.3,13360
North Richmond,508.0,396.0,169.0,677.0,497.0,167.0,712.0,0.0,0.0,426.0,11.0,308.0,12.6,9.8,4.2,16.8,12.4,4.2,17.7,0.0,0.0,10.6,0.3,7.7,13002
Agnes Banks,85.0,54.0,24.0,134.0,83.0,25.0,115.0,0.0,0.0,83.0,0.0,63.0,12.5,7.9,3.5,19.6,12.2,3.7,16.9,0.0,0.0,12.2,0.0,9.2,10021
Hobartville (NSW),269.0,202.0,95.0,374.0,288.0,85.0,366.0,3.0,0.0,240.0,3.0,169.0,12.5,9.4,4.4,17.3,13.4,3.9,17.0,0.1,0.0,11.1,0.1,7.8,11917
South Windsor,398.0,308.0,197.0,812.0,600.0,221.0,890.0,8.0,0.0,589.0,14.0,499.0,8.5,6.6,4.2,17.4,12.9,4.7,19.1,0.2,0.0,12.6,0.3,10.7,13601
Windsor (NSW),234.0,121.0,65.0,237.0,196.0,73.0,256.0,0.0,0.0,184.0,9.0,155.0,14.7,7.6,4.1,14.9,12.3,4.6,16.1,0.0,0.0,11.6,0.6,9.8,14325
Bligh Park,493.0,452.0,262.0,1005.0,700.0,208.0,870.0,4.0,0.0,422.0,7.0,263.0,10.2,9.4,5.4,20.8,14.5,4.3,18.0,0.1,0.0,8.7,0.1,5.4,10411
Windsor Downs,147.0,87.0,34.0,199.0,154.0,29.0,154.0,0.0,0.0,98.0,8.0,80.0,14.3,8.5,3.3,19.3,15.0,2.8,15.0,0.0,0.0,9.5,0.8,7.8,14326
Londonderry (NSW),207.0,192.0,104.0,665.0,347.0,112.0,631.0,3.0,0.0,413.0,14.0,366.0,6.6,6.1,3.3,21.2,11.1,3.6,20.1,0.1,0.0,13.2,0.4,11.7,12375
Berkshire Park,57.0,61.0,27.0,199.0,97.0,37.0,189.0,3.0,0.0,136.0,8.0,1074.0,3.0,3.2,1.4,10.5,5.1,1.9,9.9,0.2,0.0,7.1,0.4,56.4,10305
Erskine Park,710.0,444.0,204.0,911.0,924.0,249.0,881.0,3.0,0.0,386.0,20.0,319.0,13.6,8.5,3.9,17.5,17.7,4.8,16.9,0.1,0.0,7.4,0.4,6.1,11438
St Clair (Penrith - NSW),1927.0,1307.0,608.0,2578.0,2773.0,717.0,2650.0,14.0,0.0,1333.0,107.0,1216.0,12.2,8.3,3.9,16.4,17.6,4.6,16.8,0.1,0.0,8.5,0.7,7.7,13632
Colyton,523.0,441.0,198.0,1008.0,1165.0,339.0,1261.0,8.0,0.0,832.0,83.0,630.0,7.8,6.6,3.0,15.0,17.4,5.1,18.8,0.1,0.0,12.4,1.2,9.4,10987
Oxley Park,296.0,159.0,83.0,345.0,423.0,101.0,393.0,0.0,0.0,253.0,20.0,309.0,12.1,6.5,3.4,14.2,17.4,4.1,16.1,0.0,0.0,10.4,0.8,12.7,13110
St Marys (NSW),1107.0,682.0,295.0,1276.0,1578.0,424.0,1535.0,16.0,0.0,1045.0,74.0,1418.0,11.4,7.0,3.0,13.1,16.2,4.4,15.8,0.2,0.0,10.8,0.8,14.6,13643
North St Marys,178.0,171.0,91.0,404.0,458.0,152.0,590.0,4.0,0.0,466.0,38.0,444.0,5.8,5.6,3.0,13.2,15.0,5.0,19.3,0.1,0.0,15.3,1.2,14.5,13007
Silverwater (Parramatta - NSW),533.0,184.0,34.0,165.0,388.0,55.0,116.0,0.0,0.0,117.0,39.0,1990.0,14.5,5.0,0.9,4.5,10.6,1.5,3.2,0.0,0.0,3.2,1.1,54.2,13547
Newington (NSW),2028.0,433.0,65.0,187.0,802.0,96.0,239.0,0.0,0.0,132.0,17.0,271.0,46.2,9.9,1.5,4.3,18.3,2.2,5.4,0.0,0.0,3.0,0.4,6.2,12953
Lidcombe,4585.0,1528.0,243.0,933.0,4403.0,452.0,1087.0,3.0,3.0,1157.0,488.0,1442.0,27.4,9.1,1.5,5.6,26.3,2.7,6.5,0.0,0.0,6.9,2.9,8.6,12316
