,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Alexandria,457.0,1227.0,1805.0,17.0,84.0,12.7,34.2,50.3,0.5,2.3,10030
Glebe (NSW),932.0,731.0,2834.0,31.0,245.0,19.5,15.3,59.4,0.6,5.1,11641
Forest Lodge,267.0,397.0,1145.0,8.0,52.0,14.3,21.2,61.3,0.4,2.8,11546
Annandale (NSW),857.0,1099.0,1548.0,17.0,87.0,23.8,30.5,42.9,0.5,2.4,10061
Darlington (Sydney - NSW),121.0,173.0,813.0,16.0,46.0,10.4,14.8,69.5,1.4,3.9,11214
Potts Point,565.0,569.0,2384.0,12.0,87.0,15.6,15.7,65.9,0.3,2.4,13256
Elizabeth Bay,568.0,461.0,1721.0,14.0,90.0,19.9,16.2,60.3,0.5,3.2,11395
Sydney,946.0,809.0,3955.0,58.0,256.0,15.7,13.4,65.7,1.0,4.2,13715
Woolloomooloo,234.0,254.0,1334.0,11.0,52.0,12.4,13.5,70.8,0.6,2.8,14406
Rushcutters Bay,204.0,213.0,825.0,3.0,40.0,15.9,16.6,64.2,0.2,3.1,13444
Pyrmont,897.0,1063.0,3256.0,23.0,136.0,16.7,19.8,60.6,0.4,2.5,13284
Ultimo,326.0,388.0,1985.0,31.0,128.0,11.4,13.6,69.5,1.1,4.5,14006
Redfern,768.0,1163.0,3560.0,38.0,244.0,13.3,20.1,61.7,0.7,4.2,13339
Eveleigh,8.0,41.0,189.0,0.0,7.0,3.3,16.7,77.1,0.0,2.9,11471
Chippendale,351.0,451.0,2389.0,25.0,128.0,10.5,13.5,71.4,0.7,3.8,10907
Surry Hills,891.0,1431.0,4610.0,52.0,208.0,12.4,19.9,64.1,0.7,2.9,13699
Haymarket,250.0,240.0,1343.0,19.0,104.0,12.8,12.3,68.7,1.0,5.3,11877
Dawes Point,56.0,38.0,51.0,5.0,3.0,36.6,24.8,33.3,3.3,2.0,11222
Millers Point,179.0,112.0,358.0,3.0,15.0,26.8,16.8,53.7,0.4,2.2,12619
Barangaroo,4.0,10.0,35.0,0.0,0.0,8.2,20.4,71.4,0.0,0.0,10191
Balmain East,262.0,190.0,320.0,3.0,16.0,33.1,24.0,40.5,0.4,2.0,10165
The Rocks (Sydney - NSW),63.0,46.0,131.0,0.0,3.0,25.9,18.9,53.9,0.0,1.2,13840
Waterloo (NSW),391.0,1192.0,4597.0,56.0,253.0,6.0,18.4,70.8,0.9,3.9,14183
Zetland,380.0,1067.0,2631.0,26.0,113.0,9.0,25.3,62.4,0.6,2.7,14524
Beaconsfield (NSW),69.0,136.0,172.0,3.0,16.0,17.4,34.3,43.4,0.8,4.0,10239
Bronte,772.0,694.0,907.0,12.0,57.0,31.6,28.4,37.1,0.5,2.3,10594
Tamarama,151.0,141.0,266.0,3.0,16.0,26.2,24.4,46.1,0.5,2.8,13741
Bondi,827.0,797.0,2185.0,46.0,140.0,20.7,19.9,54.7,1.2,3.5,10464
Bondi Beach,784.0,841.0,2929.0,26.0,164.0,16.5,17.7,61.7,0.5,3.5,10465
North Bondi,823.0,927.0,1393.0,21.0,97.0,25.2,28.4,42.7,0.6,3.0,12984
Waverley (NSW),349.0,394.0,709.0,8.0,36.0,23.3,26.3,47.4,0.5,2.4,14200
Bondi Junction,963.0,690.0,1807.0,14.0,141.0,26.6,19.1,50.0,0.4,3.9,10467
Queens Park (NSW),376.0,370.0,312.0,10.0,19.0,34.6,34.0,28.7,0.9,1.7,13294
Centennial Park (NSW),225.0,238.0,599.0,4.0,26.0,20.6,21.8,54.9,0.4,2.4,10873
Darling Point,817.0,328.0,644.0,18.0,55.0,43.9,17.6,34.6,1.0,3.0,11211
Edgecliff,348.0,182.0,573.0,4.0,22.0,30.8,16.1,50.8,0.4,1.9,11379
Double Bay,685.0,412.0,818.0,11.0,70.0,34.3,20.6,41.0,0.6,3.5,11281
Bellevue Hill,1353.0,1107.0,1293.0,26.0,92.0,35.0,28.6,33.4,0.7,2.4,10271
Rose Bay (NSW),1164.0,878.0,1669.0,50.0,104.0,30.1,22.7,43.2,1.3,2.7,13398
Paddington (NSW),1417.0,1306.0,2414.0,30.0,135.0,26.7,24.6,45.5,0.6,2.5,13115
Point Piper,254.0,103.0,162.0,3.0,15.0,47.3,19.2,30.2,0.6,2.8,13233
Vaucluse,1246.0,979.0,815.0,26.0,65.0,39.8,31.3,26.0,0.8,2.1,14071
Dover Heights,560.0,419.0,238.0,12.0,25.0,44.7,33.4,19.0,1.0,2.0,11284
Watsons Bay,107.0,59.0,67.0,20.0,15.0,39.9,22.0,25.0,7.5,5.6,14187
Woollahra,983.0,715.0,1071.0,21.0,130.0,33.7,24.5,36.7,0.7,4.5,14404
Clovelly,566.0,493.0,680.0,4.0,35.0,31.8,27.7,38.2,0.2,2.0,10938
South Coogee,467.0,469.0,1034.0,33.0,63.0,22.6,22.7,50.0,1.6,3.0,13579
Coogee (NSW),1331.0,1295.0,3223.0,23.0,161.0,22.1,21.5,53.4,0.4,2.7,11015
La Perouse,40.0,31.0,60.0,4.0,3.0,29.0,22.5,43.5,2.9,2.2,12230
Little Bay,381.0,466.0,563.0,6.0,159.0,24.2,29.6,35.7,0.4,10.1,12349
Malabar,462.0,354.0,453.0,7.0,36.0,35.2,27.0,34.5,0.5,2.7,12453
Chifley (NSW),353.0,343.0,338.0,12.0,21.0,33.1,32.1,31.7,1.1,2.0,10901
Phillip Bay,94.0,79.0,44.0,0.0,4.0,42.5,35.7,19.9,0.0,1.8,13193
Kensington (NSW),1013.0,788.0,2673.0,29.0,124.0,21.9,17.0,57.8,0.6,2.7,12099
Kingsford (NSW),1347.0,982.0,2868.0,37.0,178.0,24.9,18.1,53.0,0.7,3.3,12156
Maroubra,3404.0,2694.0,4743.0,117.0,400.0,30.0,23.7,41.8,1.0,3.5,12501
Randwick,2652.0,2671.0,5816.0,57.0,286.0,23.1,23.3,50.7,0.5,2.5,13312
Georges Hall,1120.0,959.0,456.0,18.0,69.0,42.7,36.6,17.4,0.7,2.6,11601
Bass Hill,851.0,864.0,858.0,7.0,94.0,31.8,32.3,32.1,0.3,3.5,10224
Yagoona,1583.0,1618.0,1814.0,35.0,206.0,30.1,30.8,34.5,0.7,3.9,14453
Villawood,291.0,331.0,1056.0,21.0,78.0,16.4,18.6,59.4,1.2,4.4,14074
Greenacre,2087.0,2167.0,2208.0,54.0,247.0,30.9,32.0,32.6,0.8,3.7,11757
Potts Hill,22.0,140.0,75.0,3.0,5.0,9.0,57.1,30.6,1.2,2.0,13255
Milperra,574.0,560.0,120.0,4.0,15.0,45.1,44.0,9.4,0.3,1.2,12625
Revesby,1425.0,1470.0,1555.0,35.0,131.0,30.9,31.8,33.7,0.8,2.8,13355
Condell Park,1158.0,1095.0,844.0,18.0,109.0,35.9,34.0,26.2,0.6,3.4,11001
Bankstown,2199.0,2423.0,4586.0,65.0,322.0,22.9,25.3,47.8,0.7,3.4,10180
Mount Lewis,122.0,110.0,94.0,0.0,19.0,35.4,31.9,27.2,0.0,5.5,12774
Punchbowl (Canterbury-Bankstown - NSW),1634.0,1709.0,2081.0,35.0,243.0,28.7,30.0,36.5,0.6,4.3,13273
Padstow,1503.0,1501.0,1336.0,21.0,98.0,33.7,33.7,30.0,0.5,2.2,13120
Padstow Heights,528.0,457.0,169.0,47.0,29.0,42.9,37.2,13.7,3.8,2.4,13121
Panania,1407.0,1477.0,1144.0,19.0,92.0,34.0,35.7,27.6,0.5,2.2,13144
East Hills,355.0,376.0,352.0,7.0,40.0,31.4,33.3,31.2,0.6,3.5,11351
Picnic Point,833.0,828.0,270.0,5.0,43.0,42.1,41.8,13.6,0.3,2.2,13199
Revesby Heights,189.0,231.0,84.0,3.0,15.0,36.2,44.3,16.1,0.6,2.9,13356
Birrong,364.0,250.0,261.0,4.0,27.0,40.2,27.6,28.8,0.4,3.0,10379
Belmore,1222.0,1030.0,1855.0,22.0,128.0,28.7,24.2,43.6,0.5,3.0,10279
Belfield,699.0,702.0,612.0,14.0,56.0,33.6,33.7,29.4,0.7,2.7,10257
Campsie,1685.0,1760.0,4197.0,51.0,266.0,21.2,22.1,52.7,0.6,3.3,10782
Canterbury (NSW),692.0,769.0,1025.0,17.0,89.0,26.7,29.7,39.5,0.7,3.4,10797
Clemton Park,198.0,177.0,124.0,0.0,12.0,38.7,34.6,24.3,0.0,2.3,10928
Earlwood,2568.0,1827.0,1160.0,40.0,161.0,44.6,31.7,20.2,0.7,2.8,11343
Kingsgrove,1757.0,1219.0,1033.0,32.0,107.0,42.4,29.4,24.9,0.8,2.6,12158
Riverwood,874.0,1035.0,2283.0,47.0,153.0,19.9,23.6,52.0,1.1,3.5,13371
Roselands,1152.0,1274.0,1023.0,26.0,122.0,32.0,35.4,28.4,0.7,3.4,13409
Beverly Hills,1302.0,1005.0,920.0,28.0,86.0,39.0,30.1,27.5,0.8,2.6,10331
Narwee,508.0,549.0,784.0,12.0,69.0,26.4,28.6,40.8,0.6,3.6,12912
Lakemba,971.0,947.0,2766.0,21.0,198.0,19.8,19.3,56.4,0.4,4.0,12257
Wiley Park,576.0,647.0,1727.0,19.0,116.0,18.7,21.0,56.0,0.6,3.8,14293
Hurstville,2370.0,2544.0,4275.0,64.0,264.0,24.9,26.7,44.9,0.7,2.8,11964
Carlton (NSW),1100.0,1018.0,1346.0,18.0,121.0,30.5,28.3,37.4,0.5,3.4,10819
Penshurst (NSW),1346.0,1315.0,1583.0,21.0,123.0,30.7,30.0,36.1,0.5,2.8,13186
Oatley,1627.0,1123.0,734.0,24.0,67.0,45.5,31.4,20.5,0.7,1.9,13064
Mortdale,1126.0,1216.0,1308.0,14.0,89.0,30.0,32.4,34.9,0.4,2.4,12728
Peakhurst,1311.0,1212.0,791.0,40.0,94.0,38.0,35.2,22.9,1.2,2.7,13168
Hurstville Grove,409.0,285.0,116.0,4.0,16.0,49.3,34.3,14.0,0.5,1.9,11965
Lugarno,932.0,716.0,159.0,3.0,35.0,50.5,38.8,8.6,0.2,1.9,12421
Peakhurst Heights,417.0,284.0,96.0,3.0,19.0,50.9,34.7,11.7,0.4,2.3,13169
South Hurstville,577.0,563.0,469.0,12.0,36.0,34.8,34.0,28.3,0.7,2.2,13587
Blakehurst,846.0,730.0,268.0,15.0,42.0,44.5,38.4,14.1,0.8,2.2,10403
Kyle Bay,154.0,125.0,28.0,0.0,3.0,49.7,40.3,9.0,0.0,1.0,12227
Connells Point,460.0,357.0,82.0,4.0,13.0,50.2,39.0,9.0,0.4,1.4,11013
Carss Park,181.0,148.0,81.0,3.0,10.0,42.8,35.0,19.1,0.7,2.4,10837
Arncliffe,880.0,1024.0,1396.0,26.0,122.0,25.5,29.7,40.5,0.8,3.5,10086
Wolli Creek,169.0,703.0,1509.0,15.0,81.0,6.8,28.4,60.9,0.6,3.3,14353
Turrella,176.0,234.0,327.0,3.0,23.0,23.1,30.7,42.9,0.4,3.0,13982
Bardwell Valley,345.0,268.0,136.0,3.0,26.0,44.3,34.4,17.5,0.4,3.3,10196
Bardwell Park,337.0,285.0,122.0,3.0,14.0,44.3,37.5,16.0,0.4,1.8,10195
Bexley,2138.0,2130.0,1591.0,29.0,163.0,35.3,35.2,26.3,0.5,2.7,10334
Kogarah,1224.0,1325.0,2542.0,38.0,153.0,23.2,25.1,48.1,0.7,2.9,12181
Bexley North,566.0,390.0,391.0,14.0,45.0,40.3,27.7,27.8,1.0,3.2,10335
Allawah,530.0,513.0,935.0,8.0,53.0,26.0,25.2,45.9,0.4,2.6,10038
Beverley Park,315.0,245.0,224.0,7.0,21.0,38.8,30.2,27.6,0.9,2.6,10330
Kogarah Bay,278.0,250.0,78.0,3.0,8.0,45.1,40.5,12.6,0.5,1.3,12182
Kyeemagh,144.0,104.0,47.0,3.0,8.0,47.1,34.0,15.4,1.0,2.6,12226
Brighton-le-Sands,978.0,724.0,1462.0,27.0,89.0,29.8,22.1,44.6,0.8,2.7,10569
Rockdale,1163.0,1408.0,2414.0,45.0,183.0,22.3,27.0,46.3,0.9,3.5,13379
Monterey,648.0,469.0,523.0,10.0,48.0,38.2,27.6,30.8,0.6,2.8,12686
Banksia,408.0,390.0,221.0,6.0,36.0,38.5,36.8,20.8,0.6,3.4,10178
Sandringham (NSW),209.0,127.0,116.0,0.0,15.0,44.8,27.2,24.8,0.0,3.2,13478
Dolls Point,196.0,190.0,344.0,6.0,14.0,26.1,25.3,45.9,0.8,1.9,11267
Sans Souci,1654.0,1151.0,976.0,14.0,124.0,42.2,29.4,24.9,0.4,3.2,13489
Ramsgate,146.0,119.0,120.0,0.0,6.0,37.3,30.4,30.7,0.0,1.5,13309
Ramsgate Beach,284.0,157.0,248.0,3.0,22.0,39.8,22.0,34.7,0.4,3.1,13310
Concord,2012.0,1505.0,1151.0,20.0,100.0,42.0,31.4,24.0,0.4,2.1,10999
Breakfast Point,567.0,563.0,581.0,9.0,21.0,32.6,32.3,33.4,0.5,1.2,10557
Cabarita (NSW),378.0,185.0,129.0,0.0,10.0,53.8,26.4,18.4,0.0,1.4,10736
Mortlake (NSW),91.0,143.0,143.0,4.0,11.0,23.2,36.5,36.5,1.0,2.8,12729
North Strathfield,377.0,424.0,762.0,8.0,40.0,23.4,26.3,47.3,0.5,2.5,13009
Concord West,827.0,604.0,410.0,5.0,53.0,43.5,31.8,21.6,0.3,2.8,11000
Sydney Olympic Park,33.0,172.0,425.0,3.0,14.0,5.1,26.6,65.7,0.5,2.2,13716
Liberty Grove,132.0,286.0,296.0,3.0,7.0,18.2,39.5,40.9,0.4,1.0,12315
Rhodes,484.0,1302.0,2810.0,28.0,96.0,10.3,27.6,59.5,0.6,2.0,13358
Drummoyne,1516.0,1251.0,1716.0,33.0,116.0,32.7,27.0,37.0,0.7,2.5,11293
Russell Lea,685.0,596.0,462.0,5.0,33.0,38.5,33.5,25.9,0.3,1.9,13447
Rodd Point,221.0,176.0,71.0,0.0,14.0,45.9,36.5,14.7,0.0,2.9,13391
Abbotsford (NSW),771.0,536.0,800.0,6.0,47.0,35.7,24.8,37.0,0.3,2.2,10003
Chiswick,278.0,359.0,553.0,3.0,21.0,22.9,29.6,45.6,0.2,1.7,10910
Five Dock,1093.0,1032.0,1156.0,25.0,81.0,32.3,30.5,34.1,0.7,2.4,11530
Canada Bay,156.0,158.0,133.0,0.0,8.0,34.3,34.7,29.2,0.0,1.8,10785
Wareemba,225.0,153.0,176.0,3.0,16.0,39.3,26.7,30.7,0.5,2.8,14148
Balmain,1129.0,1198.0,1766.0,24.0,76.0,26.9,28.6,42.1,0.6,1.8,10164
Birchgrove,468.0,387.0,372.0,0.0,22.0,37.5,31.0,29.8,0.0,1.8,10374
Woolwich,158.0,63.0,60.0,5.0,5.0,54.3,21.6,20.6,1.7,1.7,14412
Leichhardt (NSW),1271.0,1855.0,2175.0,18.0,107.0,23.4,34.2,40.1,0.3,2.0,12297
Lilyfield,763.0,952.0,1026.0,16.0,63.0,27.1,33.8,36.4,0.6,2.2,12325
Rozelle,839.0,1173.0,1362.0,8.0,71.0,24.3,34.0,39.4,0.2,2.1,13435
Ashfield (NSW),1921.0,1819.0,4381.0,50.0,372.0,22.5,21.3,51.3,0.6,4.4,10098
Summer Hill (Inner West - NSW),585.0,727.0,1490.0,14.0,57.0,20.4,25.3,51.9,0.5,2.0,13687
Hurlstone Park,644.0,509.0,502.0,9.0,35.0,37.9,30.0,29.5,0.5,2.1,11963
Ashbury,520.0,386.0,121.0,3.0,17.0,49.7,36.9,11.6,0.3,1.6,10093
Burwood (NSW),1289.0,935.0,2845.0,40.0,182.0,24.4,17.7,53.8,0.8,3.4,10718
Croydon (NSW),1255.0,1046.0,1012.0,58.0,96.0,36.2,30.2,29.2,1.7,2.8,11134
Strathfield (NSW),2414.0,1855.0,3350.0,54.0,354.0,30.1,23.1,41.7,0.7,4.4,13675
Croydon Park (NSW),1253.0,1249.0,1240.0,21.0,98.0,32.5,32.3,32.1,0.5,2.5,11135
Enfield (NSW),328.0,326.0,306.0,7.0,26.0,33.0,32.8,30.8,0.7,2.6,11421
Burwood Heights,130.0,87.0,63.0,3.0,10.0,44.4,29.7,21.5,1.0,3.4,10719
Haberfield,1068.0,633.0,401.0,9.0,52.0,49.4,29.3,18.5,0.4,2.4,11828
Homebush West,244.0,792.0,1560.0,14.0,108.0,9.0,29.1,57.4,0.5,4.0,11930
Homebush (NSW),357.0,666.0,1165.0,9.0,60.0,15.8,29.5,51.6,0.4,2.7,11929
Strathfield South,375.0,388.0,379.0,0.0,19.0,32.3,33.4,32.6,0.0,1.6,13676
Chatswood,2398.0,2007.0,4189.0,75.0,232.0,26.9,22.5,47.1,0.8,2.6,10892
North Willoughby,551.0,427.0,466.0,3.0,28.0,37.4,28.9,31.6,0.2,1.9,13016
Willoughby (NSW),748.0,825.0,617.0,11.0,44.0,33.3,36.7,27.5,0.5,2.0,14303
Artarmon,869.0,850.0,1780.0,22.0,70.0,24.2,23.7,49.6,0.6,1.9,10090
Roseville,1328.0,1129.0,698.0,18.0,45.0,41.3,35.1,21.7,0.6,1.4,13412
Lane Cove North,938.0,1514.0,1962.0,68.0,82.0,20.6,33.2,43.0,1.5,1.8,12267
Chatswood West,222.0,181.0,71.0,3.0,11.0,45.5,37.1,14.5,0.6,2.3,10893
Lane Cove West,277.0,340.0,296.0,5.0,19.0,29.6,36.3,31.6,0.5,2.0,12268
Lane Cove,1209.0,1374.0,1549.0,52.0,87.0,28.3,32.2,36.3,1.2,2.0,12266
Riverview (NSW),437.0,388.0,101.0,5.0,10.0,46.4,41.2,10.7,0.5,1.1,13370
Greenwich,759.0,605.0,639.0,31.0,36.0,36.7,29.2,30.9,1.5,1.7,11770
Northwood (NSW),151.0,104.0,29.0,0.0,5.0,52.2,36.0,10.0,0.0,1.7,13024
Longueville,371.0,226.0,50.0,0.0,12.0,56.3,34.3,7.6,0.0,1.8,12385
Linley Point,51.0,35.0,19.0,3.0,4.0,45.5,31.2,17.0,2.7,3.6,12341
St Leonards (NSW),346.0,521.0,1587.0,16.0,39.0,13.8,20.8,63.3,0.6,1.6,13642
Naremburn,636.0,740.0,798.0,3.0,48.0,28.6,33.3,35.9,0.1,2.2,12898
Cammeray,799.0,848.0,1289.0,13.0,44.0,26.7,28.3,43.1,0.4,1.5,10778
Castle Cove,423.0,284.0,97.0,12.0,18.0,50.7,34.1,11.6,1.4,2.2,10845
Castlecrag,432.0,352.0,109.0,4.0,12.0,47.5,38.7,12.0,0.4,1.3,10849
Northbridge (NSW),961.0,622.0,392.0,13.0,32.0,47.6,30.8,19.4,0.6,1.6,13022
Middle Cove,199.0,176.0,43.0,3.0,9.0,46.3,40.9,10.0,0.7,2.1,12602
Willoughby East,241.0,233.0,69.0,3.0,6.0,43.7,42.2,12.5,0.5,1.1,14304
Hornsby Heights,769.0,1032.0,175.0,4.0,28.0,38.3,51.4,8.7,0.2,1.4,11937
Mount Colah,824.0,1098.0,301.0,3.0,33.0,36.5,48.6,13.3,0.1,1.5,12750
Asquith,412.0,441.0,221.0,6.0,16.0,37.6,40.2,20.2,0.5,1.5,10103
Hornsby,1874.0,2549.0,3538.0,46.0,161.0,22.9,31.2,43.3,0.6,2.0,11936
Mount Kuring-Gai,204.0,260.0,80.0,3.0,12.0,36.5,46.5,14.3,0.5,2.1,12772
Cowan,85.0,108.0,15.0,3.0,3.0,39.7,50.5,7.0,1.4,1.4,11097
Berowra,545.0,732.0,184.0,8.0,28.0,36.4,48.9,12.3,0.5,1.9,10308
Brooklyn (NSW),106.0,93.0,50.0,0.0,23.0,39.0,34.2,18.4,0.0,8.5,10599
Berowra Heights,672.0,825.0,197.0,3.0,27.0,39.0,47.9,11.4,0.2,1.6,10310
Dangar Island,40.0,45.0,28.0,0.0,8.0,33.1,37.2,23.1,0.0,6.6,11199
Normanhurst,624.0,686.0,347.0,17.0,34.0,36.5,40.2,20.3,1.0,2.0,12976
Thornleigh,913.0,1186.0,536.0,9.0,53.0,33.9,44.0,19.9,0.3,2.0,13850
Westleigh,683.0,640.0,96.0,3.0,28.0,47.1,44.1,6.6,0.2,1.9,14260
Wahroonga,2169.0,2230.0,887.0,86.0,82.0,39.8,40.9,16.3,1.6,1.5,14085
Waitara,469.0,672.0,1107.0,9.0,61.0,20.2,29.0,47.8,0.4,2.6,14086
East Killara,433.0,319.0,117.0,7.0,21.0,48.3,35.6,13.0,0.8,2.3,11355
Killara (NSW),1411.0,1188.0,804.0,49.0,54.0,40.2,33.9,22.9,1.4,1.5,12129
Lindfield,1283.0,1113.0,846.0,31.0,56.0,38.5,33.4,25.4,0.9,1.7,12339
Gordon (NSW),966.0,768.0,752.0,18.0,43.0,37.9,30.2,29.5,0.7,1.7,11718
East Lindfield,554.0,385.0,136.0,66.0,23.0,47.6,33.1,11.7,5.7,2.0,11357
Roseville Chase,234.0,221.0,41.0,0.0,7.0,46.5,43.9,8.2,0.0,1.4,13413
Pymble,1426.0,1369.0,598.0,16.0,50.0,41.2,39.6,17.3,0.5,1.4,13281
West Pymble,681.0,749.0,180.0,9.0,27.0,41.4,45.5,10.9,0.5,1.6,14250
St Ives (NSW),2472.0,2365.0,887.0,17.0,92.0,42.4,40.5,15.2,0.3,1.6,13639
St Ives Chase,446.0,445.0,73.0,0.0,7.0,45.9,45.8,7.5,0.0,0.7,13640
Turramurra,1618.0,1571.0,708.0,67.0,62.0,40.2,39.0,17.6,1.7,1.5,13980
South Turramurra,418.0,455.0,79.0,3.0,13.0,43.2,47.0,8.2,0.3,1.3,13598
North Turramurra,802.0,402.0,111.0,97.0,49.0,54.9,27.5,7.6,6.6,3.4,13013
Warrawee,400.0,358.0,189.0,6.0,16.0,41.3,36.9,19.5,0.6,1.7,14165
North Wahroonga,319.0,280.0,50.0,0.0,8.0,48.6,42.6,7.6,0.0,1.2,13015
Cremorne Point,336.0,207.0,480.0,5.0,21.0,32.0,19.7,45.8,0.5,2.0,11113
Cremorne (NSW),1411.0,1202.0,2137.0,21.0,102.0,29.0,24.7,43.9,0.4,2.1,11112
Neutral Bay,1084.0,989.0,2443.0,16.0,87.0,23.5,21.4,52.9,0.3,1.9,12934
Crows Nest (NSW),420.0,538.0,1089.0,5.0,27.0,20.2,25.9,52.4,0.2,1.3,11131
Wollstonecraft,948.0,851.0,1829.0,8.0,75.0,25.5,22.9,49.3,0.2,2.0,14359
Waverton,440.0,260.0,611.0,12.0,29.0,32.5,19.2,45.2,0.9,2.1,14202
North Sydney,659.0,610.0,1964.0,59.0,65.0,19.6,18.2,58.5,1.8,1.9,13010
Mosman,4004.0,2919.0,3779.0,79.0,244.0,36.3,26.5,34.3,0.7,2.2,12738
Kirribilli,415.0,234.0,1181.0,15.0,58.0,21.8,12.3,62.1,0.8,3.0,12173
Kurraba Point,194.0,122.0,349.0,0.0,13.0,28.6,18.0,51.5,0.0,1.9,12217
Milsons Point,309.0,147.0,545.0,7.0,21.0,30.0,14.3,53.0,0.7,2.0,12629
McMahons Point,306.0,180.0,556.0,3.0,22.0,28.7,16.9,52.1,0.3,2.1,12547
Lavender Bay,117.0,54.0,239.0,8.0,22.0,26.6,12.3,54.3,1.8,5.0,12285
Seaforth (NSW),865.0,916.0,362.0,8.0,36.0,39.6,41.9,16.6,0.4,1.6,13509
Balgowlah Heights,491.0,417.0,90.0,0.0,14.0,48.5,41.2,8.9,0.0,1.4,10154
Clontarf (NSW),277.0,188.0,52.0,3.0,11.0,52.2,35.4,9.8,0.6,2.1,10935
Balgowlah,982.0,1000.0,953.0,17.0,66.0,32.5,33.1,31.6,0.6,2.2,10153
Manly (NSW),1734.0,1247.0,3323.0,46.0,172.0,26.6,19.1,51.0,0.7,2.6,12475
Fairlight,772.0,704.0,770.0,3.0,46.0,33.6,30.7,33.6,0.1,2.0,11482
Avalon Beach,1379.0,1305.0,512.0,9.0,89.0,41.9,39.6,15.5,0.3,2.7,10111
Palm Beach (NSW),318.0,130.0,122.0,14.0,12.0,53.4,21.8,20.5,2.3,2.0,13132
Whale Beach,53.0,14.0,28.0,3.0,0.0,54.1,14.3,28.6,3.1,0.0,14267
Clareville,169.0,78.0,35.0,0.0,0.0,59.9,27.7,12.4,0.0,0.0,10923
Scotland Island,75.0,98.0,35.0,0.0,3.0,35.5,46.4,16.6,0.0,1.4,13505
Elanora Heights,549.0,597.0,153.0,8.0,18.0,41.4,45.1,11.5,0.6,1.4,11389
Ingleside,133.0,65.0,79.0,0.0,6.0,47.0,23.0,27.9,0.0,2.1,11979
Bayview (NSW),681.0,377.0,97.0,230.0,60.0,47.1,26.1,6.7,15.9,4.2,10237
Church Point,192.0,128.0,26.0,0.0,10.0,53.9,36.0,7.3,0.0,2.8,10915
Lovett Bay,9.0,19.0,3.0,0.0,3.0,26.5,55.9,8.8,0.0,8.8,12397
Mona Vale,1599.0,1201.0,819.0,36.0,93.0,42.7,32.0,21.9,1.0,2.5,12672
Newport (NSW),1240.0,1240.0,724.0,16.0,118.0,37.1,37.1,21.7,0.5,3.5,12956
Bilgola Plateau,488.0,542.0,109.0,3.0,12.0,42.3,47.0,9.4,0.3,1.0,10351
Bilgola Beach,59.0,21.0,12.0,0.0,3.0,62.1,22.1,12.6,0.0,3.2,10350
Warriewood,725.0,1117.0,439.0,85.0,46.0,30.1,46.3,18.2,3.5,1.9,14173
North Narrabeen,664.0,789.0,311.0,10.0,66.0,36.1,42.9,16.9,0.5,3.6,12999
Beacon Hill,884.0,995.0,292.0,5.0,49.0,39.7,44.7,13.1,0.2,2.2,10238
Narraweena,704.0,679.0,642.0,95.0,84.0,31.9,30.8,29.1,4.3,3.8,12910
Cromer (NSW),964.0,1024.0,331.0,130.0,67.0,38.3,40.7,13.2,5.2,2.7,11118
Oxford Falls,20.0,7.0,9.0,3.0,4.0,46.5,16.3,20.9,7.0,9.3,13106
Dee Why,1813.0,2546.0,4002.0,71.0,233.0,20.9,29.4,46.2,0.8,2.7,11227
North Curl Curl,439.0,494.0,212.0,12.0,28.0,37.0,41.7,17.9,1.0,2.4,12988
Forestville (NSW),1083.0,1017.0,522.0,68.0,64.0,39.3,36.9,19.0,2.5,2.3,11548
Killarney Heights,648.0,562.0,157.0,4.0,15.0,46.8,40.5,11.3,0.3,1.1,12130
Frenchs Forest,1623.0,1885.0,535.0,20.0,82.0,39.2,45.5,12.9,0.5,2.0,11568
Belrose,1288.0,1118.0,255.0,98.0,102.0,45.0,39.1,8.9,3.4,3.6,10283
Davidson,421.0,399.0,60.0,3.0,14.0,46.9,44.5,6.7,0.3,1.6,11219
Curl Curl,272.0,264.0,173.0,3.0,29.0,36.7,35.6,23.3,0.4,3.9,11167
Freshwater (NSW),861.0,1095.0,1209.0,13.0,76.0,26.5,33.7,37.2,0.4,2.3,11569
Manly Vale,518.0,823.0,886.0,24.0,44.0,22.6,35.9,38.6,1.0,1.9,12476
North Manly,328.0,431.0,158.0,7.0,24.0,34.6,45.5,16.7,0.7,2.5,12997
Queenscliff (NSW),333.0,405.0,650.0,3.0,34.0,23.4,28.4,45.6,0.2,2.4,13296
Brookvale,201.0,492.0,543.0,12.0,36.0,15.7,38.3,42.3,0.9,2.8,10601
Allambie Heights,822.0,922.0,388.0,40.0,55.0,36.9,41.4,17.4,1.8,2.5,10036
North Balgowlah,383.0,544.0,153.0,6.0,19.0,34.7,49.2,13.8,0.5,1.7,12981
Narrabeen,985.0,845.0,1303.0,249.0,121.0,28.1,24.1,37.2,7.1,3.5,12902
Collaroy (NSW),944.0,933.0,852.0,30.0,73.0,33.3,32.9,30.1,1.1,2.6,10970
Collaroy Plateau,543.0,652.0,156.0,8.0,20.0,39.4,47.3,11.3,0.6,1.5,10971
Wheeler Heights,325.0,446.0,101.0,0.0,26.0,36.2,49.7,11.2,0.0,2.9,14268
