,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Wyee,115.0,123.0,120.0,178.0,355.0,12.0,12.8,12.5,18.6,37.1,14438
Morisset,111.0,86.0,100.0,173.0,316.0,13.1,10.2,11.8,20.5,37.4,12723
Wyee Point,64.0,60.0,81.0,98.0,207.0,11.9,11.2,15.1,18.2,38.5,14439
Mandalong,37.0,12.0,19.0,26.0,89.0,18.9,6.1,9.7,13.3,45.4,12465
Dora Creek,68.0,84.0,83.0,137.0,257.0,10.1,12.5,12.4,20.4,38.4,11277
Eraring,10.0,11.0,10.0,9.0,30.0,13.0,14.3,13.0,11.7,39.0,11429
Martinsville,29.0,21.0,17.0,26.0,76.0,16.6,12.0,9.7,14.9,43.4,12512
Blackalls Park,147.0,109.0,148.0,250.0,439.0,12.7,9.4,12.8,21.6,37.9,10390
Toronto,273.0,239.0,246.0,348.0,673.0,14.3,12.5,12.9,18.3,35.3,13918
Kilaben Bay,107.0,82.0,59.0,100.0,274.0,16.4,12.6,9.1,15.4,42.1,12125
Coal Point,107.0,98.0,113.0,112.0,342.0,13.1,12.0,13.8,13.7,41.8,10943
Awaba,19.0,15.0,25.0,40.0,81.0,10.1,7.9,13.2,21.2,42.9,10118
Carey Bay,37.0,37.0,29.0,48.0,123.0,12.7,12.7,9.9,16.4,42.1,10812
Buttaba,54.0,41.0,52.0,80.0,212.0,11.4,8.6,10.9,16.8,44.6,10723
Fishing Point,65.0,43.0,46.0,69.0,183.0,15.2,10.0,10.7,16.1,42.7,11526
Rathmines,98.0,92.0,109.0,160.0,318.0,12.0,11.3,13.4,19.6,39.0,13319
Wangi Wangi,148.0,123.0,130.0,185.0,413.0,13.9,11.6,12.2,17.4,38.9,14135
Arcadia Vale,92.0,61.0,72.0,119.0,240.0,15.0,9.9,11.7,19.3,39.0,10073
Balmoral (Lake Macquarie - NSW),36.0,50.0,27.0,91.0,150.0,9.9,13.7,7.4,25.0,41.2,10166
Holmesville,64.0,67.0,78.0,117.0,248.0,10.5,11.0,12.8,19.2,40.7,11924
Barnsley,85.0,87.0,103.0,164.0,357.0,10.1,10.3,12.2,19.5,42.4,10204
Seahampton,23.0,13.0,20.0,32.0,61.0,14.6,8.3,12.7,20.4,38.9,13511
West Wallsend,89.0,92.0,121.0,196.0,418.0,9.2,9.5,12.5,20.2,43.0,14253
Killingworth (NSW),37.0,34.0,41.0,75.0,165.0,10.0,9.2,11.1,20.3,44.6,12137
Wakefield,11.0,5.0,11.0,13.0,28.0,16.2,7.4,16.2,19.1,41.2,14088
Adamstown Heights,322.0,297.0,291.0,437.0,1067.0,12.8,11.8,11.5,17.3,42.3,10017
Adamstown,384.0,337.0,352.0,576.0,1290.0,12.4,10.8,11.3,18.5,41.5,10016
Kotara South,58.0,59.0,60.0,107.0,187.0,11.6,11.8,12.0,21.3,37.3,12201
Woodberry,115.0,119.0,129.0,218.0,401.0,11.0,11.3,12.3,20.8,38.2,14377
Beresfield,134.0,142.0,139.0,294.0,479.0,10.6,11.2,11.0,23.2,37.8,10301
Tarro,78.0,68.0,71.0,128.0,250.0,12.2,10.6,11.1,20.0,39.1,13771
Hexham (NSW),9.0,3.0,4.0,8.0,23.0,19.1,6.4,8.5,17.0,48.9,11898
Hamilton South,226.0,194.0,189.0,239.0,624.0,14.6,12.5,12.2,15.4,40.3,11841
Broadmeadow,113.0,90.0,103.0,144.0,324.0,13.8,11.0,12.5,17.5,39.5,10578
Hamilton East,77.0,42.0,54.0,78.0,202.0,16.3,8.9,11.4,16.5,42.7,11839
Newcastle West,36.0,14.0,32.0,48.0,152.0,11.8,4.6,10.5,15.7,49.7,12951
Hamilton North,50.0,42.0,51.0,96.0,196.0,10.7,9.0,10.9,20.6,42.0,11840
Hamilton (NSW),292.0,280.0,274.0,400.0,858.0,13.2,12.7,12.4,18.1,38.8,11838
New Lambton,607.0,545.0,577.0,877.0,1951.0,12.6,11.3,11.9,18.2,40.4,12942
Lambton,280.0,302.0,283.0,459.0,959.0,11.8,12.7,11.9,19.3,40.3,12264
Jesmond,170.0,130.0,126.0,199.0,269.0,18.0,13.7,13.3,21.0,28.4,12023
Maryland (Newcastle - NSW),438.0,360.0,460.0,788.0,1486.0,11.7,9.7,12.3,21.1,39.8,12514
Fletcher (NSW),266.0,257.0,285.0,559.0,1136.0,10.2,9.9,10.9,21.5,43.6,11533
Minmi,37.0,43.0,44.0,71.0,155.0,10.1,11.7,12.0,19.3,42.2,12638
Warabrook,102.0,95.0,94.0,194.0,304.0,12.2,11.4,11.3,23.3,36.5,14140
Mayfield West,121.0,99.0,95.0,200.0,345.0,13.5,11.1,10.6,22.4,38.6,12536
Mayfield (Newcastle - NSW),492.0,454.0,576.0,926.0,1658.0,11.3,10.5,13.3,21.3,38.2,12530
Mayfield East,93.0,77.0,105.0,184.0,369.0,10.8,8.9,12.1,21.3,42.7,12534
Merewether Heights,105.0,68.0,58.0,96.0,272.0,16.6,10.8,9.2,15.2,43.1,12574
Merewether,733.0,648.0,647.0,937.0,2652.0,12.5,11.0,11.0,15.9,45.1,12573
The Junction,63.0,60.0,67.0,93.0,260.0,10.9,10.4,11.6,16.1,45.0,13827
Cooks Hill,232.0,185.0,196.0,384.0,910.0,11.6,9.3,9.8,19.3,45.7,11019
Bar Beach,99.0,69.0,66.0,101.0,286.0,15.1,10.5,10.1,15.4,43.7,10187
Newcastle,147.0,122.0,144.0,287.0,790.0,9.5,7.9,9.3,18.6,51.1,12949
The Hill,151.0,121.0,126.0,199.0,536.0,12.7,10.2,10.6,16.7,45.0,13826
Newcastle East,77.0,29.0,77.0,73.0,227.0,15.3,5.8,15.3,14.5,45.0,12950
Carrington (Newcastle - NSW),100.0,100.0,125.0,196.0,447.0,9.8,9.8,12.3,19.3,43.9,10830
Shortland,219.0,187.0,186.0,359.0,591.0,13.4,11.5,11.4,22.0,36.3,13542
Birmingham Gardens,160.0,139.0,124.0,170.0,253.0,18.1,15.7,14.0,19.2,28.6,10377
Sandgate (NSW),3.0,3.0,6.0,9.0,20.0,6.7,6.7,13.3,20.0,44.4,13474
North Lambton,217.0,183.0,175.0,289.0,534.0,14.6,12.3,11.7,19.4,35.8,12993
Stockton (NSW),165.0,186.0,215.0,333.0,638.0,10.2,11.5,13.2,20.5,39.3,13662
Fern Bay,97.0,93.0,81.0,191.0,423.0,10.3,9.9,8.6,20.3,45.0,11501
Fullerton Cove,24.0,15.0,19.0,28.0,68.0,13.6,8.5,10.7,15.8,38.4,11575
Wallsend,586.0,531.0,644.0,1093.0,2011.0,11.4,10.3,12.5,21.2,39.1,14118
Georgetown (NSW),98.0,89.0,123.0,199.0,385.0,10.3,9.3,12.9,20.8,40.3,11603
Waratah West,199.0,145.0,165.0,237.0,428.0,15.9,11.6,13.2,18.9,34.2,14142
Waratah (NSW),271.0,243.0,230.0,391.0,775.0,13.3,11.9,11.3,19.2,38.1,14141
Wickham (NSW),75.0,64.0,70.0,119.0,285.0,11.8,10.1,11.0,18.7,44.9,14285
Maryville,81.0,74.0,111.0,139.0,346.0,10.4,9.5,14.2,17.8,44.2,12518
Tighes Hill,111.0,90.0,106.0,167.0,284.0,13.9,11.2,13.2,20.8,35.5,13863
Islington,101.0,101.0,155.0,221.0,397.0,9.9,9.9,15.1,21.6,38.7,11990
Ballina,344.0,360.0,474.0,661.0,857.0,12.1,12.6,16.6,23.2,30.0,10162
West Ballina,149.0,93.0,158.0,192.0,345.0,14.9,9.3,15.8,19.2,34.5,14240
East Ballina,326.0,333.0,394.0,467.0,896.0,12.8,13.1,15.5,18.3,35.2,11345
Skennars Head,86.0,62.0,79.0,89.0,180.0,16.3,11.8,15.0,16.9,34.2,13554
Alstonville,311.0,273.0,325.0,430.0,757.0,14.0,12.3,14.7,19.4,34.2,10046
Wollongbar,145.0,145.0,200.0,305.0,476.0,10.9,10.9,15.0,22.9,35.8,14357
Wardell,34.0,26.0,41.0,49.0,86.0,13.2,10.1,16.0,19.1,33.5,14144
East Wardell,17.0,17.0,18.0,25.0,48.0,13.0,13.0,13.7,19.1,36.6,11365
Empire Vale,7.0,6.0,9.0,17.0,28.0,9.9,8.5,12.7,23.9,39.4,11416
Meerschaum Vale,20.0,26.0,40.0,40.0,65.0,10.0,13.0,20.0,20.0,32.5,12556
Dalwood (Ballina - NSW),26.0,7.0,17.0,22.0,45.0,22.2,6.0,14.5,18.8,38.5,11195
Marom Creek,6.0,11.0,11.0,6.0,31.0,8.1,14.9,14.9,8.1,41.9,12499
Rous,19.0,10.0,20.0,19.0,36.0,17.6,9.3,18.5,17.6,33.3,13427
Pimlico (NSW),16.0,18.0,15.0,22.0,60.0,11.7,13.1,10.9,16.1,43.8,13207
Coolgardie (NSW),7.0,9.0,3.0,4.0,17.0,17.5,22.5,7.5,10.0,42.5,11031
Keith Hall,9.0,9.0,13.0,7.0,25.0,13.2,13.2,19.1,10.3,36.8,12086
Uralba,21.0,12.0,13.0,16.0,32.0,21.4,12.2,13.3,16.3,32.7,14050
Tuckombil,22.0,11.0,11.0,15.0,42.0,20.2,10.1,10.1,13.8,38.5,13947
Fernleigh,18.0,20.0,21.0,14.0,58.0,13.7,15.3,16.0,10.7,44.3,11508
Tintenbar,46.0,48.0,65.0,47.0,114.0,13.5,14.1,19.1,13.8,33.5,13878
Cumbalum,92.0,88.0,93.0,166.0,298.0,12.0,11.5,12.1,21.7,38.9,11154
Brooklet,12.0,16.0,25.0,12.0,49.0,9.5,12.7,19.8,9.5,38.9,10598
Knockrow,13.0,10.0,10.0,9.0,30.0,16.2,12.5,12.5,11.2,37.5,12178
Newrybar,29.0,25.0,34.0,31.0,96.0,12.6,10.8,14.7,13.4,41.6,12957
Alstonvale,26.0,31.0,30.0,42.0,76.0,12.1,14.4,14.0,19.5,35.3,10045
Teven,11.0,19.0,21.0,19.0,58.0,8.3,14.3,15.8,14.3,43.6,13807
Pearces Creek,10.0,10.0,11.0,11.0,39.0,12.3,12.3,13.6,13.6,48.1,13170
Lynwood (NSW),17.0,14.0,12.0,13.0,39.0,17.9,14.7,12.6,13.7,41.1,12427
Rous Mill,7.0,13.0,10.0,16.0,50.0,6.5,12.1,9.3,15.0,46.7,13428
Ewingsdale,54.0,43.0,59.0,45.0,154.0,14.4,11.5,15.7,12.0,41.1,11474
Eureka (NSW),17.0,30.0,27.0,20.0,56.0,11.1,19.6,17.6,13.1,36.6,11461
Coorabell,31.0,33.0,34.0,16.0,65.0,16.4,17.5,18.0,8.5,34.4,11051
Possum Creek,27.0,15.0,31.0,10.0,35.0,21.1,11.7,24.2,7.8,27.3,13252
Bangalow,154.0,121.0,147.0,116.0,373.0,15.8,12.4,15.1,11.9,38.3,10174
Coopers Shoot,12.0,12.0,19.0,9.0,38.0,12.1,12.1,19.2,9.1,38.4,11049
Skinners Shoot,3.0,8.0,14.0,0.0,11.0,8.3,22.2,38.9,0.0,30.6,13556
Talofa,7.0,15.0,6.0,11.0,20.0,11.9,25.4,10.2,18.6,33.9,13739
Nashua,21.0,17.0,17.0,16.0,45.0,17.5,14.2,14.2,13.3,37.5,12914
Federal (NSW),62.0,35.0,45.0,38.0,83.0,21.5,12.2,15.6,13.2,28.8,11499
Binna Burra (NSW),9.0,14.0,23.0,4.0,29.0,11.0,17.1,28.0,4.9,35.4,10371
Brunswick Heads,123.0,100.0,114.0,101.0,201.0,18.1,14.7,16.8,14.9,29.6,10621
Ocean Shores,340.0,323.0,393.0,357.0,647.0,15.4,14.7,17.8,16.2,29.4,13070
Tyagarah,11.0,8.0,15.0,0.0,26.0,18.3,13.3,25.0,0.0,43.3,13993
New Brighton,29.0,24.0,16.0,14.0,50.0,20.6,17.0,11.3,9.9,35.5,12939
South Golden Beach,68.0,54.0,69.0,47.0,93.0,19.5,15.5,19.8,13.5,26.6,13581
Wooyung,13.0,7.0,6.0,0.0,13.0,33.3,17.9,15.4,0.0,33.3,14418
Byron Bay,358.0,341.0,414.0,333.0,760.0,15.3,14.6,17.7,14.2,32.5,10733
Suffolk Park,294.0,275.0,297.0,259.0,600.0,16.1,15.0,16.2,14.2,32.8,13684
Broken Head,23.0,27.0,18.0,20.0,41.0,16.2,19.0,12.7,14.1,28.9,10591
Woodburn (Richmond Valley - NSW),26.0,29.0,34.0,68.0,87.0,9.7,10.9,12.7,25.5,32.6,14379
Broadwater (Richmond Valley - NSW),26.0,26.0,44.0,45.0,100.0,10.0,10.0,16.9,17.3,38.5,10580
Rileys Hill,12.0,6.0,14.0,11.0,34.0,14.5,7.2,16.9,13.3,41.0,13364
Evans Head,157.0,114.0,164.0,195.0,342.0,15.2,11.0,15.8,18.8,33.0,11469
Bungawalbin,10.0,7.0,8.0,8.0,10.0,20.4,14.3,16.3,16.3,20.4,10683
New Italy,10.0,9.0,10.0,18.0,25.0,13.9,12.5,13.9,25.0,34.7,12941
Swan Bay (Richmond Valley - NSW),7.0,13.0,12.0,22.0,41.0,7.1,13.1,12.1,22.2,41.4,13705
Doonbah,9.0,7.0,8.0,12.0,29.0,13.2,10.3,11.8,17.6,42.6,11274
Lennox Head,469.0,414.0,471.0,489.0,1167.0,14.7,13.0,14.8,15.4,36.7,12303
Myocum,95.0,69.0,68.0,47.0,132.0,21.8,15.8,15.6,10.8,30.3,12877
Billinudgel,19.0,14.0,18.0,11.0,29.0,19.4,14.3,18.4,11.2,29.6,10355
Yelgun,6.0,13.0,10.0,8.0,8.0,13.3,28.9,22.2,17.8,17.8,14499
The Pocket,19.0,27.0,24.0,10.0,35.0,14.8,21.1,18.8,7.8,27.3,13834
Middle Pocket,5.0,12.0,6.0,0.0,27.0,9.4,22.6,11.3,0.0,50.9,12606
Main Arm,45.0,33.0,52.0,21.0,67.0,18.8,13.8,21.7,8.8,27.9,12445
Upper Main Arm,4.0,23.0,15.0,5.0,20.0,6.0,34.3,22.4,7.5,29.9,14035
Mullumbimby,238.0,201.0,260.0,194.0,404.0,17.1,14.4,18.7,13.9,29.0,12828
Mullumbimby Creek,48.0,24.0,38.0,25.0,58.0,22.5,11.3,17.8,11.7,27.2,12829
Wilsons Creek,42.0,26.0,18.0,10.0,47.0,28.8,17.8,12.3,6.8,32.2,14310
Goonengerry,51.0,16.0,28.0,15.0,37.0,33.8,10.6,18.5,9.9,24.5,11712
Huonbrook,3.0,10.0,4.0,3.0,13.0,8.1,27.0,10.8,8.1,35.1,11962
Whian Whian,5.0,10.0,11.0,9.0,19.0,8.8,17.5,19.3,15.8,33.3,14272
Yorklea,23.0,16.0,28.0,31.0,59.0,13.2,9.2,16.1,17.8,33.9,14517
Casino,411.0,408.0,623.0,749.0,1193.0,11.4,11.3,17.3,20.8,33.1,10843
North Casino,52.0,55.0,61.0,86.0,174.0,11.5,12.1,13.5,19.0,38.4,12987
Fairy Hill,21.0,13.0,20.0,27.0,64.0,13.5,8.3,12.8,17.3,41.0,11483
Bonalbo,28.0,15.0,11.0,7.0,37.0,27.7,14.9,10.9,6.9,36.6,10463
Coraki,53.0,46.0,61.0,99.0,146.0,12.2,10.6,14.1,22.8,33.6,11063
Mallanganee,3.0,12.0,9.0,9.0,23.0,5.1,20.3,15.3,15.3,39.0,12457
Dobies Bight,10.0,0.0,8.0,10.0,28.0,16.9,0.0,13.6,16.9,47.5,11262
Backmede,7.0,3.0,11.0,10.0,23.0,11.9,5.1,18.6,16.9,39.0,10130
Stratheden,17.0,7.0,17.0,14.0,52.0,14.9,6.1,14.9,12.3,45.6,13674
Woodview,4.0,9.0,6.0,19.0,29.0,5.6,12.7,8.5,26.8,40.8,14397
Bentley (NSW),13.0,7.0,6.0,14.0,41.0,14.8,8.0,6.8,15.9,46.6,10298
Spring Grove,19.0,27.0,34.0,44.0,65.0,9.3,13.2,16.6,21.5,31.7,13614
Greenridge,4.0,8.0,13.0,7.0,25.0,6.3,12.7,20.6,11.1,39.7,11768
McKees Hill,22.0,18.0,25.0,36.0,64.0,12.9,10.5,14.6,21.1,37.4,12543
Tatham,10.0,7.0,3.0,27.0,51.0,9.5,6.7,2.9,25.7,48.6,13773
West Coraki,3.0,8.0,7.0,3.0,17.0,7.9,21.1,18.4,7.9,44.7,14243
Ellangowan (NSW),15.0,11.0,16.0,18.0,38.0,14.7,10.8,15.7,17.6,37.3,11400
Leeville,15.0,12.0,14.0,21.0,41.0,13.5,10.8,12.6,18.9,36.9,12295
Shannon Brook,0.0,6.0,13.0,13.0,38.0,0.0,7.8,16.9,16.9,49.4,13525
Rappville,6.0,8.0,4.0,7.0,14.0,15.4,20.5,10.3,17.9,35.9,13318
Goonellabah,686.0,569.0,753.0,1213.0,1892.0,12.8,10.6,14.1,22.6,35.3,11711
Chilcotts Grass,12.0,16.0,12.0,25.0,36.0,10.2,13.6,10.2,21.2,30.5,10903
Eden Creek,14.0,6.0,11.0,13.0,28.0,18.7,8.0,14.7,17.3,37.3,11376
West Wiangaree,6.0,6.0,10.0,9.0,24.0,10.3,10.3,17.2,15.5,41.4,14254
Wiangaree,11.0,3.0,7.0,11.0,14.0,23.9,6.5,15.2,23.9,30.4,14283
Doubtful Creek,7.0,3.0,9.0,7.0,39.0,10.3,4.4,13.2,10.3,57.4,11282
Ettrick (NSW),4.0,9.0,10.0,3.0,20.0,8.7,19.6,21.7,6.5,43.5,11448
Kyogle,85.0,77.0,91.0,124.0,241.0,12.8,11.6,13.7,18.6,36.2,12229
Cedar Point,11.0,10.0,15.0,14.0,42.0,12.0,10.9,16.3,15.2,45.7,10871
Geneva,41.0,23.0,34.0,38.0,90.0,17.1,9.6,14.2,15.8,37.5,11599
Upper Horseshoe Creek,6.0,0.0,5.0,6.0,7.0,25.0,0.0,20.8,25.0,29.2,14028
Barkers Vale,18.0,3.0,9.0,3.0,17.0,31.6,5.3,15.8,5.3,29.8,10201
Wadeville,3.0,13.0,8.0,4.0,9.0,7.3,31.7,19.5,9.8,22.0,14082
Lillian Rock,6.0,17.0,13.0,6.0,30.0,8.0,22.7,17.3,8.0,40.0,12323
Fawcetts Plain,7.0,8.0,8.0,18.0,31.0,9.7,11.1,11.1,25.0,43.1,11498
New Park,3.0,6.0,9.0,11.0,28.0,5.3,10.5,15.8,19.3,49.1,12945
Homeleigh,4.0,3.0,16.0,5.0,9.0,10.0,7.5,40.0,12.5,22.5,11931
Cawongla,8.0,13.0,15.0,12.0,23.0,10.3,16.7,19.2,15.4,29.5,10864
Green Pigeon,7.0,6.0,13.0,11.0,22.0,10.9,9.4,20.3,17.2,34.4,11752
Collins Creek,9.0,10.0,8.0,5.0,17.0,18.4,20.4,16.3,10.2,34.7,10978
East Lismore,301.0,200.0,280.0,436.0,648.0,15.4,10.2,14.3,22.3,33.1,11358
Lismore (NSW),189.0,148.0,196.0,305.0,419.0,14.3,11.2,14.8,23.0,31.6,12344
Lismore Heights,117.0,99.0,191.0,225.0,315.0,11.9,10.1,19.4,22.8,32.0,12345
South Lismore,106.0,94.0,143.0,165.0,189.0,14.4,12.7,19.4,22.4,25.6,13589
Girards Hill,73.0,61.0,91.0,118.0,164.0,13.7,11.5,17.1,22.2,30.8,11631
Monaltrie,7.0,9.0,17.0,21.0,38.0,7.1,9.2,17.3,21.4,38.8,12674
North Lismore,45.0,32.0,45.0,61.0,76.0,16.0,11.4,16.0,21.7,27.0,12994
Loftville,10.0,6.0,9.0,3.0,24.0,19.2,11.5,17.3,5.8,46.2,12372
Modanville,39.0,33.0,37.0,53.0,91.0,14.9,12.6,14.1,20.2,34.7,12655
Clunes (NSW),69.0,48.0,69.0,60.0,150.0,16.5,11.5,16.5,14.3,35.8,10939
Terania Creek,15.0,17.0,9.0,4.0,25.0,20.5,23.3,12.3,5.5,34.2,13794
The Channon,23.0,20.0,26.0,36.0,61.0,12.8,11.2,14.5,20.1,34.1,13816
Koonorigan,18.0,15.0,24.0,16.0,60.0,12.1,10.1,16.1,10.7,40.3,12188
Rosebank,35.0,10.0,37.0,25.0,72.0,18.9,5.4,20.0,13.5,38.9,13401
Corndale (NSW),14.0,22.0,23.0,33.0,59.0,9.0,14.1,14.7,21.2,37.8,11076
East Coraki,17.0,16.0,19.0,15.0,45.0,14.2,13.3,15.8,12.5,37.5,11347
Tregeagle,28.0,23.0,43.0,32.0,89.0,12.5,10.3,19.2,14.3,39.7,13933
Wyrallah,24.0,28.0,24.0,40.0,78.0,12.2,14.2,12.2,20.3,39.6,14449
South Gundurimba,13.0,25.0,21.0,24.0,70.0,7.4,14.3,12.0,13.7,40.0,13585
Caniaba,39.0,37.0,38.0,71.0,137.0,11.4,10.9,11.1,20.8,40.2,10790
Blakebrook,6.0,4.0,9.0,12.0,20.0,11.1,7.4,16.7,22.2,37.0,10402
Booerie Creek,9.0,6.0,9.0,14.0,28.0,13.0,8.7,13.0,20.3,40.6,10475
Goolmangar,6.0,13.0,17.0,18.0,37.0,6.4,13.8,18.1,19.1,39.4,11708
Keerrong,4.0,5.0,8.0,16.0,13.0,7.5,9.4,15.1,30.2,24.5,12083
Tullera,19.0,19.0,26.0,26.0,78.0,10.6,10.6,14.5,14.5,43.6,13956
Bexhill,31.0,26.0,37.0,43.0,91.0,12.4,10.4,14.8,17.2,36.4,10333
Richmond Hill (NSW),54.0,41.0,66.0,82.0,163.0,12.6,9.6,15.4,19.1,38.0,13361
Boat Harbour (Lismore - NSW),8.0,3.0,8.0,9.0,28.0,14.3,5.4,14.3,16.1,50.0,10424
McLeans Ridges,39.0,33.0,39.0,34.0,104.0,14.6,12.4,14.6,12.7,39.0,12545
Eltham (NSW),26.0,18.0,31.0,26.0,67.0,14.7,10.2,17.5,14.7,37.9,11409
Lindendale,22.0,20.0,24.0,18.0,46.0,16.3,14.8,17.8,13.3,34.1,12336
Nimbin,89.0,95.0,64.0,45.0,91.0,20.9,22.4,15.1,10.6,21.4,12965
Stony Chute,10.0,10.0,9.0,3.0,14.0,20.4,20.4,18.4,6.1,28.6,13667
Blue Knob,10.0,20.0,10.0,3.0,17.0,16.7,33.3,16.7,5.0,28.3,10416
Tuntable Creek,15.0,22.0,12.0,14.0,19.0,17.0,25.0,13.6,15.9,21.6,13971
Coffee Camp,19.0,6.0,7.0,12.0,25.0,25.7,8.1,9.5,16.2,33.8,10958
Tucki Tucki,6.0,7.0,12.0,17.0,29.0,8.5,9.9,16.9,23.9,40.8,13946
Larnook,22.0,19.0,23.0,18.0,37.0,16.8,14.5,17.6,13.7,28.2,12279
Georgica,20.0,12.0,11.0,15.0,28.0,22.0,13.2,12.1,16.5,30.8,11604
Jiggi,28.0,24.0,30.0,27.0,52.0,17.1,14.6,18.3,16.5,31.7,12026
Rock Valley,15.0,14.0,19.0,35.0,43.0,11.9,11.1,15.1,27.8,34.1,13378
Leycester,7.0,15.0,6.0,14.0,23.0,10.8,23.1,9.2,21.5,35.4,12314
Dunoon,46.0,39.0,53.0,52.0,108.0,15.0,12.7,17.3,16.9,35.2,11325
Dorroughby,11.0,10.0,14.0,17.0,8.0,18.3,16.7,23.3,28.3,13.3,11280
Numulgi,17.0,9.0,18.0,21.0,42.0,15.5,8.2,16.4,19.1,38.2,13041
Fingal Head,39.0,36.0,30.0,32.0,81.0,17.5,16.1,13.5,14.3,36.3,11519
Casuarina (NSW),170.0,150.0,183.0,165.0,569.0,13.2,11.6,14.2,12.8,44.1,10851
Kingscliff,453.0,341.0,477.0,486.0,1185.0,14.6,11.0,15.4,15.7,38.3,12154
Chinderah,75.0,56.0,73.0,64.0,133.0,17.3,12.9,16.9,14.8,30.7,10905
Cudgen,54.0,48.0,58.0,76.0,154.0,13.2,11.7,14.2,18.6,37.7,11143
Murwillumbah,356.0,301.0,380.0,502.0,872.0,13.8,11.7,14.7,19.4,33.8,12866
South Murwillumbah,54.0,39.0,69.0,70.0,144.0,13.0,9.4,16.6,16.9,34.7,13593
Bray Park (NSW),32.0,28.0,32.0,46.0,90.0,13.0,11.4,13.0,18.7,36.6,10552
Smiths Creek (Tweed - NSW),22.0,9.0,22.0,19.0,34.0,20.8,8.5,20.8,17.9,32.1,13562
Mount Burrell,13.0,6.0,8.0,14.0,19.0,20.6,9.5,12.7,22.2,30.2,12749
Byrrill Creek,12.0,4.0,6.0,5.0,14.0,29.3,9.8,14.6,12.2,34.1,10734
Pumpenbil,15.0,14.0,14.0,14.0,20.0,18.3,17.1,17.1,17.1,24.4,13272
Tumbulgum,34.0,22.0,34.0,28.0,86.0,16.1,10.4,16.1,13.3,40.8,13964
Limpinwood,10.0,12.0,13.0,15.0,38.0,10.6,12.8,13.8,16.0,40.4,12333
Tyalgum,28.0,20.0,28.0,30.0,65.0,15.2,10.9,15.2,16.3,35.3,13994
Dum Dum,3.0,4.0,9.0,9.0,17.0,6.4,8.5,19.1,19.1,36.2,11304
Byangum,8.0,11.0,16.0,3.0,22.0,13.3,18.3,26.7,5.0,36.7,10729
Eungella (NSW),20.0,16.0,15.0,14.0,51.0,16.0,12.8,12.0,11.2,40.8,11460
Crystal Creek (NSW),12.0,19.0,18.0,21.0,25.0,11.1,17.6,16.7,19.4,23.1,11138
Chillingham,11.0,6.0,14.0,14.0,34.0,12.8,7.0,16.3,16.3,39.5,10904
Stokers Siding,45.0,27.0,41.0,37.0,92.0,17.4,10.5,15.9,14.3,35.7,13664
Numinbah,0.0,4.0,8.0,6.0,16.0,0.0,9.3,18.6,14.0,37.2,13040
Upper Crystal Creek,7.0,17.0,5.0,8.0,24.0,10.9,26.6,7.8,12.5,37.5,14021
Nobbys Creek,11.0,10.0,19.0,23.0,55.0,8.3,7.6,14.4,17.4,41.7,12968
Dungay,11.0,16.0,20.0,21.0,38.0,9.8,14.3,17.9,18.8,33.9,11318
Kynnumboon,8.0,5.0,9.0,16.0,26.0,11.3,7.0,12.7,22.5,36.6,12228
Dunbible,17.0,15.0,22.0,23.0,46.0,12.1,10.7,15.7,16.4,32.9,11309
Fernvale (NSW),18.0,22.0,16.0,21.0,34.0,15.7,19.1,13.9,18.3,29.6,11511
Kielvale,15.0,12.0,23.0,18.0,57.0,10.9,8.8,16.8,13.1,41.6,12122
Reserve Creek,9.0,8.0,11.0,9.0,21.0,13.4,11.9,16.4,13.4,31.3,13353
Tygalgah,8.0,5.0,11.0,9.0,21.0,14.0,8.8,19.3,15.8,36.8,13996
Dulguigan,6.0,12.0,4.0,7.0,25.0,11.1,22.2,7.4,13.0,46.3,11302
Urliup,18.0,10.0,3.0,12.0,32.0,22.2,12.3,3.7,14.8,39.5,14060
Eviron,13.0,5.0,13.0,9.0,35.0,15.7,6.0,15.7,10.8,42.2,11472
Duranbah,14.0,17.0,8.0,19.0,46.0,12.3,14.9,7.0,16.7,40.4,11331
Condong,19.0,15.0,20.0,20.0,53.0,14.4,11.4,15.2,15.2,40.2,11003
Farrants Hill,9.0,12.0,8.0,4.0,22.0,16.4,21.8,14.5,7.3,40.0,11493
Clothiers Creek,20.0,16.0,15.0,24.0,51.0,14.8,11.9,11.1,17.8,37.8,10936
Nunderi,51.0,40.0,37.0,51.0,111.0,16.7,13.1,12.1,16.7,36.3,13042
Uki,29.0,55.0,40.0,33.0,99.0,10.8,20.4,14.9,12.3,36.8,14000
Bogangar,191.0,170.0,240.0,226.0,523.0,13.5,12.0,16.9,15.9,36.9,10439
Mooball,8.0,11.0,8.0,16.0,27.0,10.5,14.5,10.5,21.1,35.5,12687
Cabarita Beach,7.0,3.0,4.0,8.0,20.0,16.7,7.1,9.5,19.0,47.6,10737
Pottsville,369.0,323.0,395.0,411.0,1030.0,13.8,12.1,14.8,15.4,38.6,13257
Crabbes Creek,18.0,18.0,25.0,21.0,45.0,12.9,12.9,18.0,15.1,32.4,11102
Upper Burringbar,7.0,23.0,17.0,12.0,46.0,5.8,19.2,14.2,10.0,38.3,14015
