,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Adamstown Heights,1808.0,28.0,59.0,0.0,95.4,1.5,3.1,0.0,10017
Adamstown,1625.0,380.0,358.0,5.0,68.0,15.9,15.0,0.2,10016
Kotara South,398.0,21.0,3.0,0.0,94.3,5.0,0.7,0.0,12201
Woodberry,1013.0,43.0,3.0,0.0,95.7,4.1,0.3,0.0,14377
Beresfield,1115.0,98.0,33.0,0.0,89.1,7.8,2.6,0.0,10301
Tarro,616.0,38.0,0.0,3.0,93.8,5.8,0.0,0.5,13771
Hamilton South,908.0,210.0,459.0,0.0,57.5,13.3,29.1,0.0,11841
Broadmeadow,464.0,123.0,78.0,3.0,69.5,18.4,11.7,0.4,10578
Hamilton East,320.0,22.0,20.0,0.0,88.4,6.1,5.5,0.0,11839
Newcastle West,9.0,8.0,263.0,4.0,3.1,2.8,91.6,1.4,12951
