,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Watanobbi,281.0,421.0,302.0,25.0,27.3,40.9,29.3,2.4,14181
Tacoma,52.0,90.0,33.0,3.0,29.2,50.6,18.5,1.7,13724
Llanarth (NSW),219.0,314.0,59.0,5.0,36.7,52.6,9.9,0.8,12362
South Bathurst,153.0,121.0,103.0,3.0,40.3,31.8,27.1,0.8,13577
Bathurst,635.0,449.0,325.0,44.0,43.7,30.9,22.4,3.0,10231
Robin Hill,122.0,129.0,12.0,3.0,45.9,48.5,4.5,1.1,13375
West Bathurst,335.0,317.0,264.0,16.0,35.9,34.0,28.3,1.7,14241
Mitchell (NSW),14.0,11.0,13.0,3.0,34.1,26.8,31.7,7.3,12650
Gormans Hill,67.0,60.0,40.0,3.0,39.4,35.3,23.5,1.8,11720
Abercrombie,99.0,170.0,37.0,4.0,31.9,54.8,11.9,1.3,10004
Eglinton (NSW),220.0,317.0,94.0,9.0,34.4,49.5,14.7,1.4,11386
Windradyne,295.0,316.0,172.0,7.0,37.3,40.0,21.8,0.9,14324
Raglan (NSW),119.0,163.0,51.0,0.0,35.7,48.9,15.3,0.0,13304
White Rock (NSW),57.0,118.0,10.0,0.0,30.8,63.8,5.4,0.0,14275
Kelso (NSW),802.0,1050.0,473.0,21.0,34.2,44.8,20.2,0.9,12090
O'Connell (NSW),59.0,77.0,14.0,0.0,39.3,51.3,9.3,0.0,13052
Brewongle,18.0,11.0,6.0,0.0,51.4,31.4,17.1,0.0,10564
Trunkey Creek,17.0,10.0,0.0,0.0,63.0,37.0,0.0,0.0,13942
Perthville,53.0,82.0,23.0,0.0,33.5,51.9,14.6,0.0,13189
Sofala,16.0,6.0,6.0,0.0,57.1,21.4,21.4,0.0,13569
Wattle Flat (NSW),32.0,16.0,13.0,0.0,52.5,26.2,21.3,0.0,14191
Peel,27.0,40.0,8.0,0.0,36.0,53.3,10.7,0.0,13174
Limekilns,15.0,13.0,6.0,0.0,44.1,38.2,17.6,0.0,12330
Clear Creek,15.0,16.0,3.0,0.0,44.1,47.1,8.8,0.0,10925
Rockley,24.0,20.0,4.0,0.0,50.0,41.7,8.3,0.0,13380
Georges Plains,22.0,26.0,7.0,0.0,40.0,47.3,12.7,0.0,11602
Billywillinga,22.0,32.0,6.0,0.0,36.7,53.3,10.0,0.0,10357
Mount Rankin,39.0,49.0,4.0,0.0,42.4,53.3,4.3,0.0,12786
Rock Forest,22.0,28.0,5.0,0.0,40.0,50.9,9.1,0.0,13377
Evans Plains,18.0,23.0,6.0,0.0,38.3,48.9,12.8,0.0,11470
The Lagoon,24.0,29.0,7.0,0.0,40.0,48.3,11.7,0.0,13828
Wisemans Creek,13.0,8.0,5.0,0.0,50.0,30.8,19.2,0.0,14343
Yetholme,30.0,30.0,5.0,0.0,46.2,46.2,7.7,0.0,14513
Meadow Flat,42.0,44.0,4.0,0.0,46.7,48.9,4.4,0.0,12549
Tarana,24.0,18.0,0.0,0.0,57.1,42.9,0.0,0.0,13760
Glanmire (NSW),29.0,18.0,3.0,0.0,58.0,36.0,6.0,0.0,11640
Napoleon Reef,32.0,13.0,0.0,0.0,71.1,28.9,0.0,0.0,12893
Oberon,368.0,303.0,146.0,5.0,44.8,36.9,17.8,0.6,13068
Black Springs (NSW),28.0,21.0,11.0,0.0,46.7,35.0,18.3,0.0,10389
Condobolin,348.0,335.0,170.0,14.0,40.1,38.6,19.6,1.6,11002
Tullamore,57.0,40.0,10.0,0.0,53.3,37.4,9.3,0.0,13954
Lake Cargelligo,144.0,135.0,70.0,10.0,40.1,37.6,19.5,2.8,12242
Tullibigeal,31.0,27.0,3.0,0.0,50.8,44.3,4.9,0.0,13957
Ungarie,63.0,46.0,29.0,0.0,45.7,33.3,21.0,0.0,14011
Euabalong,14.0,24.0,3.0,0.0,34.1,58.5,7.3,0.0,11449
Fifield,21.0,13.0,7.0,0.0,51.2,31.7,17.1,0.0,11514
Tottenham (NSW),62.0,37.0,9.0,0.0,57.4,34.3,8.3,0.0,13923
Cowra,1168.0,936.0,463.0,57.0,44.5,35.7,17.6,2.2,11099
Canowindra,259.0,209.0,110.0,4.0,44.5,35.9,18.9,0.7,10796
Woodstock (Cowra - NSW),98.0,52.0,31.0,3.0,53.3,28.3,16.8,1.6,14394
Gooloogong,58.0,40.0,16.0,0.0,50.9,35.1,14.0,0.0,11709
Mandurama,46.0,37.0,12.0,0.0,48.4,38.9,12.6,0.0,12467
Wattamondara,26.0,23.0,11.0,0.0,43.3,38.3,18.3,0.0,14190
Darbys Falls,36.0,18.0,12.0,3.0,52.2,26.1,17.4,4.3,11205
Billimari,14.0,15.0,3.0,0.0,43.8,46.9,9.4,0.0,10354
Moorbel,21.0,28.0,11.0,0.0,35.0,46.7,18.3,0.0,12709
Forbes (NSW),930.0,752.0,388.0,37.0,44.1,35.7,18.4,1.8,11536
Eugowra,116.0,68.0,22.0,3.0,55.5,32.5,10.5,1.4,11454
Warroo (NSW),17.0,18.0,3.0,0.0,44.7,47.4,7.9,0.0,14175
Bedgerabong,19.0,21.0,4.0,0.0,43.2,47.7,9.1,0.0,10247
Grenfell,358.0,212.0,89.0,15.0,53.1,31.5,13.2,2.2,11776
Greenethorpe,38.0,10.0,5.0,4.0,66.7,17.5,8.8,7.0,11760
Quandialla,25.0,17.0,8.0,0.0,50.0,34.0,16.0,0.0,13290
Caragabal,20.0,25.0,3.0,0.0,41.7,52.1,6.2,0.0,10806
Parkes (NSW),1122.0,1157.0,554.0,30.0,39.2,40.4,19.4,1.0,13151
Cookamidgera,11.0,15.0,5.0,0.0,35.5,48.4,16.1,0.0,11016
Peak Hill (NSW),117.0,86.0,66.0,11.0,41.8,30.7,23.6,3.9,13166
Trundle,86.0,60.0,22.0,3.0,50.3,35.1,12.9,1.8,13940
Bogan Gate,27.0,23.0,10.0,0.0,45.0,38.3,16.7,0.0,10438
Alectown,27.0,20.0,3.0,0.0,54.0,40.0,6.0,0.0,10029
West Wyalong,360.0,273.0,118.0,8.0,47.4,36.0,15.5,1.1,14256
Wyalong,86.0,71.0,25.0,0.0,47.3,39.0,13.7,0.0,14431
Weethalle,30.0,21.0,9.0,0.0,50.0,35.0,15.0,0.0,14215
Tallimba,19.0,20.0,6.0,0.0,42.2,44.4,13.3,0.0,13732
Barellan,52.0,61.0,17.0,3.0,39.1,45.9,12.8,2.3,10197
Ardlethan,63.0,45.0,17.0,3.0,49.2,35.2,13.3,2.3,10076
Ariah Park,67.0,46.0,4.0,0.0,57.3,39.3,3.4,0.0,10081
Barmedman,53.0,43.0,27.0,0.0,43.1,35.0,22.0,0.0,10202
Beckom,15.0,17.0,3.0,0.0,42.9,48.6,8.6,0.0,10244
South Bowenfels,136.0,156.0,18.0,0.0,43.9,50.3,5.8,0.0,13578
Marrangaroo,55.0,65.0,10.0,0.0,42.3,50.0,7.7,0.0,12502
Lithgow,548.0,408.0,308.0,24.0,42.5,31.7,23.9,1.9,12347
Bowenfels,162.0,176.0,141.0,5.0,33.5,36.4,29.1,1.0,10529
Rydal,22.0,13.0,13.0,0.0,45.8,27.1,27.1,0.0,13452
Pottery Estate,5.0,10.0,8.0,0.0,21.7,43.5,34.8,0.0,13254
Oakey Park,36.0,27.0,30.0,0.0,38.7,29.0,32.3,0.0,13055
Morts Estate,57.0,64.0,45.0,0.0,34.3,38.6,27.1,0.0,12732
Hermitage Flat,42.0,22.0,28.0,3.0,44.2,23.2,29.5,3.2,11895
McKellars Park,26.0,28.0,15.0,0.0,37.7,40.6,21.7,0.0,12544
South Littleton,31.0,35.0,10.0,0.0,40.8,46.1,13.2,0.0,13590
Littleton,98.0,87.0,33.0,3.0,44.3,39.4,14.9,1.4,12360
Vale Of Clwydd,37.0,41.0,35.0,3.0,31.9,35.3,30.2,2.6,14064
Portland (NSW),268.0,228.0,110.0,10.0,43.5,37.0,17.9,1.6,13250
Lidsdale,30.0,55.0,4.0,4.0,32.3,59.1,4.3,4.3,12318
Wallerawang,182.0,203.0,101.0,6.0,37.0,41.3,20.5,1.2,14114
Little Hartley,77.0,57.0,12.0,0.0,52.7,39.0,8.2,0.0,12352
Hartley (NSW),42.0,47.0,13.0,0.0,41.2,46.1,12.7,0.0,11861
Clarence,29.0,19.0,6.0,0.0,53.7,35.2,11.1,0.0,10919
Glen Davis,7.0,15.0,0.0,0.0,31.8,68.2,0.0,0.0,11646
Cullen Bullen,31.0,24.0,11.0,3.0,44.9,34.8,15.9,4.3,11148
Megalong Valley,14.0,20.0,4.0,0.0,36.8,52.6,10.5,0.0,12557
Kanimbla (NSW),32.0,8.0,0.0,0.0,80.0,20.0,0.0,0.0,12065
Capertee,12.0,8.0,7.0,0.0,44.4,29.6,25.9,0.0,10802
Running Stream,19.0,10.0,5.0,0.0,55.9,29.4,14.7,0.0,13441
Mudgee,1018.0,1172.0,491.0,42.0,37.4,43.0,18.0,1.5,12812
Putta Bucca,29.0,24.0,9.0,0.0,46.8,38.7,14.5,0.0,13278
Bombira,50.0,51.0,3.0,0.0,48.1,49.0,2.9,0.0,10457
Burrundulla,21.0,14.0,0.0,0.0,60.0,40.0,0.0,0.0,10717
Spring Flat,33.0,24.0,0.0,0.0,57.9,42.1,0.0,0.0,13613
Kandos,145.0,96.0,64.0,7.0,46.5,30.8,20.5,2.2,12057
Rylstone,126.0,77.0,47.0,4.0,49.6,30.3,18.5,1.6,13457
Ilford,23.0,15.0,5.0,0.0,53.5,34.9,11.6,0.0,11971
Clandulla,20.0,19.0,11.0,0.0,40.0,38.0,22.0,0.0,10916
Charbon,5.0,15.0,14.0,0.0,14.7,44.1,41.2,0.0,10883
Lue,24.0,18.0,7.0,0.0,49.0,36.7,14.3,0.0,12420
Gulgong,246.0,244.0,110.0,6.0,40.6,40.3,18.2,1.0,11794
Dunedoo,146.0,98.0,44.0,4.0,50.0,33.6,15.1,1.4,11316
Cassilis (NSW),46.0,32.0,15.0,0.0,49.5,34.4,16.1,0.0,10844
Tallawang,22.0,15.0,3.0,0.0,55.0,37.5,7.5,0.0,13731
Beryl,17.0,14.0,3.0,0.0,50.0,41.2,8.8,0.0,10327
Stubbo,25.0,30.0,4.0,0.0,42.4,50.8,6.8,0.0,13682
Cope,9.0,13.0,3.0,0.0,36.0,52.0,12.0,0.0,11057
Yarrawonga (NSW),45.0,45.0,20.0,0.0,40.9,40.9,18.2,0.0,14486
Piambong,17.0,24.0,3.0,0.0,38.6,54.5,6.8,0.0,13197
Cooks Gap,54.0,51.0,27.0,0.0,40.9,38.6,20.5,0.0,11018
Frog Rock,19.0,19.0,4.0,0.0,45.2,45.2,9.5,0.0,11570
Cooyal,11.0,11.0,3.0,0.0,44.0,44.0,12.0,0.0,11055
St Fillans,32.0,32.0,3.0,0.0,47.8,47.8,4.5,0.0,13634
Eurunderee,18.0,28.0,0.0,0.0,39.1,60.9,0.0,0.0,11467
Budgee Budgee (NSW),32.0,24.0,4.0,0.0,53.3,40.0,6.7,0.0,10641
Kains Flat,26.0,22.0,3.0,0.0,51.0,43.1,5.9,0.0,12049
Menah,20.0,14.0,3.0,0.0,54.1,37.8,8.1,0.0,12566
Grattai,37.0,32.0,8.0,0.0,48.1,41.6,10.4,0.0,11741
Hargraves,30.0,21.0,14.0,0.0,46.2,32.3,21.5,0.0,11854
Windeyer (NSW),20.0,13.0,10.0,0.0,46.5,30.2,23.3,0.0,14322
Bocoble,19.0,17.0,8.0,0.0,43.2,38.6,18.2,0.0,10432
Mount Frome,21.0,11.0,0.0,0.0,65.6,34.4,0.0,0.0,12760
Buckaroo,27.0,16.0,0.0,0.0,62.8,37.2,0.0,0.0,10630
Blayney,330.0,348.0,187.0,11.0,37.7,39.7,21.3,1.3,10410
Millthorpe,128.0,157.0,44.0,3.0,38.6,47.3,13.3,0.9,12623
Carcoar,45.0,25.0,12.0,0.0,54.9,30.5,14.6,0.0,10808
Lyndhurst (Blayney - NSW),43.0,39.0,17.0,0.0,43.4,39.4,17.2,0.0,12426
Forest Reefs,51.0,78.0,4.0,0.0,38.3,58.6,3.0,0.0,11547
Neville,32.0,25.0,4.0,0.0,52.5,41.0,6.6,0.0,12937
Barry (Blayney - NSW),21.0,21.0,3.0,0.0,46.7,46.7,6.7,0.0,10218
Newbridge (NSW),30.0,13.0,8.0,0.0,58.8,25.5,15.7,0.0,12948
Orange,3604.0,3996.0,1862.0,116.0,37.6,41.7,19.4,1.2,13092
Clifton Grove,113.0,120.0,16.0,0.0,45.4,48.2,6.4,0.0,10934
Cumnock,63.0,49.0,8.0,0.0,52.5,40.8,6.7,0.0,11159
Cudal,71.0,67.0,18.0,3.0,44.7,42.1,11.3,1.9,11140
Molong,257.0,307.0,95.0,6.0,38.6,46.2,14.3,0.9,12671
Manildra,87.0,87.0,21.0,4.0,43.7,43.7,10.6,2.0,12473
Cargo,62.0,79.0,15.0,0.0,39.7,50.6,9.6,0.0,10813
Spring Terrace,22.0,13.0,3.0,0.0,57.9,34.2,7.9,0.0,13620
Springside (NSW),45.0,39.0,7.0,0.0,49.5,42.9,7.7,0.0,13626
Spring Hill (Cabonne - NSW),52.0,59.0,21.0,3.0,38.5,43.7,15.6,2.2,13615
Guyong,17.0,15.0,6.0,0.0,44.7,39.5,15.8,0.0,11821
Emu Swamp,13.0,24.0,0.0,0.0,35.1,64.9,0.0,0.0,11419
Lewis Ponds,17.0,23.0,3.0,0.0,39.5,53.5,7.0,0.0,12312
Lucknow (NSW),36.0,41.0,10.0,0.0,41.4,47.1,11.5,0.0,12418
Spring Creek (NSW),18.0,19.0,0.0,0.0,48.6,51.4,0.0,0.0,13611
Huntley (Orange - NSW),18.0,22.0,5.0,0.0,40.0,48.9,11.1,0.0,11958
Canobolas,63.0,66.0,8.0,3.0,45.0,47.1,5.7,2.1,10793
Clergate,20.0,36.0,3.0,0.0,33.9,61.0,5.1,0.0,10929
March,13.0,13.0,0.0,0.0,50.0,50.0,0.0,0.0,12486
Summer Hill Creek,25.0,34.0,6.0,0.0,38.5,52.3,9.2,0.0,13688
Mullion Creek,54.0,80.0,11.0,0.0,37.2,55.2,7.6,0.0,12826
Nashdale,43.0,51.0,5.0,0.0,43.4,51.5,5.1,0.0,12913
Windera (NSW),21.0,54.0,5.0,0.0,26.2,67.5,6.2,0.0,14319
Lidster,32.0,42.0,4.0,0.0,41.0,53.8,5.1,0.0,12319
Borenore,53.0,62.0,8.0,0.0,43.1,50.4,6.5,0.0,10513
Yeoval,51.0,35.0,24.0,4.0,44.7,30.7,21.1,3.5,14507
Grafton,989.0,903.0,570.0,49.0,39.4,36.0,22.7,2.0,11733
Rushforth,36.0,29.0,5.0,0.0,51.4,41.4,7.1,0.0,13446
Great Marlow,29.0,26.0,3.0,0.0,50.0,44.8,5.2,0.0,11745
South Grafton,590.0,477.0,473.0,25.0,37.7,30.5,30.2,1.6,13582
Junction Hill,231.0,150.0,40.0,6.0,54.1,35.1,9.4,1.4,12045
Carrs Creek,15.0,17.0,7.0,0.0,38.5,43.6,17.9,0.0,10834
Tucabia,55.0,30.0,18.0,0.0,53.4,29.1,17.5,0.0,13945
Ulmarra,105.0,69.0,33.0,3.0,50.0,32.9,15.7,1.4,14004
Ramornie,22.0,16.0,15.0,0.0,41.5,30.2,28.3,0.0,13308
Nymboida,40.0,23.0,12.0,0.0,53.3,30.7,16.0,0.0,13048
Blaxlands Creek,24.0,8.0,6.0,0.0,63.2,21.1,15.8,0.0,10408
Glenreagh,86.0,92.0,50.0,3.0,37.2,39.8,21.6,1.3,11675
Wells Crossing,15.0,18.0,9.0,0.0,35.7,42.9,21.4,0.0,14223
Kungala,24.0,12.0,7.0,0.0,55.8,27.9,16.3,0.0,12212
Wooli,60.0,28.0,13.0,3.0,57.7,26.9,12.5,2.9,14403
Halfway Creek,19.0,23.0,16.0,0.0,32.8,39.7,27.6,0.0,11831
Copmanhurst,46.0,15.0,30.0,0.0,50.5,16.5,33.0,0.0,11060
Whiteman Creek,20.0,13.0,9.0,0.0,47.6,31.0,21.4,0.0,14277
The Whiteman,24.0,16.0,3.0,0.0,55.8,37.2,7.0,0.0,13843
Waterview Heights,193.0,160.0,54.0,3.0,47.1,39.0,13.2,0.7,14186
Lawrence (NSW),176.0,77.0,34.0,0.0,61.3,26.8,11.8,0.0,12288
Eatonsville,26.0,24.0,7.0,0.0,45.6,42.1,12.3,0.0,11370
Seelands,62.0,53.0,4.0,0.0,52.1,44.5,3.4,0.0,13515
Mountain View (NSW),22.0,22.0,9.0,0.0,41.5,41.5,17.0,0.0,12808
Southgate,26.0,19.0,6.0,0.0,51.0,37.3,11.8,0.0,13604
Lower Southgate,19.0,14.0,0.0,0.0,57.6,42.4,0.0,0.0,12413
Ashby Heights,33.0,26.0,8.0,0.0,49.3,38.8,11.9,0.0,10095
Tullymorgan,16.0,14.0,3.0,0.0,48.5,42.4,9.1,0.0,13960
Ashby (NSW),75.0,18.0,6.0,0.0,75.8,18.2,6.1,0.0,10094
South Arm (Clarence Valley - NSW),32.0,28.0,7.0,0.0,47.8,41.8,10.4,0.0,13574
Woodford Island,33.0,28.0,5.0,0.0,50.0,42.4,7.6,0.0,14384
Brushgrove,25.0,13.0,11.0,0.0,51.0,26.5,22.4,0.0,10622
Elland,45.0,36.0,7.0,0.0,51.1,40.9,8.0,0.0,11399
Coutts Crossing,118.0,109.0,51.0,3.0,42.0,38.8,18.1,1.1,11094
Kremnos,28.0,9.0,10.0,0.0,59.6,19.1,21.3,0.0,12204
Lanitza,27.0,32.0,15.0,0.0,36.5,43.2,20.3,0.0,12270
Braunstone,37.0,26.0,15.0,3.0,45.7,32.1,18.5,3.7,10550
Glenugie,22.0,20.0,7.0,3.0,42.3,38.5,13.5,5.8,11681
Clarenza,73.0,62.0,17.0,4.0,46.8,39.7,10.9,2.6,10922
Swan Creek (NSW),8.0,16.0,4.0,0.0,28.6,57.1,14.3,0.0,13706
Pillar Valley,43.0,25.0,15.0,0.0,51.8,30.1,18.1,0.0,13204
Minnie Water,42.0,14.0,10.0,0.0,63.6,21.2,15.2,0.0,12640
Tyndale,23.0,19.0,8.0,0.0,46.0,38.0,16.0,0.0,13997
Ilarwill,42.0,17.0,7.0,0.0,63.6,25.8,10.6,0.0,11970
Yamba (NSW),1001.0,410.0,264.0,19.0,59.1,24.2,15.6,1.1,14458
Gulmarrad,289.0,197.0,42.0,3.0,54.4,37.1,7.9,0.6,11795
Angourie,34.0,20.0,9.0,0.0,54.0,31.7,14.3,0.0,10059
Brooms Head,42.0,9.0,10.0,0.0,68.9,14.8,16.4,0.0,10603
Wooloweyah,54.0,46.0,9.0,0.0,49.5,42.2,8.3,0.0,14411
Woombah,152.0,56.0,35.0,0.0,62.6,23.0,14.4,0.0,14414
Maclean,341.0,176.0,140.0,13.0,50.9,26.3,20.9,1.9,12431
Iluka (NSW),329.0,78.0,85.0,9.0,65.7,15.6,17.0,1.8,11975
Harwood,33.0,21.0,18.0,0.0,45.8,29.2,25.0,0.0,11865
Chatsworth (NSW),26.0,11.0,8.0,0.0,57.8,24.4,17.8,0.0,10894
Townsend,95.0,92.0,61.0,3.0,37.8,36.7,24.3,1.2,13928
Palmers Channel,28.0,15.0,0.0,0.0,65.1,34.9,0.0,0.0,13135
Palmers Island,55.0,67.0,11.0,0.0,41.4,50.4,8.3,0.0,13136
Bellingen,359.0,386.0,237.0,9.0,36.2,39.0,23.9,0.9,10273
Brierfield,38.0,36.0,14.0,0.0,43.2,40.9,15.9,0.0,10568
Fernmount,49.0,38.0,16.0,3.0,46.2,35.8,15.1,2.8,11509
Darkwood,15.0,15.0,9.0,0.0,38.5,38.5,23.1,0.0,11210
Thora,38.0,36.0,22.0,0.0,39.6,37.5,22.9,0.0,13849
Gleniffer,69.0,35.0,12.0,0.0,59.5,30.2,10.3,0.0,11668
Valery,19.0,12.0,3.0,0.0,55.9,35.3,8.8,0.0,14066
Kalang,43.0,25.0,11.0,0.0,54.4,31.6,13.9,0.0,12050
Coffs Harbour,2661.0,2142.0,1503.0,92.0,41.6,33.5,23.5,1.4,10959
North Boambee Valley,235.0,199.0,56.0,5.0,47.5,40.2,11.3,1.0,12983
Coramba,95.0,90.0,40.0,4.0,41.5,39.3,17.5,1.7,11065
Nana Glen,125.0,128.0,42.0,0.0,42.4,43.4,14.2,0.0,12889
Upper Orara,92.0,99.0,29.0,4.0,41.1,44.2,12.9,1.8,14041
Bucca (NSW),63.0,69.0,15.0,0.0,42.9,46.9,10.2,0.0,10625
Karangi,56.0,72.0,19.0,0.0,38.1,49.0,12.9,0.0,12072
Megan,25.0,9.0,5.0,0.0,64.1,23.1,12.8,0.0,12558
Ulong,9.0,18.0,15.0,0.0,21.4,42.9,35.7,0.0,14005
Lowanna,32.0,22.0,27.0,0.0,39.5,27.2,33.3,0.0,12398
Dorrigo,162.0,89.0,59.0,4.0,51.6,28.3,18.8,1.3,11278
Deer Vale,13.0,17.0,6.0,0.0,36.1,47.2,16.7,0.0,11232
Fernbrook,25.0,4.0,7.0,0.0,69.4,11.1,19.4,0.0,11506
Hernani,20.0,19.0,3.0,0.0,47.6,45.2,7.1,0.0,11896
Bostobrick,11.0,20.0,4.0,0.0,31.4,57.1,11.4,0.0,10516
North Dorrigo,31.0,20.0,4.0,0.0,56.4,36.4,7.3,0.0,12989
Sapphire Beach,279.0,240.0,74.0,3.0,46.8,40.3,12.4,0.5,13491
Emerald Beach,268.0,282.0,88.0,4.0,41.7,43.9,13.7,0.6,11411
Korora,349.0,273.0,114.0,4.0,47.2,36.9,15.4,0.5,12197
Moonee Beach,217.0,254.0,59.0,0.0,40.9,47.9,11.1,0.0,12703
Toormina,623.0,523.0,426.0,20.0,39.1,32.9,26.8,1.3,13912
Boambee East,589.0,583.0,288.0,11.0,40.0,39.6,19.6,0.7,10422
Boambee,201.0,222.0,41.0,0.0,43.3,47.8,8.8,0.0,10421
Sawtell,455.0,347.0,187.0,7.0,45.7,34.8,18.8,0.7,13498
Bonville,332.0,331.0,70.0,4.0,45.0,44.9,9.5,0.5,10474
Bundagen,7.0,11.0,4.0,0.0,31.8,50.0,18.2,0.0,10669
Mylestom,55.0,26.0,15.0,0.0,57.3,27.1,15.6,0.0,12875
Raleigh,73.0,64.0,27.0,4.0,43.5,38.1,16.1,2.4,13307
Urunga,428.0,223.0,167.0,7.0,51.9,27.0,20.2,0.8,14061
Repton,90.0,76.0,21.0,0.0,48.1,40.6,11.2,0.0,13352
Valla,122.0,102.0,32.0,3.0,47.1,39.4,12.4,1.2,14067
Woolgoolga,622.0,497.0,243.0,21.0,45.0,35.9,17.6,1.5,14402
Safety Beach (NSW),163.0,102.0,22.0,3.0,56.2,35.2,7.6,1.0,13462
Sandy Beach,247.0,233.0,141.0,11.0,39.1,36.9,22.3,1.7,13479
Upper Corindi,14.0,19.0,5.0,0.0,36.8,50.0,13.2,0.0,14020
Corindi Beach,160.0,209.0,73.0,3.0,36.0,47.0,16.4,0.7,11073
Red Rock,56.0,30.0,27.0,0.0,49.6,26.5,23.9,0.0,13334
Arrawarra,113.0,14.0,18.0,0.0,77.9,9.7,12.4,0.0,10088
Arrawarra Headland,71.0,61.0,25.0,0.0,45.2,38.9,15.9,0.0,10089
Mullaway,68.0,59.0,26.0,3.0,43.6,37.8,16.7,1.9,12822
Bourke,147.0,154.0,112.0,12.0,34.6,36.2,26.4,2.8,10522
Wanaaring,4.0,13.0,0.0,0.0,23.5,76.5,0.0,0.0,14126
North Bourke,26.0,30.0,9.0,0.0,40.0,46.2,13.8,0.0,12985
Enngonia,6.0,16.0,3.0,0.0,24.0,64.0,12.0,0.0,11426
Brewarrina,75.0,65.0,96.0,13.0,30.1,26.1,38.6,5.2,10563
Cobar,391.0,406.0,147.0,11.0,40.9,42.5,15.4,1.2,10949
Coonamble,246.0,198.0,175.0,15.0,38.8,31.2,27.6,2.4,11044
Gulargambone,52.0,38.0,38.0,3.0,39.7,29.0,29.0,2.3,11792
Quambone,24.0,12.0,6.0,0.0,57.1,28.6,14.3,0.0,13287
Nyngan,217.0,210.0,95.0,10.0,40.8,39.5,17.9,1.9,13049
Warren,166.0,118.0,74.0,3.0,46.0,32.7,20.5,0.8,14171
Hermidale,15.0,13.0,3.0,0.0,48.4,41.9,9.7,0.0,11894
Ravenswood (NSW),46.0,30.0,19.0,0.0,48.4,31.6,20.0,0.0,13321
Cumborah,20.0,19.0,5.0,0.0,45.5,43.2,11.4,0.0,11158
Goodooga,16.0,22.0,24.0,0.0,25.8,35.5,38.7,0.0,11702
Carinda,23.0,11.0,4.0,0.0,60.5,28.9,10.5,0.0,10814
Pilliga,11.0,21.0,10.0,0.0,26.2,50.0,23.8,0.0,13205
