,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Tucki Tucki,3.0,0.0,3.0,12.0,21.0,3.0,3.5,3.0,7.1,0.0,7.1,28.6,50.0,7.1,--,--,13946
Larnook,6.0,21.0,43.0,41.0,27.0,6.0,2.5,2.3,4.2,14.6,29.9,28.5,18.8,4.2,--,--,12279
Georgica,3.0,12.0,28.0,31.0,25.0,0.0,2.6,2.2,3.0,12.1,28.3,31.3,25.3,0.0,--,--,11604
Jiggi,3.0,10.0,26.0,58.0,29.0,0.0,2.9,2.5,2.4,7.9,20.6,46.0,23.0,0.0,--,--,12026
Rock Valley,0.0,3.0,12.0,43.0,28.0,0.0,3.2,2.5,0.0,3.5,14.0,50.0,32.6,0.0,--,--,13378
Leycester,0.0,0.0,3.0,27.0,22.0,0.0,3.3,3.0,0.0,0.0,5.8,51.9,42.3,0.0,--,--,12314
Dunoon,3.0,5.0,45.0,124.0,83.0,3.0,3.1,2.4,1.1,1.9,17.1,47.1,31.6,1.1,--,--,11325
Dorroughby,0.0,3.0,4.0,22.0,21.0,0.0,3.3,2.3,0.0,6.0,8.0,44.0,42.0,0.0,--,--,11280
Numulgi,0.0,3.0,9.0,34.0,23.0,0.0,3.2,2.7,0.0,4.3,13.0,49.3,33.3,0.0,--,--,13041
Fingal Head,3.0,11.0,29.0,65.0,69.0,12.0,3.2,2.7,1.6,5.8,15.3,34.4,36.5,6.3,--,--,11519
Casuarina (NSW),0.0,37.0,132.0,265.0,395.0,19.0,3.3,2.9,0.0,4.4,15.6,31.2,46.6,2.2,--,--,10851
Kingscliff,10.0,84.0,808.0,1108.0,749.0,64.0,3.0,2.4,0.4,3.0,28.6,39.2,26.5,2.3,--,--,12154
Chinderah,22.0,276.0,278.0,90.0,76.0,41.0,1.9,1.8,2.8,35.2,35.5,11.5,9.7,5.2,--,--,10905
Cudgen,3.0,6.0,29.0,124.0,113.0,3.0,3.4,2.8,1.1,2.2,10.4,44.6,40.6,1.1,--,--,11143
Murwillumbah,12.0,97.0,615.0,1195.0,673.0,79.0,3.0,2.4,0.4,3.6,23.0,44.7,25.2,3.0,--,--,12866
South Murwillumbah,10.0,31.0,86.0,175.0,89.0,13.0,2.8,2.4,2.5,7.7,21.3,43.3,22.0,3.2,--,--,13593
Bray Park (NSW),0.0,6.0,29.0,181.0,71.0,7.0,3.2,2.6,0.0,2.0,9.9,61.6,24.1,2.4,--,--,10552
Smiths Creek (Tweed - NSW),3.0,3.0,16.0,49.0,27.0,3.0,3.0,2.5,3.0,3.0,15.8,48.5,26.7,3.0,--,--,13562
Mount Burrell,8.0,13.0,23.0,36.0,11.0,3.0,2.3,2.1,8.5,13.8,24.5,38.3,11.7,3.2,--,--,12749
Byrrill Creek,0.0,8.0,18.0,16.0,6.0,0.0,2.3,2.2,0.0,16.7,37.5,33.3,12.5,0.0,--,--,10734
Pumpenbil,3.0,7.0,11.0,31.0,24.0,0.0,2.8,2.3,3.9,9.2,14.5,40.8,31.6,0.0,--,--,13272
Tumbulgum,0.0,0.0,25.0,88.0,29.0,3.0,3.0,2.5,0.0,0.0,17.2,60.7,20.0,2.1,--,--,13964
Limpinwood,0.0,12.0,23.0,34.0,18.0,3.0,2.7,2.2,0.0,13.3,25.6,37.8,20.0,3.3,--,--,12333
Tyalgum,0.0,8.0,36.0,88.0,50.0,3.0,3.2,2.7,0.0,4.3,19.5,47.6,27.0,1.6,--,--,13994
Dum Dum,0.0,0.0,8.0,22.0,13.0,0.0,3.3,2.3,0.0,0.0,18.6,51.2,30.2,0.0,--,--,11304
Byangum,0.0,0.0,7.0,17.0,16.0,3.0,3.6,2.3,0.0,0.0,16.3,39.5,37.2,7.0,--,--,10729
Eungella (NSW),0.0,5.0,18.0,45.0,24.0,5.0,3.1,2.7,0.0,5.2,18.6,46.4,24.7,5.2,--,--,11460
Crystal Creek (NSW),3.0,5.0,15.0,35.0,31.0,0.0,3.0,2.7,3.4,5.6,16.9,39.3,34.8,0.0,--,--,11138
Chillingham,0.0,4.0,14.0,48.0,20.0,3.0,3.0,2.3,0.0,4.5,15.7,53.9,22.5,3.4,--,--,10904
Stokers Siding,5.0,16.0,44.0,83.0,74.0,4.0,3.0,2.7,2.2,7.1,19.5,36.7,32.7,1.8,--,--,13664
Numinbah,0.0,7.0,14.0,13.0,11.0,3.0,2.7,2.2,0.0,14.6,29.2,27.1,22.9,6.2,--,--,13040
Upper Crystal Creek,0.0,7.0,13.0,32.0,23.0,0.0,2.9,2.4,0.0,9.3,17.3,42.7,30.7,0.0,--,--,14021
Nobbys Creek,0.0,3.0,11.0,45.0,41.0,3.0,3.3,2.6,0.0,2.9,10.7,43.7,39.8,2.9,--,--,12968
Dungay,0.0,0.0,15.0,30.0,24.0,4.0,3.2,2.7,0.0,0.0,20.5,41.1,32.9,5.5,--,--,11318
Kynnumboon,0.0,0.0,9.0,27.0,15.0,3.0,3.2,2.3,0.0,0.0,16.7,50.0,27.8,5.6,--,--,12228
Dunbible,0.0,3.0,13.0,49.0,53.0,8.0,3.5,2.8,0.0,2.4,10.3,38.9,42.1,6.3,--,--,11309
Fernvale (NSW),0.0,3.0,8.0,39.0,38.0,3.0,3.5,2.7,0.0,3.3,8.8,42.9,41.8,3.3,--,--,11511
Kielvale,0.0,3.0,7.0,54.0,37.0,0.0,3.3,2.5,0.0,3.0,6.9,53.5,36.6,0.0,--,--,12122
Reserve Creek,0.0,3.0,12.0,22.0,9.0,0.0,2.9,2.8,0.0,6.5,26.1,47.8,19.6,0.0,--,--,13353
Tygalgah,0.0,0.0,0.0,21.0,16.0,3.0,3.3,2.1,0.0,0.0,0.0,52.5,40.0,7.5,--,--,13996
Dulguigan,0.0,3.0,8.0,23.0,17.0,0.0,3.3,2.5,0.0,5.9,15.7,45.1,33.3,0.0,--,--,11302
Urliup,0.0,0.0,12.0,30.0,26.0,0.0,3.3,2.4,0.0,0.0,17.6,44.1,38.2,0.0,--,--,14060
Eviron,0.0,0.0,15.0,25.0,26.0,0.0,3.1,3.0,0.0,0.0,22.7,37.9,39.4,0.0,--,--,11472
Duranbah,0.0,4.0,8.0,30.0,31.0,4.0,3.4,2.8,0.0,5.2,10.4,39.0,40.3,5.2,--,--,11331
Farrants Hill,5.0,5.0,9.0,21.0,12.0,0.0,2.7,2.0,9.6,9.6,17.3,40.4,23.1,0.0,--,--,11493
Clothiers Creek,0.0,3.0,5.0,36.0,38.0,4.0,3.5,3.0,0.0,3.5,5.8,41.9,44.2,4.7,--,--,10936
Nunderi,3.0,0.0,15.0,81.0,128.0,3.0,3.6,2.7,1.3,0.0,6.5,35.2,55.7,1.3,--,--,13042
Uki,5.0,15.0,44.0,101.0,71.0,8.0,3.0,2.5,2.0,6.1,18.0,41.4,29.1,3.3,--,--,14000
Bogangar,3.0,26.0,190.0,612.0,249.0,44.0,3.0,2.5,0.3,2.3,16.9,54.4,22.2,3.9,--,--,10439
Mooball,0.0,3.0,16.0,23.0,25.0,3.0,3.1,2.7,0.0,4.3,22.9,32.9,35.7,4.3,--,--,12687
Cabarita Beach,0.0,4.0,14.0,7.0,12.0,0.0,2.7,2.2,0.0,10.8,37.8,18.9,32.4,0.0,--,--,10737
Pottsville,5.0,39.0,187.0,1095.0,956.0,53.0,3.4,2.7,0.2,1.7,8.0,46.9,40.9,2.3,--,--,13257
Crabbes Creek,3.0,11.0,23.0,37.0,35.0,3.0,2.9,2.5,2.7,9.8,20.5,33.0,31.2,2.7,--,--,11102
Upper Burringbar,0.0,8.0,20.0,46.0,19.0,7.0,2.9,2.2,0.0,8.0,20.0,46.0,19.0,7.0,--,--,14015
Burringbar,0.0,14.0,41.0,131.0,104.0,3.0,3.2,2.5,0.0,4.8,14.0,44.7,35.5,1.0,--,--,10713
Hastings Point,3.0,36.0,192.0,66.0,15.0,11.0,2.2,1.8,0.9,11.1,59.4,20.4,4.6,3.4,--,--,11868
Round Mountain,0.0,0.0,4.0,20.0,20.0,0.0,3.4,3.2,0.0,0.0,9.1,45.5,45.5,0.0,--,--,13425
Cudgera Creek,0.0,3.0,14.0,42.0,43.0,3.0,3.3,2.9,0.0,2.9,13.3,40.0,41.0,2.9,--,--,11144
Tweed Heads,9.0,226.0,1570.0,1311.0,383.0,142.0,2.6,2.0,0.2,6.2,43.1,36.0,10.5,3.9,--,--,13984
Tweed Heads West,18.0,114.0,1074.0,883.0,402.0,93.0,2.6,2.1,0.7,4.4,41.6,34.2,15.6,3.6,--,--,13986
Piggabeen,0.0,3.0,12.0,45.0,45.0,0.0,3.3,2.9,0.0,2.9,11.4,42.9,42.9,0.0,--,--,13202
Bilambil Heights,9.0,32.0,86.0,574.0,468.0,22.0,3.3,2.6,0.8,2.7,7.2,48.2,39.3,1.8,--,--,10348
Cobaki,0.0,4.0,9.0,17.0,35.0,0.0,3.4,3.2,0.0,6.2,13.8,26.2,53.8,0.0,--,--,10947
Bilambil,0.0,3.0,30.0,37.0,66.0,3.0,3.3,2.8,0.0,2.2,21.6,26.6,47.5,2.2,--,--,10347
Carool,0.0,4.0,10.0,19.0,27.0,3.0,3.2,2.9,0.0,6.3,15.9,30.2,42.9,4.8,--,--,10822
Glengarrie,3.0,16.0,12.0,14.0,4.0,0.0,2.0,1.9,6.1,32.7,24.5,28.6,8.2,0.0,--,--,11666
Banora Point,6.0,195.0,1031.0,3115.0,1879.0,142.0,3.1,2.4,0.1,3.1,16.2,48.9,29.5,2.2,--,--,10185
Terranora,0.0,4.0,17.0,273.0,595.0,10.0,3.9,3.1,0.0,0.4,1.9,30.4,66.2,1.1,--,--,13802
North Tumbulgum,0.0,11.0,8.0,34.0,36.0,0.0,3.2,2.6,0.0,12.4,9.0,38.2,40.4,0.0,--,--,13012
Tweed Heads South,36.0,306.0,903.0,1331.0,569.0,138.0,2.7,2.1,1.1,9.3,27.5,40.5,17.3,4.2,--,--,13985
Griffith (NSW),28.0,232.0,1001.0,2708.0,1954.0,234.0,3.1,2.6,0.5,3.8,16.3,44.0,31.7,3.8,--,--,11782
Yoogali,0.0,6.0,30.0,143.0,167.0,7.0,3.5,2.9,0.0,1.7,8.5,40.5,47.3,2.0,--,--,14516
Bilbul,0.0,0.0,15.0,73.0,82.0,3.0,3.5,2.9,0.0,0.0,8.7,42.2,47.4,1.7,--,--,10349
Yenda (NSW),0.0,23.0,56.0,255.0,183.0,21.0,3.2,2.6,0.0,4.3,10.4,47.4,34.0,3.9,--,--,14504
Beelbangera,0.0,3.0,14.0,67.0,55.0,0.0,3.4,2.6,0.0,2.2,10.1,48.2,39.6,0.0,--,--,10251
Myall Park (NSW),0.0,0.0,7.0,20.0,28.0,0.0,3.5,2.8,0.0,0.0,12.7,36.4,50.9,0.0,--,--,12873
Binya,0.0,0.0,0.0,12.0,29.0,0.0,3.7,3.4,0.0,0.0,0.0,29.3,70.7,0.0,--,--,10373
Hillston,12.0,24.0,74.0,230.0,161.0,24.0,3.1,2.4,2.3,4.6,14.1,43.8,30.7,4.6,--,--,11912
Rankins Springs,0.0,5.0,7.0,32.0,29.0,3.0,3.1,2.3,0.0,6.6,9.2,42.1,38.2,3.9,--,--,13316
Whitton,0.0,10.0,32.0,94.0,45.0,3.0,3.0,2.4,0.0,5.4,17.4,51.1,24.5,1.6,--,--,14280
Tharbogang,0.0,0.0,6.0,72.0,49.0,5.0,3.4,3.0,0.0,0.0,4.5,54.5,37.1,3.8,--,--,13811
Hanwood,0.0,8.0,39.0,182.0,164.0,8.0,3.4,2.8,0.0,2.0,9.7,45.4,40.9,2.0,--,--,11850
Coleambally,0.0,14.0,53.0,213.0,172.0,14.0,3.3,2.5,0.0,3.0,11.4,45.7,36.9,3.0,--,--,10964
Darlington Point,0.0,9.0,54.0,237.0,108.0,7.0,3.1,2.5,0.0,2.2,13.0,57.1,26.0,1.7,--,--,11215
Carrathool,0.0,3.0,12.0,25.0,36.0,0.0,3.5,2.4,0.0,3.9,15.8,32.9,47.4,0.0,--,--,10827
Goolgowi,0.0,0.0,20.0,64.0,54.0,7.0,3.3,2.4,0.0,0.0,13.8,44.1,37.2,4.8,--,--,11705
Merriwagga,0.0,0.0,4.0,22.0,19.0,0.0,3.5,2.4,0.0,0.0,8.9,48.9,42.2,0.0,--,--,12586
Nericon,0.0,3.0,9.0,36.0,40.0,5.0,3.3,2.7,0.0,3.2,9.7,38.7,43.0,5.4,--,--,12927
Lake Wyangan,0.0,7.0,11.0,80.0,181.0,5.0,3.7,3.0,0.0,2.5,3.9,28.2,63.7,1.8,--,--,12255
Murrami,0.0,0.0,14.0,33.0,31.0,3.0,3.4,2.8,0.0,0.0,17.3,40.7,38.3,3.7,--,--,12850
Stanbridge,0.0,0.0,9.0,21.0,26.0,3.0,3.4,2.6,0.0,0.0,15.3,35.6,44.1,5.1,--,--,13646
Leeton,9.0,70.0,440.0,1376.0,1104.0,102.0,3.2,2.4,0.3,2.3,14.2,44.4,35.6,3.3,--,--,12293
Yanco,0.0,25.0,37.0,103.0,73.0,10.0,3.0,2.3,0.0,10.1,14.9,41.5,29.4,4.0,--,--,14460
Corbie Hill,0.0,0.0,3.0,25.0,40.0,3.0,3.7,2.8,0.0,0.0,4.2,35.2,56.3,4.2,--,--,11068
Merungle Hill,0.0,0.0,8.0,22.0,40.0,0.0,3.5,2.8,0.0,0.0,11.4,31.4,57.1,0.0,--,--,12590
Narrandera,6.0,37.0,313.0,764.0,472.0,55.0,3.1,2.3,0.4,2.2,19.0,46.4,28.7,3.3,--,--,12906
Grong Grong,0.0,3.0,9.0,32.0,40.0,4.0,3.5,2.2,0.0,3.4,10.2,36.4,45.5,4.5,--,--,11784
Boree Creek,0.0,3.0,4.0,33.0,28.0,0.0,3.4,2.4,0.0,4.4,5.9,48.5,41.2,0.0,--,--,10512
Gillenbah,3.0,0.0,5.0,18.0,17.0,0.0,3.2,2.1,7.0,0.0,11.6,41.9,39.5,0.0,--,--,11622
Tumbarumba,0.0,27.0,103.0,370.0,200.0,25.0,3.1,2.3,0.0,3.7,14.2,51.0,27.6,3.4,--,--,13961
Khancoban,0.0,3.0,30.0,56.0,31.0,3.0,3.1,1.9,0.0,2.4,24.4,45.5,25.2,2.4,--,--,12111
Rosewood (Snowy Valleys - NSW),0.0,0.0,6.0,35.0,26.0,0.0,3.5,2.7,0.0,0.0,9.0,52.2,38.8,0.0,--,--,13415
Humula,0.0,0.0,11.0,24.0,19.0,0.0,3.3,2.3,0.0,0.0,20.4,44.4,35.2,0.0,--,--,11952
Tooma,0.0,0.0,4.0,14.0,19.0,3.0,3.5,2.3,0.0,0.0,10.0,35.0,47.5,7.5,--,--,13906
Tumut,9.0,84.0,414.0,1193.0,599.0,55.0,3.1,2.3,0.4,3.6,17.6,50.7,25.4,2.3,--,--,13966
Gilmore (NSW),0.0,0.0,7.0,24.0,28.0,0.0,3.6,2.7,0.0,0.0,11.9,40.7,47.5,0.0,--,--,11626
Batlow,4.0,27.0,115.0,261.0,106.0,20.0,2.9,2.2,0.8,5.1,21.6,49.0,19.9,3.8,--,--,10232
Talbingo,0.0,0.0,19.0,58.0,20.0,3.0,3.0,1.7,0.0,0.0,19.0,58.0,20.0,3.0,--,--,13730
Gocup,0.0,0.0,4.0,19.0,22.0,0.0,3.5,2.7,0.0,0.0,8.9,42.2,48.9,0.0,--,--,11690
Bombowlee,0.0,0.0,13.0,29.0,58.0,3.0,3.4,2.7,0.0,0.0,12.6,28.2,56.3,2.9,--,--,10459
Lacmalac,0.0,0.0,5.0,19.0,30.0,0.0,3.6,2.1,0.0,0.0,9.3,35.2,55.6,0.0,--,--,12231
Mundongo,0.0,0.0,4.0,18.0,46.0,0.0,3.8,2.9,0.0,0.0,5.9,26.5,67.6,0.0,--,--,12840
Adelong,3.0,8.0,63.0,193.0,96.0,13.0,3.0,2.3,0.8,2.1,16.8,51.3,25.5,3.5,--,--,10018
Cootamundra,12.0,57.0,484.0,1304.0,794.0,79.0,3.1,2.2,0.4,2.1,17.7,47.8,29.1,2.9,--,--,11053
Stockinbingal,0.0,9.0,35.0,63.0,37.0,0.0,2.9,2.2,0.0,6.2,24.3,43.8,25.7,0.0,--,--,13660
Wallendbeen,0.0,0.0,16.0,42.0,40.0,3.0,3.5,2.5,0.0,0.0,15.8,41.6,39.6,3.0,--,--,14113
Gundagai,3.0,14.0,99.0,304.0,217.0,27.0,3.2,2.3,0.5,2.1,14.9,45.8,32.7,4.1,--,--,11803
South Gundagai,3.0,8.0,41.0,137.0,103.0,15.0,3.2,2.5,1.0,2.6,13.4,44.6,33.6,4.9,--,--,13584
Tumblong,0.0,3.0,4.0,30.0,21.0,3.0,3.3,2.3,0.0,4.9,6.6,49.2,34.4,4.9,--,--,13963
Nangus,0.0,3.0,14.0,31.0,31.0,0.0,3.4,2.7,0.0,3.8,17.7,39.2,39.2,0.0,--,--,12890
Coolac,0.0,0.0,7.0,31.0,35.0,3.0,3.7,2.5,0.0,0.0,9.2,40.8,46.1,3.9,--,--,11022
Junee,3.0,46.0,221.0,685.0,435.0,62.0,3.1,2.4,0.2,3.2,15.2,47.2,30.0,4.3,--,--,12046
Harefield,0.0,0.0,3.0,11.0,26.0,0.0,3.8,3.0,0.0,0.0,7.5,27.5,65.0,0.0,--,--,11853
Old Junee,0.0,0.0,8.0,51.0,29.0,8.0,3.3,2.5,0.0,0.0,8.3,53.1,30.2,8.3,--,--,13078
Illabo,0.0,4.0,4.0,22.0,21.0,4.0,3.1,2.5,0.0,7.3,7.3,40.0,38.2,7.3,--,--,11972
Bethungra,0.0,0.0,9.0,34.0,17.0,3.0,3.1,2.3,0.0,0.0,14.3,54.0,27.0,4.8,--,--,10328
Wantabadgery,0.0,0.0,4.0,17.0,34.0,3.0,3.7,2.4,0.0,0.0,6.9,29.3,58.6,5.2,--,--,14136
Temora,4.0,83.0,294.0,872.0,569.0,46.0,3.1,2.3,0.2,4.4,15.7,46.7,30.5,2.5,--,--,13784
Springdale (NSW),0.0,0.0,6.0,26.0,9.0,0.0,3.1,2.5,0.0,0.0,14.6,63.4,22.0,0.0,--,--,13621
Lake Albert (NSW),0.0,11.0,194.0,734.0,1213.0,34.0,3.6,2.7,0.0,0.5,8.9,33.6,55.5,1.6,--,--,12238
East Wagga Wagga,0.0,8.0,9.0,49.0,18.0,5.0,3.0,2.3,0.0,9.0,10.1,55.1,20.2,5.6,--,--,11364
Kooringal (NSW),4.0,60.0,488.0,1202.0,998.0,79.0,3.2,2.4,0.1,2.1,17.2,42.5,35.3,2.8,--,--,12193
Gumly Gumly,0.0,0.0,5.0,50.0,41.0,3.0,3.5,2.8,0.0,0.0,5.1,50.5,41.4,3.0,--,--,11800
Tatton,0.0,0.0,66.0,189.0,550.0,5.0,3.7,2.9,0.0,0.0,8.1,23.3,67.9,0.6,--,--,13775
Estella,0.0,8.0,113.0,279.0,345.0,16.0,3.4,2.7,0.0,1.1,14.8,36.7,45.3,2.1,--,--,11444
Boorooma,0.0,3.0,7.0,66.0,181.0,7.0,3.7,3.0,0.0,1.1,2.7,25.0,68.6,2.7,--,--,10501
North Wagga Wagga,0.0,5.0,45.0,83.0,80.0,8.0,3.2,2.6,0.0,2.3,20.4,37.6,36.2,3.6,--,--,13014
Cartwrights Hill,3.0,4.0,7.0,20.0,27.0,4.0,3.0,2.9,4.6,6.2,10.8,30.8,41.5,6.2,--,--,10839
Springvale (Wagga Wagga - NSW),0.0,3.0,4.0,44.0,423.0,9.0,4.3,3.4,0.0,0.6,0.8,9.1,87.6,1.9,--,--,13628
Lloyd,0.0,0.0,22.0,69.0,187.0,5.0,3.6,2.8,0.0,0.0,7.8,24.4,66.1,1.8,--,--,12365
Bourkelands,0.0,0.0,91.0,224.0,664.0,13.0,3.7,2.7,0.0,0.0,9.2,22.6,66.9,1.3,--,--,10523
Glenfield Park,3.0,14.0,296.0,988.0,592.0,51.0,3.2,2.5,0.2,0.7,15.2,50.8,30.5,2.6,--,--,11665
Tolland,0.0,41.0,201.0,602.0,405.0,45.0,3.2,2.4,0.0,3.2,15.5,46.5,31.3,3.5,--,--,13887
Mount Austin,14.0,54.0,223.0,862.0,329.0,50.0,3.0,2.3,0.9,3.5,14.6,56.3,21.5,3.3,--,--,12748
Turvey Park,0.0,23.0,180.0,646.0,371.0,27.0,3.2,2.5,0.0,1.8,14.4,51.8,29.8,2.2,--,--,13983
San Isidore,0.0,3.0,11.0,31.0,75.0,0.0,3.7,2.9,0.0,2.5,9.2,25.8,62.5,0.0,--,--,13469
Ashmont,3.0,11.0,273.0,785.0,294.0,55.0,3.0,2.4,0.2,0.8,19.2,55.2,20.7,3.9,--,--,10101
Wagga Wagga,10.0,189.0,1220.0,1110.0,450.0,87.0,2.6,2.0,0.3,6.2,39.8,36.2,14.7,2.8,--,--,14083
Kapooka,0.0,0.0,0.0,19.0,24.0,0.0,3.5,3.2,0.0,0.0,0.0,44.2,55.8,0.0,--,--,12068
Moorong,0.0,0.0,3.0,7.0,32.0,3.0,4.0,3.6,0.0,0.0,6.7,15.6,71.1,6.7,--,--,12715
Ladysmith,0.0,0.0,11.0,55.0,46.0,15.0,3.4,2.4,0.0,0.0,8.7,43.3,36.2,11.8,--,--,12233
The Rock,0.0,11.0,54.0,207.0,158.0,10.0,3.3,2.5,0.0,2.5,12.3,47.0,35.9,2.3,--,--,13838
Forest Hill (NSW),7.0,13.0,77.0,334.0,263.0,14.0,3.2,2.7,1.0,1.8,10.9,47.2,37.1,2.0,--,--,11544
Collingullie,0.0,0.0,8.0,35.0,28.0,0.0,3.4,2.8,0.0,0.0,11.3,49.3,39.4,0.0,--,--,10976
Lockhart,3.0,18.0,51.0,204.0,140.0,11.0,3.2,2.2,0.7,4.2,11.9,47.8,32.8,2.6,--,--,12369
Pleasant Hills,0.0,0.0,3.0,25.0,19.0,0.0,3.4,2.3,0.0,0.0,6.4,53.2,40.4,0.0,--,--,13228
Ganmain,0.0,7.0,42.0,139.0,86.0,13.0,3.2,2.5,0.0,2.4,14.6,48.4,30.0,4.5,--,--,11585
Matong,0.0,3.0,11.0,27.0,12.0,3.0,2.9,2.4,0.0,5.4,19.6,48.2,21.4,5.4,--,--,12523
Yerong Creek,0.0,0.0,10.0,43.0,50.0,0.0,3.5,2.9,0.0,0.0,9.7,41.7,48.5,0.0,--,--,14508
Uranquinty,0.0,3.0,25.0,137.0,134.0,13.0,3.4,2.6,0.0,1.0,8.0,43.9,42.9,4.2,--,--,14055
Currawarna,0.0,0.0,3.0,27.0,25.0,3.0,3.5,2.4,0.0,0.0,5.2,46.6,43.1,5.2,--,--,11178
Oura,0.0,0.0,11.0,23.0,37.0,0.0,3.6,2.8,0.0,0.0,15.5,32.4,52.1,0.0,--,--,13102
