,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Manilla,135.0,72.0,54.0,2029.0,5.3,2.8,2.1,79.7,12474
Daruka,64.0,31.0,23.0,634.0,8.2,4.0,2.9,81.0,11218
Moore Creek,169.0,101.0,54.0,1926.0,7.1,4.3,2.3,81.3,12710
Hallsville,27.0,21.0,8.0,438.0,5.1,3.9,1.5,82.2,11835
Nundle,34.0,15.0,14.0,363.0,6.9,3.1,2.9,74.1,13043
Ogunbil,17.0,11.0,5.0,111.0,11.5,7.4,3.4,75.0,13071
Dungowan,28.0,11.0,15.0,315.0,7.1,2.8,3.8,80.4,11321
Piallamore,13.0,8.0,14.0,216.0,5.0,3.1,5.4,82.8,13195
Woolomin,19.0,13.0,7.0,210.0,7.0,4.8,2.6,77.2,14408
Warral,21.0,15.0,7.0,297.0,5.6,4.0,1.9,79.0,14163
Timbumburi,11.0,11.0,3.0,115.0,7.7,7.7,2.1,80.4,13870
Windale,223.0,161.0,105.0,2540.0,6.6,4.8,3.1,75.6,14315
Jewells,254.0,166.0,89.0,1813.0,10.6,6.9,3.7,75.4,12024
Belmont North,588.0,349.0,302.0,4718.0,9.3,5.5,4.8,74.5,10277
Belmont (NSW),806.0,469.0,283.0,5084.0,11.3,6.6,4.0,71.4,10276
Floraville,179.0,124.0,89.0,1411.0,9.7,6.7,4.8,76.3,11535
Blacksmiths,110.0,84.0,66.0,1489.0,6.0,4.6,3.6,80.9,10396
Pelican (NSW),46.0,36.0,30.0,714.0,5.2,4.1,3.4,81.3,13178
Marks Point,208.0,93.0,64.0,1343.0,11.4,5.1,3.5,73.6,12492
Belmont South,111.0,61.0,46.0,777.0,10.6,5.8,4.4,74.0,10278
Kahibah,253.0,162.0,116.0,1852.0,10.2,6.6,4.7,74.9,12048
Charlestown (NSW),2014.0,842.0,580.0,8906.0,15.6,6.5,4.5,69.0,10885
Whitebridge,291.0,180.0,108.0,1912.0,11.1,6.9,4.1,73.1,14276
Gateshead,296.0,174.0,118.0,2338.0,9.4,5.5,3.8,74.3,11594
Dudley,248.0,150.0,117.0,1789.0,10.3,6.2,4.8,74.0,11300
Highfields (NSW),109.0,61.0,54.0,586.0,13.0,7.3,6.4,69.7,11902
Garden Suburb,294.0,130.0,100.0,1236.0,15.4,6.8,5.2,64.8,11587
Cardiff (NSW),733.0,393.0,265.0,4158.0,12.6,6.7,4.5,71.4,10809
Hillsborough (Lake Macquarie - NSW),57.0,45.0,34.0,492.0,8.7,6.9,5.2,75.3,11909
Warners Bay,1128.0,520.0,356.0,5238.0,14.8,6.8,4.7,68.8,14153
Argenton,171.0,66.0,48.0,979.0,12.6,4.9,3.6,72.4,10078
Glendale (NSW),370.0,182.0,132.0,2260.0,11.9,5.9,4.2,72.8,11658
Elermore Vale,1042.0,323.0,252.0,3580.0,18.9,5.8,4.6,64.8,11394
Macquarie Hills,362.0,220.0,146.0,2485.0,11.0,6.7,4.4,75.2,12434
Kotara,550.0,288.0,199.0,2770.0,14.0,7.3,5.1,70.7,12200
Cardiff Heights,205.0,102.0,62.0,962.0,14.3,7.1,4.3,67.1,10810
Cardiff South,313.0,182.0,122.0,2103.0,11.1,6.4,4.3,74.3,10811
New Lambton Heights,377.0,181.0,115.0,1688.0,15.3,7.4,4.7,68.7,12943
Rankin Park,348.0,162.0,111.0,1744.0,14.2,6.6,4.5,71.1,13315
Tingira Heights,213.0,127.0,110.0,1545.0,9.9,5.9,5.1,72.0,13875
Mount Hutton (NSW),475.0,248.0,158.0,2387.0,13.4,7.0,4.5,67.6,12766
Eleebana,887.0,361.0,289.0,4020.0,15.4,6.3,5.0,69.8,11393
Redhead,448.0,239.0,159.0,2466.0,12.7,6.8,4.5,70.2,13340
Caves Beach,536.0,273.0,203.0,2889.0,13.2,6.7,5.0,71.1,10862
Nords Wharf,103.0,54.0,46.0,641.0,11.5,6.1,5.2,71.9,12975
Swansea (NSW),521.0,311.0,199.0,3659.0,10.3,6.2,3.9,72.5,13711
Swansea Heads,63.0,40.0,34.0,460.0,10.1,6.4,5.5,73.8,13712
Catherine Hill Bay,19.0,15.0,10.0,111.0,11.2,8.9,5.9,65.7,10857
Cams Wharf,27.0,3.0,5.0,102.0,19.1,2.1,3.5,72.3,10784
Murrays Beach,139.0,50.0,35.0,397.0,21.8,7.8,5.5,62.2,12854
Valentine,767.0,375.0,255.0,3943.0,13.9,6.8,4.6,71.5,14065
Croudace Bay,71.0,34.0,28.0,408.0,12.4,5.9,4.9,71.3,11128
Speers Point,435.0,230.0,173.0,2314.0,13.1,6.9,5.2,69.7,13605
Lakelands (NSW),252.0,85.0,69.0,979.0,17.7,6.0,4.8,68.8,12256
Boolaroo,115.0,74.0,39.0,760.0,11.1,7.1,3.8,73.4,10482
Booragul,131.0,99.0,40.0,895.0,10.3,7.8,3.1,70.3,10495
Fennell Bay,199.0,93.0,70.0,1168.0,12.3,5.7,4.3,72.0,11500
Marmong Point,105.0,50.0,29.0,557.0,13.8,6.6,3.8,73.3,12498
Woodrising,138.0,77.0,52.0,852.0,11.8,6.6,4.4,72.8,14391
Bolton Point,237.0,124.0,85.0,1447.0,11.2,5.8,4.0,68.2,10449
Teralba,137.0,83.0,56.0,1124.0,8.7,5.3,3.5,71.1,13793
Fassifern (NSW),81.0,38.0,31.0,423.0,13.3,6.3,5.1,69.7,11495
Balcolyn,143.0,61.0,54.0,657.0,14.8,6.3,5.6,68.0,10145
Yarrawonga Park,40.0,22.0,23.0,267.0,10.4,5.7,6.0,69.2,14487
Mirrabooka (NSW),111.0,54.0,38.0,491.0,15.4,7.5,5.3,67.9,12647
Sunshine (NSW),63.0,34.0,25.0,278.0,14.8,8.0,5.9,65.1,13694
Silverwater (Lake Macquarie - NSW),31.0,12.0,9.0,230.0,10.3,4.0,3.0,76.7,13546
Bonnells Bay,545.0,267.0,219.0,2383.0,15.2,7.5,6.1,66.6,10468
Brightwaters,145.0,56.0,41.0,621.0,16.1,6.2,4.6,68.9,10570
Morisset Park,134.0,51.0,33.0,491.0,18.1,6.9,4.4,66.2,12724
Windermere Park,79.0,61.0,29.0,493.0,11.5,8.9,4.2,71.7,14321
Edgeworth,624.0,390.0,218.0,4690.0,10.1,6.3,3.5,75.6,11381
Cameron Park,1192.0,443.0,311.0,5644.0,14.9,5.5,3.9,70.6,10775
Cooranbong,1042.0,452.0,344.0,3137.0,19.1,8.3,6.3,57.6,11052
Wyee,279.0,141.0,118.0,1709.0,11.6,5.8,4.9,70.8,14438
Morisset,600.0,183.0,147.0,2057.0,18.7,5.7,4.6,64.2,12723
Wyee Point,136.0,62.0,70.0,817.0,12.1,5.5,6.2,72.8,14439
Mandalong,52.0,23.0,25.0,293.0,12.1,5.4,5.8,68.5,12465
Dora Creek,232.0,104.0,71.0,1142.0,14.1,6.3,4.3,69.6,11277
Eraring,34.0,8.0,9.0,146.0,16.2,3.8,4.3,69.5,11429
Martinsville,44.0,26.0,14.0,235.0,12.0,7.1,3.8,63.9,12512
Blackalls Park,292.0,179.0,98.0,2069.0,10.6,6.5,3.6,75.2,10390
Toronto,737.0,346.0,244.0,3844.0,13.1,6.2,4.4,68.6,13918
Kilaben Bay,174.0,104.0,73.0,1014.0,12.2,7.3,5.1,71.2,12125
Coal Point,226.0,92.0,98.0,1218.0,13.1,5.3,5.7,70.7,10943
Awaba,46.0,34.0,20.0,279.0,11.4,8.5,5.0,69.4,10118
Carey Bay,140.0,41.0,46.0,607.0,15.5,4.6,5.1,67.4,10812
Buttaba,141.0,88.0,48.0,781.0,12.8,8.0,4.4,70.9,10723
Fishing Point,136.0,59.0,50.0,766.0,13.1,5.7,4.8,73.8,11526
Rathmines,265.0,128.0,69.0,1364.0,14.0,6.8,3.6,72.0,13319
Wangi Wangi,374.0,189.0,112.0,1955.0,13.6,6.9,4.1,70.9,14135
Arcadia Vale,163.0,85.0,69.0,992.0,11.8,6.2,5.0,72.1,10073
Balmoral (Lake Macquarie - NSW),91.0,59.0,40.0,513.0,12.5,8.1,5.5,70.4,10166
Holmesville,102.0,51.0,46.0,1075.0,7.5,3.7,3.4,78.8,11924
Barnsley,117.0,95.0,55.0,1418.0,6.7,5.4,3.1,81.0,10204
Seahampton,19.0,18.0,12.0,235.0,6.5,6.1,4.1,79.9,13511
West Wallsend,162.0,127.0,106.0,1756.0,7.2,5.7,4.7,78.1,14253
Killingworth (NSW),38.0,25.0,21.0,572.0,5.6,3.7,3.1,84.5,12137
Wakefield,7.0,14.0,3.0,108.0,4.9,9.7,2.1,75.0,14088
Adamstown Heights,910.0,386.0,236.0,3601.0,17.2,7.3,4.5,68.0,10017
Adamstown,895.0,456.0,311.0,4150.0,14.8,7.5,5.1,68.6,10016
Kotara South,134.0,82.0,50.0,786.0,12.1,7.4,4.5,71.3,12201
Woodberry,286.0,132.0,99.0,2239.0,9.6,4.4,3.3,74.9,14377
Beresfield,377.0,150.0,112.0,2359.0,11.9,4.7,3.5,74.3,10301
Tarro,171.0,75.0,50.0,1233.0,10.4,4.6,3.1,75.2,13771
Hexham (NSW),13.0,0.0,0.0,102.0,10.1,0.0,0.0,79.1,11898
Hamilton South,656.0,270.0,203.0,2456.0,16.9,7.0,5.2,63.3,11841
Broadmeadow,313.0,99.0,75.0,1031.0,19.7,6.2,4.7,64.8,10578
Hamilton East,163.0,71.0,41.0,655.0,16.6,7.2,4.2,66.8,11839
Newcastle West,128.0,30.0,31.0,342.0,20.7,4.8,5.0,55.3,12951
Hamilton North,100.0,50.0,53.0,634.0,11.5,5.7,6.1,72.9,11840
Hamilton (NSW),822.0,307.0,204.0,2600.0,19.4,7.3,4.8,61.5,11838
New Lambton,1447.0,648.0,497.0,7016.0,14.4,6.5,4.9,69.9,12942
Lambton,850.0,283.0,218.0,3375.0,17.3,5.8,4.4,68.7,12264
Jesmond,1380.0,101.0,108.0,1264.0,45.3,3.3,3.5,41.5,12023
Maryland (Newcastle - NSW),1223.0,413.0,290.0,5489.0,15.9,5.4,3.8,71.4,12514
Fletcher (NSW),1086.0,288.0,221.0,3353.0,21.1,5.6,4.3,65.3,11533
Minmi,59.0,37.0,37.0,606.0,7.9,4.9,4.9,80.9,12638
Warabrook,542.0,117.0,96.0,1024.0,27.4,5.9,4.8,51.7,14140
Mayfield West,284.0,144.0,85.0,1300.0,15.0,7.6,4.5,68.5,12536
Mayfield (Newcastle - NSW),1611.0,645.0,433.0,5968.0,17.3,6.9,4.7,64.1,12530
Mayfield East,253.0,129.0,96.0,1113.0,15.0,7.6,5.7,65.9,12534
Merewether Heights,178.0,99.0,59.0,978.0,12.6,7.0,4.2,69.4,12574
Merewether,1515.0,773.0,592.0,7549.0,13.8,7.1,5.4,68.9,12573
The Junction,148.0,80.0,62.0,701.0,14.1,7.6,5.9,66.6,13827
Cooks Hill,594.0,256.0,220.0,2289.0,16.4,7.1,6.1,63.1,11019
Bar Beach,214.0,90.0,62.0,770.0,17.1,7.2,5.0,61.6,10187
Newcastle,595.0,177.0,108.0,1518.0,21.7,6.4,3.9,55.3,12949
The Hill,378.0,149.0,123.0,1168.0,19.5,7.7,6.3,60.3,13826
Newcastle East,190.0,77.0,60.0,597.0,18.9,7.7,6.0,59.5,12950
Carrington (Newcastle - NSW),223.0,136.0,93.0,1350.0,11.6,7.1,4.8,70.2,10830
Shortland,758.0,257.0,165.0,2584.0,19.4,6.6,4.2,66.1,13542
Birmingham Gardens,816.0,107.0,79.0,1240.0,34.4,4.5,3.3,52.3,10377
Sandgate (NSW),16.0,9.0,10.0,123.0,5.2,2.9,3.2,39.9,13474
North Lambton,796.0,192.0,169.0,2020.0,24.0,5.8,5.1,61.0,12993
Stockton (NSW),351.0,198.0,182.0,2726.0,8.4,4.8,4.4,65.5,13662
Fern Bay,384.0,181.0,110.0,1907.0,13.9,6.6,4.0,69.1,11501
Fullerton Cove,82.0,35.0,25.0,373.0,14.5,6.2,4.4,65.8,11575
Wallsend,2175.0,751.0,468.0,8296.0,17.4,6.0,3.8,66.5,14118
Georgetown (NSW),235.0,136.0,91.0,1404.0,12.0,7.0,4.7,71.9,11603
Waratah West,624.0,190.0,107.0,1816.0,20.9,6.4,3.6,60.9,14142
Waratah (NSW),692.0,275.0,221.0,2698.0,15.4,6.1,4.9,60.0,14141
Wickham (NSW),143.0,97.0,59.0,696.0,13.2,9.0,5.5,64.4,14285
Maryville,203.0,100.0,59.0,1028.0,14.0,6.9,4.1,71.0,12518
Tighes Hill,295.0,147.0,99.0,1020.0,17.5,8.7,5.9,60.4,13863
Islington,285.0,132.0,102.0,1226.0,15.1,7.0,5.4,65.1,11990
Ballina,1093.0,472.0,356.0,5601.0,12.6,5.5,4.1,64.7,10162
West Ballina,331.0,145.0,110.0,2159.0,11.0,4.8,3.6,71.4,14240
East Ballina,732.0,403.0,258.0,3880.0,13.1,7.2,4.6,69.6,11345
Skennars Head,152.0,76.0,60.0,808.0,13.2,6.6,5.2,70.3,13554
Alstonville,714.0,363.0,278.0,4070.0,12.4,6.3,4.8,70.9,10046
Wollongbar,308.0,161.0,119.0,2118.0,10.9,5.7,4.2,75.1,14357
Wardell,78.0,43.0,32.0,522.0,9.4,5.2,3.9,63.0,14144
East Wardell,31.0,19.0,9.0,227.0,10.0,6.1,2.9,73.5,11365
Empire Vale,17.0,10.0,9.0,122.0,9.7,5.7,5.1,69.7,11416
Meerschaum Vale,33.0,24.0,6.0,299.0,8.4,6.1,1.5,75.9,12556
Dalwood (Ballina - NSW),26.0,19.0,10.0,157.0,11.4,8.3,4.4,68.6,11195
Marom Creek,12.0,3.0,5.0,100.0,9.4,2.4,3.9,78.7,12499
Rous,39.0,24.0,8.0,146.0,16.9,10.4,3.5,63.2,13427
Pimlico (NSW),19.0,19.0,12.0,214.0,6.5,6.5,4.1,72.8,13207
Coolgardie (NSW),17.0,5.0,3.0,73.0,14.4,4.2,2.5,61.9,11031
Keith Hall,13.0,4.0,6.0,104.0,7.7,2.4,3.6,61.9,12086
Uralba,39.0,10.0,15.0,139.0,18.1,4.7,7.0,64.7,14050
Tuckombil,42.0,26.0,20.0,167.0,16.3,10.1,7.8,64.7,13947
Fernleigh,50.0,22.0,8.0,167.0,17.2,7.6,2.7,57.4,11508
Tintenbar,132.0,78.0,40.0,479.0,16.1,9.5,4.9,58.3,13878
Cumbalum,212.0,92.0,67.0,1078.0,14.0,6.1,4.4,71.0,11154
Brooklet,40.0,22.0,10.0,158.0,15.6,8.6,3.9,61.5,10598
Knockrow,38.0,10.0,11.0,111.0,20.5,5.4,5.9,60.0,12178
Newrybar,96.0,36.0,30.0,248.0,21.7,8.1,6.8,56.0,12957
Alstonvale,59.0,21.0,19.0,308.0,13.5,4.8,4.3,70.5,10045
Teven,45.0,22.0,15.0,165.0,15.5,7.6,5.2,56.9,13807
Pearces Creek,27.0,9.0,12.0,117.0,15.3,5.1,6.8,66.5,13170
Lynwood (NSW),23.0,18.0,3.0,165.0,10.0,7.9,1.3,72.1,12427
Rous Mill,23.0,12.0,4.0,142.0,12.1,6.3,2.1,74.7,13428
Ewingsdale,165.0,72.0,40.0,403.0,20.0,8.7,4.8,48.8,11474
Eureka (NSW),65.0,39.0,28.0,185.0,19.0,11.4,8.2,54.1,11461
Coorabell,125.0,42.0,31.0,190.0,29.7,10.0,7.4,45.1,11051
Possum Creek,66.0,25.0,15.0,139.0,23.2,8.8,5.3,48.9,13252
Bangalow,394.0,167.0,115.0,1165.0,19.5,8.3,5.7,57.6,10174
Coopers Shoot,40.0,24.0,24.0,143.0,15.2,9.1,9.1,54.2,11049
Skinners Shoot,18.0,4.0,4.0,63.0,14.5,3.2,3.2,50.8,13556
Talofa,30.0,16.0,5.0,37.0,27.8,14.8,4.6,34.3,13739
Nashua,41.0,13.0,13.0,159.0,17.1,5.4,5.4,66.2,12914
Federal (NSW),146.0,54.0,32.0,356.0,21.2,7.8,4.6,51.6,11499
Binna Burra (NSW),32.0,17.0,3.0,139.0,14.5,7.7,1.4,63.2,10371
Brunswick Heads,316.0,109.0,93.0,1050.0,18.1,6.2,5.3,60.1,10621
Ocean Shores,1058.0,440.0,305.0,2892.0,20.6,8.6,5.9,56.3,13070
Tyagarah,41.0,21.0,9.0,63.0,26.8,13.7,5.9,41.2,13993
New Brighton,41.0,22.0,20.0,205.0,11.7,6.3,5.7,58.4,12939
South Golden Beach,161.0,96.0,63.0,402.0,20.0,11.9,7.8,49.8,13581
Wooyung,21.0,9.0,3.0,66.0,18.4,7.9,2.6,57.9,14418
Byron Bay,1189.0,375.0,263.0,2581.0,21.5,6.8,4.8,46.7,10733
Suffolk Park,876.0,337.0,252.0,1862.0,23.4,9.0,6.7,49.6,13684
Broken Head,50.0,12.0,22.0,162.0,18.2,4.4,8.0,59.1,10591
Woodburn (Richmond Valley - NSW),47.0,36.0,17.0,556.0,6.4,4.9,2.3,75.7,14379
Broadwater (Richmond Valley - NSW),47.0,32.0,11.0,488.0,7.4,5.0,1.7,77.0,10580
Rileys Hill,11.0,7.0,9.0,139.0,6.2,4.0,5.1,79.0,13364
Evans Head,208.0,143.0,113.0,2115.0,7.3,5.0,4.0,74.1,11469
Bungawalbin,8.0,4.0,3.0,83.0,6.8,3.4,2.5,70.3,10683
New Italy,28.0,13.0,12.0,107.0,15.1,7.0,6.5,57.5,12941
Swan Bay (Richmond Valley - NSW),17.0,4.0,3.0,178.0,7.6,1.8,1.3,79.8,13705
Doonbah,27.0,14.0,4.0,171.0,11.0,5.7,1.6,69.8,11274
Lennox Head,988.0,482.0,369.0,4178.0,15.4,7.5,5.8,65.2,12303
Myocum,272.0,84.0,35.0,468.0,27.7,8.6,3.6,47.7,12877
Billinudgel,57.0,10.0,19.0,103.0,26.5,4.7,8.8,47.9,10355
Yelgun,12.0,13.0,3.0,75.0,11.1,12.0,2.8,69.4,14499
The Pocket,60.0,23.0,14.0,157.0,21.3,8.2,5.0,55.7,13834
Middle Pocket,28.0,20.0,10.0,70.0,20.0,14.3,7.1,50.0,12606
Main Arm,116.0,53.0,25.0,295.0,19.7,9.0,4.3,50.2,12445
Upper Main Arm,37.0,24.0,10.0,104.0,16.7,10.8,4.5,46.8,14035
Mullumbimby,783.0,343.0,212.0,1840.0,21.8,9.5,5.9,51.2,12828
Mullumbimby Creek,132.0,28.0,39.0,265.0,23.9,5.1,7.1,48.0,12829
Wilsons Creek,107.0,44.0,20.0,170.0,23.7,9.7,4.4,37.6,14310
Goonengerry,87.0,36.0,18.0,184.0,24.1,10.0,5.0,51.0,11712
Huonbrook,25.0,16.0,9.0,56.0,16.3,10.5,5.9,36.6,11962
Whian Whian,26.0,13.0,11.0,82.0,17.9,9.0,7.6,56.6,14272
Yorklea,24.0,13.0,10.0,306.0,6.0,3.3,2.5,76.7,14517
Casino,665.0,408.0,271.0,8708.0,6.1,3.7,2.5,79.8,10843
North Casino,69.0,53.0,31.0,743.0,7.4,5.7,3.3,79.3,12987
Fairy Hill,24.0,11.0,8.0,323.0,6.3,2.9,2.1,84.3,11483
Bonalbo,53.0,11.0,14.0,248.0,14.2,2.9,3.7,66.3,10463
Coraki,98.0,60.0,32.0,941.0,7.7,4.7,2.5,73.5,11063
Mallanganee,10.0,3.0,3.0,122.0,6.7,2.0,2.0,81.9,12457
Dobies Bight,3.0,8.0,4.0,102.0,2.2,5.9,2.9,75.0,11262
Backmede,12.0,8.0,0.0,113.0,8.2,5.5,0.0,77.4,10130
Stratheden,16.0,4.0,4.0,185.0,7.4,1.8,1.8,85.3,13674
Woodview,8.0,7.0,0.0,124.0,5.6,4.9,0.0,87.3,14397
Bentley (NSW),25.0,11.0,5.0,132.0,12.5,5.5,2.5,66.0,10298
Spring Grove,26.0,17.0,16.0,359.0,6.0,3.9,3.7,83.3,13614
Greenridge,4.0,6.0,4.0,117.0,2.6,3.8,2.6,75.0,11768
McKees Hill,21.0,10.0,7.0,297.0,6.1,2.9,2.0,85.8,12543
Tatham,14.0,8.0,9.0,156.0,6.9,3.9,4.4,76.8,13773
West Coraki,9.0,4.0,5.0,84.0,7.4,3.3,4.1,68.9,14243
Ellangowan (NSW),23.0,4.0,23.0,231.0,7.0,1.2,7.0,70.6,11400
Leeville,12.0,9.0,7.0,202.0,4.7,3.5,2.7,79.2,12295
Shannon Brook,8.0,0.0,6.0,132.0,4.7,0.0,3.5,77.2,13525
Rappville,20.0,3.0,11.0,122.0,11.8,1.8,6.5,71.8,13318
Goonellabah,1435.0,688.0,430.0,9315.0,11.1,5.3,3.3,72.2,11711
Chilcotts Grass,32.0,15.0,9.0,159.0,14.0,6.6,3.9,69.7,10903
Eden Creek,22.0,6.0,4.0,96.0,14.8,4.0,2.7,64.4,11376
West Wiangaree,8.0,0.0,5.0,98.0,6.7,0.0,4.2,81.7,14254
Wiangaree,14.0,10.0,0.0,108.0,10.1,7.2,0.0,78.3,14283
Doubtful Creek,15.0,7.0,3.0,106.0,10.6,5.0,2.1,75.2,11282
Ettrick (NSW),16.0,11.0,7.0,97.0,11.9,8.2,5.2,72.4,11448
Kyogle,201.0,93.0,97.0,1525.0,9.2,4.3,4.4,69.7,12229
Cedar Point,12.0,6.0,3.0,134.0,7.2,3.6,1.8,80.7,10871
Geneva,44.0,22.0,15.0,560.0,6.2,3.1,2.1,79.0,11599
Upper Horseshoe Creek,16.0,18.0,3.0,68.0,12.5,14.1,2.3,53.1,14028
Barkers Vale,42.0,17.0,18.0,74.0,24.1,9.8,10.3,42.5,10201
Wadeville,50.0,5.0,8.0,86.0,29.6,3.0,4.7,50.9,14082
Lillian Rock,73.0,10.0,3.0,102.0,33.3,4.6,1.4,46.6,12323
Fawcetts Plain,14.0,0.0,3.0,118.0,8.8,0.0,1.9,74.2,11498
New Park,13.0,7.0,3.0,107.0,9.2,4.9,2.1,75.4,12945
Homeleigh,14.0,9.0,6.0,75.0,11.7,7.5,5.0,62.5,11931
Cawongla,45.0,14.0,11.0,97.0,23.3,7.3,5.7,50.3,10864
Green Pigeon,15.0,8.0,3.0,104.0,10.0,5.3,2.0,69.3,11752
Collins Creek,15.0,11.0,15.0,66.0,11.4,8.3,11.4,50.0,10978
East Lismore,484.0,287.0,207.0,3504.0,9.7,5.7,4.1,70.1,11358
Lismore (NSW),460.0,240.0,135.0,2405.0,12.8,6.7,3.8,67.1,12344
Lismore Heights,251.0,147.0,84.0,1564.0,11.4,6.7,3.8,71.2,12345
South Lismore,147.0,83.0,64.0,1422.0,7.9,4.4,3.4,76.0,13589
Girards Hill,157.0,107.0,57.0,900.0,11.9,8.1,4.3,68.1,11631
Monaltrie,11.0,12.0,5.0,154.0,5.7,6.2,2.6,80.2,12674
North Lismore,92.0,47.0,45.0,512.0,11.9,6.1,5.8,66.2,12994
Loftville,18.0,4.0,9.0,158.0,7.8,1.7,3.9,68.7,12372
Modanville,93.0,26.0,17.0,428.0,15.1,4.2,2.8,69.5,12655
Clunes (NSW),141.0,64.0,53.0,546.0,16.3,7.4,6.1,63.0,10939
Terania Creek,38.0,25.0,7.0,103.0,21.0,13.8,3.9,56.9,13794
The Channon,51.0,45.0,26.0,230.0,13.3,11.7,6.8,59.9,13816
Koonorigan,37.0,14.0,10.0,216.0,12.6,4.8,3.4,73.5,12188
Rosebank,80.0,35.0,34.0,222.0,19.4,8.5,8.3,53.9,13401
Corndale (NSW),46.0,16.0,22.0,215.0,14.6,5.1,7.0,68.3,11076
East Coraki,12.0,7.0,16.0,166.0,5.7,3.3,7.7,79.4,11347
Tregeagle,43.0,32.0,10.0,346.0,9.5,7.0,2.2,76.0,13933
Wyrallah,38.0,24.0,13.0,338.0,8.6,5.4,2.9,76.3,14449
South Gundurimba,18.0,16.0,6.0,262.0,5.5,4.9,1.8,80.4,13585
Caniaba,32.0,26.0,5.0,522.0,4.9,4.0,0.8,80.6,10790
Blakebrook,13.0,9.0,3.0,117.0,8.4,5.8,1.9,76.0,10402
Booerie Creek,18.0,10.0,11.0,99.0,10.3,5.7,6.3,56.9,10475
Goolmangar,23.0,10.0,5.0,129.0,12.7,5.5,2.8,71.3,11708
Keerrong,8.0,4.0,7.0,110.0,5.2,2.6,4.6,71.9,12083
Tullera,25.0,18.0,8.0,212.0,9.1,6.6,2.9,77.4,13956
Bexhill,44.0,28.0,17.0,373.0,8.8,5.6,3.4,74.9,10333
Richmond Hill (NSW),111.0,43.0,39.0,593.0,13.5,5.2,4.7,72.1,13361
Boat Harbour (Lismore - NSW),13.0,7.0,8.0,101.0,9.2,4.9,5.6,71.1,10424
McLeans Ridges,70.0,23.0,27.0,348.0,13.7,4.5,5.3,68.2,12545
Eltham (NSW),48.0,38.0,20.0,227.0,13.7,10.8,5.7,64.7,11409
Lindendale,46.0,11.0,4.0,167.0,18.9,4.5,1.6,68.7,12336
Nimbin,324.0,92.0,87.0,753.0,22.0,6.2,5.9,51.0,12965
Stony Chute,32.0,19.0,6.0,79.0,19.3,11.4,3.6,47.6,13667
Blue Knob,60.0,17.0,16.0,91.0,27.0,7.7,7.2,41.0,10416
Tuntable Creek,30.0,14.0,10.0,119.0,15.6,7.3,5.2,62.0,13971
Coffee Camp,31.0,22.0,4.0,127.0,14.4,10.2,1.9,58.8,10958
Tucki Tucki,12.0,3.0,6.0,129.0,6.9,1.7,3.5,74.6,13946
Larnook,79.0,39.0,30.0,181.0,20.6,10.2,7.8,47.3,12279
Georgica,65.0,13.0,4.0,116.0,29.1,5.8,1.8,52.0,11604
Jiggi,50.0,24.0,12.0,256.0,12.7,6.1,3.0,64.8,12026
Rock Valley,34.0,11.0,9.0,173.0,13.2,4.3,3.5,67.3,13378
Leycester,14.0,3.0,11.0,119.0,9.3,2.0,7.3,78.8,12314
Dunoon,71.0,47.0,32.0,463.0,10.4,6.9,4.7,67.8,11325
Dorroughby,26.0,5.0,10.0,73.0,18.2,3.5,7.0,51.0,11280
Numulgi,25.0,19.0,6.0,133.0,12.0,9.1,2.9,63.6,13041
Fingal Head,76.0,47.0,35.0,360.0,12.7,7.8,5.8,60.0,11519
Casuarina (NSW),490.0,220.0,144.0,1583.0,18.3,8.2,5.4,59.1,10851
Kingscliff,1124.0,506.0,364.0,4836.0,15.1,6.8,4.9,64.8,12154
Chinderah,268.0,96.0,44.0,1041.0,17.2,6.1,2.8,66.6,10905
Cudgen,74.0,60.0,36.0,625.0,8.6,7.0,4.2,73.0,11143
Murwillumbah,1021.0,460.0,348.0,4676.0,14.5,6.5,4.9,66.4,12866
South Murwillumbah,135.0,55.0,47.0,760.0,12.1,4.9,4.2,68.2,13593
Bray Park (NSW),91.0,66.0,45.0,548.0,11.4,8.2,5.6,68.5,10552
Smiths Creek (Tweed - NSW),54.0,17.0,22.0,178.0,17.8,5.6,7.2,58.6,13562
Mount Burrell,41.0,14.0,13.0,118.0,18.7,6.4,5.9,53.9,12749
Byrrill Creek,20.0,5.0,10.0,71.0,16.7,4.2,8.3,59.2,10734
Pumpenbil,24.0,25.0,4.0,115.0,12.6,13.1,2.1,60.2,13272
Tumbulgum,48.0,34.0,13.0,263.0,11.9,8.5,3.2,65.4,13964
Limpinwood,31.0,13.0,6.0,143.0,14.7,6.2,2.8,67.8,12333
Tyalgum,73.0,42.0,18.0,355.0,13.2,7.6,3.3,64.4,13994
Dum Dum,23.0,8.0,8.0,63.0,19.3,6.7,6.7,52.9,11304
Byangum,18.0,3.0,3.0,98.0,14.0,2.3,2.3,76.0,10729
Eungella (NSW),59.0,17.0,13.0,199.0,17.6,5.1,3.9,59.2,11460
Crystal Creek (NSW),24.0,18.0,6.0,189.0,9.3,7.0,2.3,73.3,11138
Chillingham,23.0,13.0,12.0,159.0,10.0,5.7,5.2,69.4,10904
Stokers Siding,112.0,65.0,33.0,374.0,17.0,9.9,5.0,56.8,13664
