mass_var,dist_spec,target_key,source,target,dist,mass_source,mass_target,gravity,gravity_rank
n_hospitals,radial_distance,2145,2085,2145,0.26989949217410775,0.1,8,11,39
n_hospitals,radial_distance,2145,2086,2145,0.2781762302145289,0.1,8,10,29
n_hospitals,radial_distance,2145,2087,2145,0.26657977279278444,0.1,8,11,39
n_hospitals,radial_distance,2145,2088,2145,0.2913657560311549,1,8,94,153
n_hospitals,radial_distance,2145,2089,2145,0.26595836094777725,0.1,8,11,39
n_hospitals,radial_distance,2145,2090,2145,0.27325234072291094,1,8,107,156
n_hospitals,radial_distance,2145,2092,2145,0.2891576752977001,0.1,8,10,29
n_hospitals,radial_distance,2145,2093,2145,0.308587068239516,0.1,8,8,12
n_hospitals,radial_distance,2145,2094,2145,0.32100860420849026,0.1,8,8,12
n_hospitals,radial_distance,2145,2095,2145,0.3377784816719939,1,8,70,138
n_hospitals,radial_distance,2145,2096,2145,0.3350880280576504,1,8,71,139
n_hospitals,radial_distance,2145,2097,2145,0.35037096695542613,0.1,8,7,7
n_hospitals,radial_distance,2145,2099,2145,0.33136511871528407,1,8,73,143
n_hospitals,radial_distance,2145,2100,2145,0.30511292824222036,0.1,8,9,22
n_hospitals,radial_distance,2145,2101,2145,0.3327647370353061,0.1,8,7,7
n_hospitals,radial_distance,2145,2102,2145,0.36417216238194633,0.1,8,6,4
n_hospitals,radial_distance,2145,2103,2145,0.37695719537867695,1,8,56,131
n_hospitals,radial_distance,2145,2104,2145,0.36912409937843915,0.1,8,6,4
n_hospitals,radial_distance,2145,2105,2145,0.367644910223493,0.1,8,6,4
n_hospitals,radial_distance,2145,2106,2145,0.3947591276395356,0.1,8,5,2
n_hospitals,radial_distance,2145,2107,2145,0.4131236575592533,0.1,8,5,2
n_hospitals,radial_distance,2145,2108,2145,0.43047603610681195,0.1,8,4,1
n_hospitals,radial_distance,2145,2109,2145,0.165443529088029,1,8,292,176
n_hospitals,radial_distance,2145,2110,2145,0.19607715219076388,1,8,208,170
n_hospitals,radial_distance,2145,2111,2145,0.1752438158635431,0.1,8,26,100
n_hospitals,radial_distance,2145,2112,2145,0.15632749224313433,1,8,327,182
n_hospitals,radial_distance,2145,2113,2145,0.1790148434953897,2,8,499,193
n_hospitals,radial_distance,2145,2114,2145,0.12964879103053262,1,8,476,192
n_hospitals,radial_distance,2145,2115,2145,0.1063206875490552,0.1,8,71,139
n_hospitals,radial_distance,2145,2116,2145,0.08639279483718924,0.1,8,107,156
n_hospitals,radial_distance,2145,2117,2145,0.08853699752242425,1,8,1021,207
n_hospitals,radial_distance,2145,2118,2145,0.09971033434686812,0.1,8,80,147
n_hospitals,radial_distance,2145,2119,2145,0.12716147260449326,0.1,8,49,127
n_hospitals,radial_distance,2145,2120,2145,0.15031408127863757,1,8,354,185
n_hospitals,radial_distance,2145,2121,2145,0.1350806248788791,1,8,438,190
n_hospitals,radial_distance,2145,2122,2145,0.14273682864245016,0.1,8,39,120
n_hospitals,radial_distance,2145,2123,2145,0.04713888965395823,0.1,8,360,187
n_hospitals,radial_distance,2145,2125,2145,0.10382083528645274,0.1,8,74,144
n_hospitals,radial_distance,2145,2126,2145,0.13102621191183034,0.1,8,47,124
n_hospitals,radial_distance,2145,2127,2145,0.11690366614976554,0.1,8,59,133
n_hospitals,radial_distance,2145,2128,2145,0.09465638132789146,0.1,8,89,150
n_hospitals,radial_distance,2145,2129,2145,0.12754907969310697,0.1,8,49,127
n_hospitals,radial_distance,2145,2130,2145,0.199367702551633,0.1,8,20,89
n_hospitals,radial_distance,2145,2131,2145,0.1877482835146018,2,8,454,191
